group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
sector,XLI,154,0.5325,-0.41,4.14,-62.45,0.965,-0.016,51.03,0.2151,-0.0019,3.25
sector,XLC,161,0.528,-0.83,3.38,-133.54,0.924,-0.034,50.93,0.2577,0.0019,3.11
sector,XLRE,166,0.5422,-1.1,8.96,-182.46,0.906,-0.044,50.71,0.2122,-0.0005,3.07
sector,XLY,118,0.4492,-3.95,-9.1,-465.99,0.77,-0.118,51.24,0.2209,0.0023,3.09
sector,XLF,147,0.4762,-3.21,-2.8,-471.92,0.774,-0.112,51.05,0.2917,-0.0009,3.36
sector,XLE,72,0.4583,-7.38,-5.26,-531.47,0.62,-0.203,51.28,0.259,0.0032,3.28
sector,XLV,181,0.4696,-5.05,-4.69,-913.56,0.65,-0.184,50.96,0.248,0.0017,3.34
sector,XLK,206,0.4515,-7.77,-5.67,-1600.25,0.6,-0.212,51.36,0.2557,0.0016,3.49
signal_quality,MEDIUM,456,0.5263,-2.36,4.09,-1074.45,0.814,-0.087,51.03,0.246,0.0002,3.3
signal_quality,HIGH,545,0.5266,-2.03,4.07,-1104.52,0.852,-0.068,51.0,0.2391,0.0043,3.28
signal_quality,LOW,681,0.4978,-2.95,-0.53,-2006.52,0.775,-0.11,51.12,0.236,-0.0025,3.18
ticker,BKNG,10,0.6,19.09,34.48,190.91,3.699,0.603,52.32,0.253,-0.0038,4.0
ticker,COST,57,0.6667,3.12,10.77,178.06,1.41,0.154,50.93,0.214,-0.0071,2.96
ticker,PEG,10,0.9,12.85,14.05,128.53,9.714,1.196,50.67,0.269,0.0042,2.9
ticker,DD,6,0.8333,19.0,25.98,113.98,6.041,0.884,50.34,0.3617,0.0052,3.17
ticker,AEP,26,0.6538,4.01,11.58,104.3,1.561,0.2,50.64,0.1873,0.001,2.96
ticker,AIG,7,0.7143,13.19,22.08,92.32,3.162,0.567,50.36,0.32,0.008,3.0
ticker,CHTR,6,0.6667,14.26,23.8,85.55,2.454,0.381,51.04,0.305,0.0106,3.5
ticker,DOW,5,0.8,16.64,21.0,83.18,2.164,0.346,50.43,0.004,-0.0174,3.0
ticker,HSY,28,0.6071,2.86,10.16,79.97,1.306,0.119,51.42,0.2421,0.0069,3.25
ticker,BA,3,0.6667,24.04,29.82,72.13,3.983,0.646,51.71,0.2567,-0.0153,3.0
ticker,CAT,4,0.75,17.43,18.32,69.73,6.38,0.73,51.37,0.59,0.0031,4.25
ticker,QCOM,11,0.6364,5.69,11.82,62.57,1.423,0.15,51.06,0.1173,-0.0002,4.45
ticker,SCHW,11,0.5455,5.59,13.28,61.44,1.379,0.152,50.68,0.11,0.0056,3.64
ticker,LYV,12,0.6667,5.08,14.22,61.01,1.619,0.204,51.3,0.2808,0.0078,3.75
ticker,SPG,3,1.0,20.03,19.59,60.1,,11.26,51.85,0.22,0.0038,3.0
ticker,SRE,4,0.75,13.24,13.41,52.96,24.538,1.206,51.42,0.135,0.0165,2.0
ticker,EA,13,0.6154,3.82,23.14,49.72,1.287,0.114,50.49,0.2862,0.0155,2.92
ticker,XEL,38,0.5789,1.28,8.66,48.75,1.134,0.057,50.9,0.2566,-0.0019,3.53
ticker,WMT,14,0.7143,3.16,8.84,44.29,1.622,0.214,52.37,0.1943,-0.0047,2.5
ticker,BSX,1,1.0,42.14,42.14,42.14,,42140000000.0,54.19,0.68,0.01,5.0
ticker,SYY,32,0.625,1.3,10.69,41.62,1.15,0.064,51.25,0.2669,0.0041,3.38
ticker,NFLX,5,0.6,8.26,3.92,41.28,2.028,0.272,51.7,0.298,0.0159,5.0
ticker,PH,4,0.5,10.26,13.57,41.03,1.886,0.302,50.94,0.2825,0.0062,3.25
ticker,COP,5,0.6,8.03,25.19,40.16,1.657,0.25,50.72,0.392,0.0135,3.6
ticker,LMT,4,0.75,9.84,14.61,39.36,4.197,0.722,52.07,0.41,0.0056,4.25
ticker,T,24,0.5833,1.61,5.92,38.54,1.176,0.072,50.98,0.1867,0.0021,3.25
ticker,HD,8,0.625,4.55,19.27,36.37,1.431,0.164,50.94,0.1837,-0.0123,2.38
ticker,NEM,4,0.5,8.67,19.79,34.69,1.449,0.158,51.48,0.165,0.0227,3.5
ticker,AMT,8,0.625,4.26,13.21,34.05,1.406,0.159,50.36,0.0075,0.0002,3.25
ticker,V,3,0.6667,10.27,28.14,30.82,1.852,0.31,50.65,0.1433,0.0005,4.0
ticker,CVX,3,0.6667,10.22,16.12,30.66,1.634,0.224,50.66,0.0633,0.0015,2.33
ticker,RTX,4,0.75,7.66,10.86,30.65,3.838,0.637,51.16,0.01,0.0029,4.75
ticker,CSX,3,0.6667,9.69,16.14,29.06,3.909,0.683,50.79,0.0233,0.0069,3.0
ticker,PNC,4,0.75,7.01,16.39,28.04,1.65,0.222,50.38,0.2875,0.0015,4.75
ticker,BLK,5,0.6,5.41,19.28,27.06,1.578,0.224,51.59,0.086,-0.0026,3.8
ticker,EQIX,37,0.5946,0.72,8.38,26.79,1.063,0.026,50.63,0.2459,-0.0093,3.35
ticker,GIS,5,0.6,5.15,7.36,25.77,1.697,0.243,51.01,0.172,0.0049,3.8
ticker,GILD,33,0.5758,0.67,4.26,22.21,1.065,0.027,50.87,0.2921,0.0007,3.82
ticker,CI,3,0.6667,7.28,5.89,21.83,1.626,0.208,50.57,0.3067,0.0081,4.33
ticker,C,1,1.0,18.45,18.45,18.45,,18450000000.0,51.2,0.23,0.0201,5.0
ticker,ETN,29,0.5517,0.62,12.03,18.03,1.057,0.025,50.78,0.2262,-0.0039,3.1
ticker,PLD,7,0.5714,1.54,9.54,10.79,1.177,0.072,50.66,-0.02,0.0055,3.57
ticker,ROST,4,0.25,2.31,-2.16,9.26,1.26,0.085,52.17,0.1,0.0117,3.25
ticker,TMO,4,0.5,1.94,10.16,7.77,1.137,0.058,50.59,0.0825,-0.008,3.25
ticker,IBM,10,0.5,0.68,3.55,6.79,1.067,0.029,51.34,0.201,-0.0009,2.7
ticker,FCX,4,0.5,1.29,4.78,5.14,1.066,0.032,51.3,-0.045,0.0131,3.75
ticker,MAR,20,0.5,0.18,6.43,3.66,1.012,0.006,50.53,0.325,-0.0027,3.15
ticker,CMCSA,7,0.5714,0.41,11.06,2.84,1.041,0.019,50.73,0.3529,-0.0013,3.43
ticker,PEP,6,0.5,0.33,4.5,2.0,1.044,0.019,50.83,0.365,-0.0064,3.5
ticker,GE,5,0.6,-0.01,2.32,-0.04,0.999,-0.001,51.05,0.12,0.0064,3.2
ticker,LLY,5,0.4,-0.22,-22.48,-1.09,0.986,-0.007,50.67,0.4,0.0079,1.6
ticker,CCI,32,0.625,-0.06,11.29,-1.98,0.995,-0.002,50.63,0.2512,-0.0019,2.69
ticker,USB,2,0.5,-1.19,-1.19,-2.39,0.841,-0.086,50.25,0.31,-0.0258,4.0
ticker,NEE,6,0.6667,-0.4,7.61,-2.42,0.964,-0.016,50.23,0.335,-0.0118,2.67
ticker,WFC,5,0.6,-0.71,4.23,-3.56,0.91,-0.037,50.28,0.5,0.0011,3.2
ticker,KMB,12,0.4167,-0.31,-5.54,-3.76,0.967,-0.015,51.38,0.0417,0.0055,3.5
ticker,CL,38,0.6053,-0.15,6.27,-5.8,0.978,-0.01,51.38,0.2276,-0.0053,3.37
ticker,ISRG,7,0.5714,-0.94,8.27,-6.59,0.958,-0.019,52.06,0.4529,0.0031,3.57
ticker,SYK,13,0.5385,-0.69,3.59,-8.92,0.933,-0.031,51.11,0.2054,0.0072,3.38
ticker,MMM,7,0.5714,-1.39,6.89,-9.7,0.869,-0.063,50.4,0.3414,0.0032,4.57
ticker,EMR,4,0.5,-2.95,5.03,-11.8,0.69,-0.144,52.34,-0.17,-0.0076,2.25
ticker,DHR,2,0.0,-7.04,-7.04,-14.08,0.0,-24.276,50.08,0.075,0.0207,5.0
ticker,PSA,36,0.5278,-0.41,11.87,-14.64,0.962,-0.018,50.88,0.1911,0.0007,2.83
ticker,DE,6,0.5,-2.51,-2.07,-15.05,0.719,-0.154,50.92,-0.0883,0.0002,4.0
ticker,LIN,13,0.6154,-1.25,7.96,-16.26,0.886,-0.052,51.32,0.3131,0.002,3.77
ticker,SLB,7,0.5714,-2.35,21.32,-16.43,0.877,-0.062,52.19,0.21,0.0019,2.86
ticker,AXP,3,0.3333,-5.95,-21.77,-17.86,0.629,-0.232,51.92,0.1,0.0036,2.0
ticker,OMC,23,0.5652,-0.78,3.51,-17.93,0.937,-0.029,51.02,0.2961,0.0037,3.26
ticker,AVB,6,0.3333,-3.07,-9.81,-18.41,0.729,-0.14,51.63,0.3733,0.0048,3.83
ticker,ABBV,25,0.6,-0.77,8.72,-19.34,0.925,-0.032,50.98,0.1948,-0.0006,3.04
ticker,MSFT,30,0.6,-0.7,7.71,-21.03,0.941,-0.026,51.22,0.3383,-0.0072,3.07
ticker,UPS,33,0.5152,-0.65,9.43,-21.36,0.945,-0.026,51.24,0.237,-0.0022,2.97
ticker,EBAY,7,0.4286,-3.49,-24.8,-24.4,0.777,-0.123,50.51,0.3943,0.0083,3.57
ticker,SHW,32,0.5625,-0.79,12.58,-25.16,0.929,-0.034,50.8,0.2356,-0.0026,2.91
ticker,JNJ,7,0.5714,-3.89,1.96,-27.21,0.64,-0.202,50.96,0.1157,-0.0034,2.29
ticker,APD,8,0.5,-3.48,-4.94,-27.8,0.564,-0.257,51.03,0.0662,-0.0002,4.38
ticker,NKE,2,0.5,-14.51,-14.51,-29.01,0.394,-0.435,50.17,0.2,-0.0016,1.5
ticker,DIS,7,0.4286,-4.17,-15.51,-29.21,0.673,-0.196,50.45,0.1843,-0.0023,3.0
ticker,WMB,15,0.6,-1.99,10.76,-29.84,0.857,-0.065,51.11,0.204,0.0049,3.53
ticker,WELL,1,0.0,-30.54,-30.54,-30.54,0.0,-30540000000.0,50.53,0.24,0.0062,3.0
ticker,EXC,33,0.5455,-0.93,9.22,-30.63,0.901,-0.047,51.01,0.2409,-0.0038,3.15
ticker,PG,17,0.5294,-1.82,7.45,-30.87,0.818,-0.092,50.79,0.2547,0.0003,2.65
ticker,META,12,0.4167,-2.57,-12.21,-30.89,0.813,-0.095,50.79,0.1417,0.0031,4.0
ticker,GM,9,0.4444,-3.46,-23.24,-31.1,0.786,-0.115,51.29,0.2789,0.0117,2.67
ticker,OXY,1,0.0,-31.62,-31.62,-31.62,0.0,-31620000000.0,51.94,0.18,0.0113,1.0
ticker,LOW,1,0.0,-34.15,-34.15,-34.15,0.0,-34150000000.0,50.41,0.27,-0.002,5.0
ticker,TRV,12,0.5833,-2.86,2.58,-34.33,0.779,-0.109,51.18,0.3375,0.0056,3.25
ticker,COF,2,0.0,-18.86,-18.86,-37.73,0.0,-1.038,50.36,0.55,0.0169,4.0
ticker,BAC,5,0.4,-7.71,-25.36,-38.54,0.644,-0.214,50.63,0.302,0.0022,2.2
ticker,XOM,5,0.6,-7.72,3.03,-38.6,0.459,-0.311,51.28,0.258,0.003,4.2
ticker,IFF,10,0.5,-4.01,6.35,-40.1,0.715,-0.148,50.68,0.329,0.007,3.7
ticker,MPC,3,0.3333,-13.77,-22.65,-41.32,0.278,-0.639,50.49,0.2167,0.0067,5.0
ticker,PM,5,0.4,-8.81,-19.54,-44.05,0.492,-0.346,51.45,0.266,0.0015,2.6
ticker,HON,5,0.6,-8.86,12.28,-44.3,0.532,-0.272,50.39,0.368,-0.018,2.6
ticker,NOC,5,0.2,-9.01,-17.03,-45.05,0.445,-0.392,50.57,0.308,0.0061,3.6
ticker,D,9,0.3333,-5.68,-2.71,-51.12,0.52,-0.272,51.22,0.2289,0.0039,3.78
ticker,AMAT,28,0.5,-1.94,-0.03,-54.44,0.911,-0.041,51.01,0.2846,0.009,3.29
ticker,MRK,8,0.375,-7.24,-19.05,-57.95,0.509,-0.339,50.77,0.2612,0.0051,2.62
ticker,MU,3,0.3333,-19.44,-45.51,-58.32,0.535,-0.31,50.98,0.0333,0.0222,2.0
ticker,MCD,11,0.4545,-5.41,-13.12,-59.54,0.59,-0.245,51.09,0.0791,0.0017,3.0
ticker,PSX,4,0.25,-15.13,-14.25,-60.53,0.285,-0.505,51.23,0.4,-0.0119,3.75
ticker,MO,3,0.3333,-20.52,-36.51,-61.56,0.221,-0.76,50.38,0.27,0.0089,2.67
ticker,EOG,7,0.4286,-8.97,-37.67,-62.78,0.694,-0.179,50.8,0.2257,0.0026,3.86
ticker,TSLA,12,0.5,-5.27,-0.27,-63.18,0.796,-0.107,52.15,0.2858,0.0128,3.75
ticker,SPGI,31,0.5161,-2.07,5.56,-64.16,0.813,-0.092,51.75,0.3077,-0.0037,2.58
ticker,JPM,5,0.2,-13.69,-26.71,-68.43,0.355,-0.529,51.09,0.004,-0.0044,3.4
ticker,GOOGL,7,0.4286,-9.78,-5.6,-68.49,0.474,-0.315,51.58,0.0543,0.0008,3.86
ticker,PFE,4,0.25,-17.77,-19.44,-71.08,0.151,-0.858,51.05,0.15,0.0003,3.0
ticker,AMGN,5,0.4,-15.05,-12.33,-75.24,0.377,-0.436,51.39,0.306,0.0137,4.0
ticker,DUK,5,0.2,-15.06,-25.14,-75.31,0.299,-0.616,51.43,0.332,-0.0037,3.4
