date,entry_date,exit_date,ticker,signal,signal_quality,confidence,expected_return,rank_score,rank_orientation,rank_orientation_corr,conformal_singleton,conformal_set_size,conformal_qhat,position_pct,regime_state,entry_price,exit_price,holding_days,net_pnl,exit_reason,sector,capacity_warning
2015-02-06,2015-02-09,2015-02-10,GM,LONG,HIGH,51.43,0.32,0.0559,1.0,,True,1,0.5138209462165833,20.0,neutral,27.6093,28.1934,1,41.65,take_profit,XLY,False
2015-02-06,2015-02-09,2015-02-10,MU,LONG,MEDIUM,51.31,0.31,0.0307,1.0,,False,2,0.5138209462165833,20.0,neutral,28.1025,29.0533,1,67.06,take_profit,XLK,False
2015-02-06,2015-02-09,2015-02-13,PH,LONG,LOW,51.39,0.43,0.0205,1.0,,True,1,0.5138209462165833,20.0,neutral,100.5924,102.8699,4,45.15,take_profit,XLI,False
2015-02-10,2015-02-11,2015-02-13,AIG,LONG,LOW,50.78,0.53,-0.0093,1.0,,False,2,0.5138209462165833,20.0,neutral,40.0007,40.8097,2,40.62,take_profit,XLF,False
2015-02-09,2015-02-10,2015-02-18,CHTR,LONG,LOW,51.3,0.1,0.0095,1.0,,False,2,0.5138209462165833,20.0,neutral,173.3569,173.9891,5,7.17,time_exit,XLC,False
2015-02-10,2015-02-11,2015-02-19,CAT,LONG,MEDIUM,51.36,0.76,-0.0023,1.0,,False,2,0.5138209462165833,20.0,neutral,63.3897,62.9957,5,-12.96,time_exit,XLI,False
2015-02-13,2015-02-17,2015-02-19,AMAT,LONG,LOW,50.29,0.44,0.0144,1.0,,False,2,0.5138209462165833,20.0,bull,21.0136,21.5669,2,53.25,take_profit,XLK,False
2015-02-13,2015-02-17,2015-02-19,MAR,LONG,MEDIUM,50.17,0.48,0.0167,1.0,,False,2,0.5138209462165833,20.0,bull,71.2965,73.2542,2,56.27,take_profit,XLY,False
2015-02-18,2015-02-19,2015-02-23,MSFT,LONG,LOW,51.77,0.29,0.0193,1.0,,True,1,0.5138209462165833,20.0,bull,37.0388,37.7295,2,37.85,take_profit,XLK,False
2015-02-19,2015-02-20,2015-02-25,CHTR,LONG,HIGH,50.62,0.55,0.0199,1.0,,False,2,0.5138209462165833,20.0,bull,175.0345,179.7353,3,55.35,take_profit,XLC,False
2015-02-19,2015-02-20,2015-02-27,MAR,LONG,LOW,50.64,0.37,-0.0124,1.0,,False,2,0.5138209462165833,20.0,bull,74.6517,74.5191,5,-3.95,time_exit,XLY,False
2015-02-19,2015-02-20,2015-02-27,GILD,LONG,LOW,50.62,0.62,0.0082,1.0,,False,2,0.5138209462165833,18.13,bull,70.8734,71.4012,5,13.68,time_exit,XLV,False
2015-02-25,2015-02-26,2015-03-02,MCD,LONG,LOW,52.3,0.06,-0.0264,1.0,,True,1,0.5138209462165833,20.0,bull,74.1662,75.1571,2,27.52,take_profit,XLY,False
2015-02-23,2015-02-24,2015-03-03,AMGN,LONG,LOW,51.58,0.23,0.005,1.0,,True,1,0.5138209462165833,20.0,bull,115.7788,115.1018,5,-12.33,time_exit,XLV,False
2015-03-02,2015-03-03,2015-03-04,MU,LONG,MEDIUM,51.56,0.02,0.0213,1.0,0.2409,True,1,0.5138209462165833,20.0,bull,29.6782,28.5579,1,-79.87,stop_loss,XLK,False
2015-03-03,2015-03-04,2015-03-06,PH,LONG,HIGH,50.57,0.18,-0.0072,1.0,0.2284,False,2,0.5138209462165833,20.0,bull,102.6351,101.101,2,-31.25,stop_loss,XLI,False
2015-03-04,2015-03-05,2015-03-06,EQIX,LONG,LOW,51.73,0.07,-0.0175,1.0,0.1384,True,1,0.5138209462165833,20.0,bull,172.2031,175.5948,1,40.6,take_profit,XLRE,False
