ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
PEP,4,0.0,-16.765,-17.44,-67.06,4,0
ECL,6,0.3333,-11.5133,-22.53,-69.08,6,0
MS,7,0.4286,-10.6857,-22.04,-74.8,7,0
SO,10,0.3,-7.664,-2.355,-76.64,10,0
LLY,10,0.4,-7.976,-26.14,-79.76,10,0
TJX,10,0.4,-8.025,-11.81,-80.25,10,0
LOW,5,0.2,-16.122,-23.83,-80.61,5,0
AXP,6,0.1667,-13.6667,-12.96,-82.0,6,0
HSY,23,0.4348,-3.84,-9.32,-88.32,23,0
DE,12,0.5,-7.755,-9.44,-93.06,12,0
SBUX,16,0.5,-5.865,-3.205,-93.84,16,0
F,5,0.2,-19.544,-36.64,-97.72,5,0
APD,7,0.2857,-14.18,-27.26,-99.26,7,0
OMC,14,0.3571,-7.3929,-9.16,-103.5,14,0
JPM,3,0.0,-35.55,-33.96,-106.65,3,0
CSCO,7,0.2857,-15.3471,-23.77,-107.43,7,0
NKE,11,0.4545,-10.0345,-6.61,-110.38,11,0
AVB,14,0.4286,-7.9186,-16.02,-110.86,14,0
DIS,9,0.2222,-12.3344,-19.59,-111.01,9,0
EQR,17,0.4706,-6.5565,-5.85,-111.46,17,0
PFE,6,0.3333,-18.5867,-20.385,-111.52,6,0
TSLA,12,0.4167,-9.4725,-24.91,-113.67,12,0
JNJ,10,0.3,-11.49,-17.61,-114.9,10,0
SRE,10,0.4,-12.178,-21.285,-121.78,10,0
AVGO,11,0.3636,-12.5518,-17.53,-138.07,11,0
META,24,0.375,-6.285,-20.085,-150.84,24,0
AMGN,8,0.375,-18.8938,-34.815,-151.15,8,0
CVS,19,0.4737,-8.2242,-3.12,-156.26,19,0
ORCL,10,0.4,-15.937,-27.83,-159.37,10,0
AMD,11,0.3636,-15.9291,-47.72,-175.22,11,0
NEM,8,0.25,-26.5475,-48.36,-212.38,8,0
CHTR,14,0.2857,-17.5707,-28.025,-245.99,14,0
NOW,13,0.4615,-19.3508,-31.4,-251.56,13,0
NVDA,10,0.3,-27.183,-31.545,-271.83,10,0
VLO,13,0.3077,-25.8115,-36.48,-335.55,13,0
