group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
sector,XLP,78,0.5641,-0.52,7.41,-40.75,0.956,-0.02,51.23,0.3379,1.0109,3.12
sector,XLV,107,0.5234,-0.85,2.0,-90.48,0.946,-0.024,50.98,0.3611,0.9992,3.72
sector,XLRE,64,0.5,-4.47,-0.16,-286.08,0.739,-0.135,50.77,0.377,0.893,3.06
sector,XLY,106,0.5094,-3.09,2.6,-327.36,0.826,-0.084,50.92,0.3643,0.7094,3.22
sector,XLI,74,0.4459,-7.4,-8.75,-547.24,0.594,-0.226,50.81,0.3191,0.8432,3.46
sector,XLK,159,0.4969,-4.18,-2.58,-665.1,0.817,-0.09,51.33,0.3736,0.5872,3.47
sector,XLC,91,0.4286,-11.06,-18.03,-1006.19,0.499,-0.3,51.09,0.3476,0.7154,3.19
signal_quality,HIGH,431,0.529,-0.95,3.93,-408.4,0.944,-0.025,50.97,0.358,0.9038,3.42
signal_quality,LOW,299,0.5184,-1.57,5.66,-470.57,0.905,-0.043,51.08,0.3904,0.7905,3.25
signal_quality,MEDIUM,253,0.498,-5.72,-1.11,-1446.01,0.703,-0.15,50.96,0.3485,0.7557,3.37
ticker,SLB,12,0.75,27.37,50.58,328.41,3.459,0.605,50.83,0.4208,0.7513,3.08
ticker,MU,31,0.6452,10.22,33.65,316.88,1.508,0.193,51.85,0.4819,0.6558,3.35
ticker,PSX,8,0.75,26.26,36.63,210.06,5.772,0.834,50.43,0.4788,0.6993,3.62
ticker,AMD,8,0.625,25.1,60.06,200.82,2.384,0.427,50.84,0.2638,0.2673,3.0
ticker,SCHW,12,0.6667,16.69,24.98,200.28,4.125,0.63,51.11,0.2967,0.733,3.58
ticker,TMO,6,1.0,29.86,32.89,179.19,,1.579,51.45,0.4267,1.9002,3.33
ticker,NOW,6,0.8333,21.33,31.16,127.96,4.735,0.807,51.0,0.1283,0.6757,2.83
ticker,AVB,11,0.7273,11.59,20.36,127.45,2.72,0.482,50.89,0.4145,1.4732,2.91
ticker,KMI,6,0.8333,19.83,27.81,119.01,5.491,0.782,50.78,0.3533,1.2081,3.67
ticker,CSX,3,1.0,37.54,39.16,112.61,,6.156,51.81,0.3067,1.03,4.0
ticker,MRK,9,0.7778,12.31,21.64,110.81,2.558,0.451,50.53,0.2544,1.034,2.44
ticker,SPG,7,0.8571,15.83,25.38,110.8,3.521,0.608,51.63,0.4371,1.2169,2.43
ticker,GILD,14,0.7143,7.74,17.43,108.34,1.722,0.241,50.43,0.2536,0.2913,3.57
ticker,HSY,16,0.6875,5.92,14.11,94.73,1.621,0.21,50.7,0.3413,0.6864,3.31
ticker,PNC,12,0.5833,7.85,14.24,94.21,1.688,0.225,51.29,0.3975,0.6433,2.5
