date,timestamp,equity,strategy,current_regime,current_gross_exposure,target_gross_exposure,max_drift_abs
2026-05-03,2026-05-03T19:09:02.230004+00:00,1035125.3,core_satellite_alpha,risk_on,0.3206,1.25,0.55
2026-05-04,2026-05-04T15:09:12.901298+00:00,1033190.48,core_satellite_alpha,risk_on,0.9987,1.0,0.00071
2026-05-08,2026-05-08T14:15:18.818368+00:00,1128921.05,core_satellite_alpha,risk_on,0.6839,1.0,0.186667
