top_n,trades,raw_sharpe,raw_return_pct,total_return_pct,max_drawdown_pct,nw_tstat_vs_cash,daily_ic,daily_ic_t
1,1309,-0.303,-28.52,113.36,-24.1,2.234,0.0085,3.695
3,1739,-0.557,-47.46,49.58,-27.89,1.333,0.0085,3.695
5,1244,-0.535,-40.75,89.85,-27.82,1.898,0.0085,3.695
10,852,-0.305,-20.13,174.35,-15.37,2.874,0.0085,3.695
