date,equity,bull_fraction,invested,day_ret,strategy_ret
2015-02-06,10000.0,0.0,0.0,-0.003965444321272637,-0.0
2015-02-09,10000.0,0.0,0.0,0.012617646793524263,0.0
2015-02-10,10017.139054920499,1.0,0.95,0.0018041110442629461,0.0017139054920497986
2015-02-11,10116.370141652013,1.0,0.95,0.010427505791241652,0.009906130501679569
2015-02-12,10173.10771462479,1.0,0.95,0.0059036749533389,0.005608491205671955
2015-02-13,10185.844266725038,1.0,0.95,0.0013178762403504684,0.0012519824283329449
2015-02-17,10191.267347289388,0.8835616438356164,0.8615068493150684,0.0006180025823318668,0.0005324134575733027
2015-02-18,10191.267347289388,0.0,0.0,0.001549927219599301,0.0
2015-02-19,10252.017118115975,1.0,0.95,0.0062746982300380776,0.005960963318536174
2015-02-20,10252.017118115975,0.0,0.0,0.00032080320612113414,0.0
2015-02-23,10252.017118115975,0.0,0.0,0.001999476843506054,0.0
2015-02-24,10252.017118115975,0.0,0.0,-0.0015043477163961595,-0.0
2015-02-25,10252.017118115975,0.0,0.0,0.0013218459225316837,0.0
2015-02-26,10215.750414994032,0.9726027397260274,0.9291780821917808,-0.0038071483293549368,-0.003537518783289662
2015-02-27,10286.426870678699,0.9794520547945206,0.9343835616438356,0.007404219734612427,0.006918381206820735
2015-03-02,10286.426870678699,0.0,0.0,-0.0043274040520525185,-0.0
2015-03-03,10286.426870678699,0.0,0.0,-0.004072544770895181,-0.0
2015-03-04,10286.426870678699,0.0,0.0,0.0013572778385257502,0.0
2015-03-05,10159.710879068836,1.0,0.95,-0.012967112487464717,-0.01231875686309148
2015-03-06,10192.542475182103,0.9178082191780822,0.8875342465753425,0.0036410406497585867,0.0032315482698336826
2015-03-09,10192.542475182103,0.0,0.0,-0.01715985011333443,-0.0
2015-03-10,10192.542475182103,0.0,0.0,-0.003713133585313844,-0.0
2015-03-11,10289.656199508921,0.9726027397260274,0.9291780821917808,0.010254137172056588,0.00952791951206299
2015-03-12,10289.656199508921,0.0,0.0,-0.005418459490133953,-0.0
2015-03-13,10418.500953571822,1.0,0.95,0.01318081520690555,0.012521774446560273
2015-03-16,10418.500953571822,0.0,0.0,-0.0011462388586976013,-0.0
2015-03-17,10418.500953571822,0.0,0.0,0.011142740014412844,0.0
2015-03-18,10418.500953571822,0.0,0.0,-0.0021436387544161435,-0.0
2015-03-19,10418.500953571822,0.3082191780821918,0.0,0.007885306001654248,0.0
2015-03-20,10418.500953571822,0.0,0.0,-0.0019429760665669927,-0.0
2015-03-23,10418.500953571822,0.0,0.0,-0.0048119718013929,-0.0
2015-03-24,10418.500953571822,0.18493150684931506,0.0,-0.017946267928944937,-0.0
2015-03-25,10418.500953571822,0.0,0.0,-0.0027943782682178673,-0.0
2015-03-26,10418.500953571822,0.0,0.0,0.002972460103712526,0.0
2015-03-27,10418.500953571822,0.0,0.0,0.011906609398423564,0.0
2015-03-30,10418.500953571822,0.0,0.0,-0.00947852804393683,-0.0
2015-03-31,10418.500953571822,0.0,0.0,-0.004205212309548867,-0.0
2015-04-01,10418.500953571822,0.0,0.0,0.002424977153960128,0.0
2015-04-02,10490.877683835512,1.0,0.95,0.007312571376249455,0.006946942807436981
2015-04-06,10468.281210070983,1.0,0.95,-0.0022672804482361643,-0.002153916425824356
2015-04-07,10468.281210070983,0.0,0.0,0.0052019504876436255,0.0
2015-04-08,10468.281210070983,0.0,0.0,0.005167227634989535,0.0
2015-04-09,10517.153231503695,1.0,0.95,0.004914296058227174,0.004668581255315815
2015-04-10,10480.026469191907,1.0,0.95,-0.0037159107196797826,-0.0035301151836957933
2015-04-13,10479.96793693846,1.0,0.95,-5.879078506998512e-06,-5.585124581648586e-06
2015-04-14,10479.96793693846,0.0,0.0,0.005193057692707193,0.0
2015-04-15,10472.72419146859,1.0,0.95,-0.0007275781068535325,-0.0006911992015108558
2015-04-16,10472.72419146859,0.0,0.0,-0.013142328763811583,-0.0
2015-04-17,10472.72419146859,0.0,0.0,0.011481596518621462,0.0
2015-04-20,10472.72419146859,0.0,0.0,0.0009950771394305004,0.0
2015-04-21,10472.72419146859,0.0,0.0,0.005132544737811706,0.0
2015-04-22,10500.458991491147,0.9041095890410958,0.8771232876712328,0.003019289321119523,0.0026482889757710004
2015-04-23,10568.496226626441,1.0,0.95,0.006820477305393124,0.006479453440123468
2015-04-24,10568.496226626441,0.15753424657534246,0.0,-0.0035080576202800805,-0.0
2015-04-27,10568.496226626441,0.0,0.0,0.0011093393364062453,0.0
2015-04-28,10568.496226626441,0.0,0.0,-0.004976869155011787,-0.0
2015-04-29,10568.496226626441,0.0,0.0,-0.01230410374512556,-0.0
2015-04-30,10568.496226626441,0.0,0.0,0.011782310996019873,0.0
2015-05-01,10592.277094919807,1.0,0.95,0.0023685955318146325,0.002250165755223901
2015-05-04,10460.495807761463,0.9726027397260274,0.9291780821917808,-0.013389533765336536,-0.012441261305517495
2015-05-05,10460.495807761463,0.0,0.0,-0.005224764737728882,-0.0
2015-05-06,10460.495807761463,0.0,0.0,0.004792900333065386,0.0
2015-05-07,10588.612468397725,1.0,0.95,0.012892280179965132,0.012247666170966875
2015-05-08,10547.176502011509,0.9178082191780822,0.8875342465753425,-0.004409134005080406,-0.0039132574272487605
2015-05-11,10511.053594983923,1.0,0.95,-0.0036051461406153337,-0.003424888833584567
2015-05-12,10520.349978090127,1.0,0.95,0.0009309881582426183,0.0008844387503304874
2015-05-13,10520.349978090127,0.10273972602739725,0.0,0.012108320419177553,0.0
2015-05-14,10520.349978090127,0.17123287671232876,0.0,0.0006503239431652208,0.0
2015-05-15,10520.349978090127,0.0,0.0,0.0036160945319253734,0.0
2015-05-18,10520.349978090127,0.0,0.0,-0.0006332093418375262,-0.0
2015-05-19,10520.349978090127,0.0,0.0,-0.00016767839934805906,-0.0
2015-05-20,10520.349978090127,0.0,0.0,0.003819833016783969,0.0
2015-05-21,10520.349978090127,0.0,0.0,-0.0018311333194535482,-0.0
2015-05-22,10520.349978090127,0.0,0.0,-0.011049364994997979,-0.0
2015-05-26,10520.349978090127,0.0,0.0,0.012142187050883858,0.0
2015-05-27,10504.576166507451,1.0,0.95,-0.0015782756492768168,-0.0014993618668129758
2015-05-28,10443.578891710145,1.0,0.95,-0.006112351099523017,-0.005806733544546866
2015-05-29,10443.578891710145,0.0,0.0,0.002566848295091173,0.0
2015-06-01,10443.578891710145,0.1232876712328767,0.0,-0.001863691277082169,-0.0
