strategy,valid,fold_year,outer_year,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_score_std,failed_evaluations,candidate_configs,selected_config,holding_days,risk_on_overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_mean_turnover_pct,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common
core-alpha,True,2023,2023,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",11,2010-01-01,2022-12-31,1.0351,1.1704,1.3524,0,1,"h=10,ov=0.6,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10,0.6,100,0.3,fixed,factor_walkforward,0.0,34.73,1.669,-9.75,1555.77,8.52,-20.71,1.0351,0,1.1839,19.48,5.63,0.87,1245.18,34.73,35.05,-9.75,-3.17,37.9,26,1.0,1,1.0,True
tqqq,True,2023,2023,"2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022",11,2010-01-01,2022-12-31,0.9901,1.1292,1.3905,0,1,"h=10,ov=0.6,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10,0.6,100,0.3,fixed,factor_walkforward,0.0,43.14,1.656,-10.55,1466.97,16.93,-12.3,0.9901,0,1.1858,22.47,8.63,3.87,1339.54,43.14,43.55,-10.55,5.24,37.9,26,1.0,1,1.0,True
