group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,JPM,3,0.0,-35.55,-33.96,-106.65,0.0,-13.282,51.4,0.1033,-0.0,3.0
ticker,CSCO,7,0.2857,-15.35,-23.77,-107.43,0.237,-0.663,50.97,0.2914,0.0082,3.14
ticker,NKE,11,0.4545,-10.03,-6.61,-110.38,0.416,-0.384,50.72,0.1482,0.0183,3.18
ticker,AVB,14,0.4286,-7.92,-16.02,-110.86,0.482,-0.333,50.62,0.3071,0.0075,3.21
ticker,DIS,9,0.2222,-12.33,-19.59,-111.01,0.387,-0.413,50.75,0.1111,0.0026,4.0
ticker,EQR,17,0.4706,-6.56,-5.85,-111.46,0.5,-0.301,50.49,0.2941,0.0092,3.24
ticker,PFE,6,0.3333,-18.59,-20.38,-111.52,0.133,-0.838,50.88,0.28,0.0101,3.0
ticker,TSLA,12,0.4167,-9.47,-24.91,-113.67,0.631,-0.216,51.69,0.2683,0.0233,3.33
ticker,JNJ,10,0.3,-11.49,-17.61,-114.9,0.221,-0.742,51.22,0.275,-0.0006,3.0
ticker,SRE,10,0.4,-12.18,-21.29,-121.78,0.29,-0.589,51.14,0.265,0.011,2.9
ticker,AVGO,11,0.3636,-12.55,-17.53,-138.07,0.497,-0.305,51.58,0.2418,0.0294,3.91
ticker,META,24,0.375,-6.28,-20.09,-150.84,0.642,-0.203,50.69,0.1675,0.0139,3.08
ticker,AMGN,8,0.375,-18.89,-34.81,-151.15,0.347,-0.516,51.09,0.3212,0.0093,3.12
ticker,CVS,19,0.4737,-8.22,-3.12,-156.26,0.554,-0.256,50.77,0.3021,0.0155,3.32
ticker,ORCL,10,0.4,-15.94,-27.83,-159.37,0.39,-0.437,51.32,0.448,0.0069,3.1
ticker,AMD,11,0.3636,-15.93,-47.72,-175.22,0.537,-0.298,50.85,0.0964,0.0317,3.27
ticker,NEM,8,0.25,-26.55,-48.36,-212.38,0.369,-0.483,50.67,0.15,0.0307,3.25
ticker,CHTR,14,0.2857,-17.57,-28.02,-245.99,0.341,-0.5,51.28,0.2379,0.0077,3.86
ticker,NOW,13,0.4615,-19.35,-31.4,-251.56,0.344,-0.472,50.78,0.08,0.0401,3.38
ticker,NVDA,10,0.3,-27.18,-31.54,-271.83,0.292,-0.533,51.21,0.475,0.0092,3.4
ticker,VLO,13,0.3077,-25.81,-36.48,-335.55,0.335,-0.47,50.76,0.4562,0.0165,3.62
