date,timestamp,equity,strategy,current_regime,current_gross_exposure,target_gross_exposure,max_drift_abs
2026-05-03,2026-05-03T19:09:02.230004+00:00,1035125.3,core_satellite_alpha,risk_on,0.3206,1.25,0.55
2026-05-04,2026-05-04T15:09:12.901298+00:00,1033190.48,core_satellite_alpha,risk_on,0.9987,1.0,0.00071
2026-05-08,2026-05-08T14:39:59.106019+00:00,1130220.61,core_satellite_alpha,risk_on,0.6852,1.0,0.186667
2026-05-09,2026-05-09T10:46:40.620528+00:00,1151298.22,core_satellite_alpha,risk_on,0.6901,1.0,0.186667
2026-05-11,2026-05-11T14:49:59.743230+00:00,1170001.7,core_satellite_alpha,risk_on,0.4582,1.0,0.190351
2026-05-13,2026-05-13T14:03:09.318816+00:00,1164234.82,core_satellite_alpha,risk_on,0.9042,1.0,0.050451
