ticker,action,reason,price,target_weight,target_value,current_shares,target_shares,delta_shares,limit_price,order_value,current_value,current_weight,drift_abs,drift_threshold,drift_ok,submitted,broker_response,broker_reject_reason,broker_order_id,submitted_at,submission_batch_id,strategy,raw_target_gross_exposure,submitted_target_gross_exposure,target_weight_scale,fill_status,reconciled_at
GOOGL,SELL,rebalance_to_target,382.96,0.0,0.0,446,0,-446,382.577,170800.16,170800.16,0.165031,0.165031,0.01,True,False,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,,2026-05-04T14:47:09.612115+00:00,20260504T144709Z,core_satellite_alpha,1.0,1.0,1.0,not_submitted_or_missing_order_id,2026-05-04T14:47:09.712463+00:00
AMAT,BUY,rebalance_to_target,394.455,0.186667,193192.17,0,489,489,394.8494,192888.49,0.0,0.0,0.186667,0.01,True,False,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,,2026-05-04T14:47:09.612115+00:00,20260504T144709Z,core_satellite_alpha,1.0,1.0,1.0,not_submitted_or_missing_order_id,2026-05-04T14:47:09.712505+00:00
C,BUY,rebalance_to_target,125.655,0.111093,114976.39,0,915,915,125.7807,114974.32,0.0,0.0,0.111093,0.01,True,False,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,,2026-05-04T14:47:09.612115+00:00,20260504T144709Z,core_satellite_alpha,1.0,1.0,1.0,not_submitted_or_missing_order_id,2026-05-04T14:47:09.712534+00:00
MU,BUY,rebalance_to_target,584.91,0.26224,271406.91,0,464,464,585.4949,271398.23,0.0,0.0,0.26224,0.01,True,False,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,,2026-05-04T14:47:09.612115+00:00,20260504T144709Z,core_satellite_alpha,1.0,1.0,1.0,not_submitted_or_missing_order_id,2026-05-04T14:47:09.712560+00:00
QQQ,BUY,rebalance_to_target,676.555,0.44,455380.73,0,673,673,677.2315,455321.51,0.0,0.0,0.44,0.03,True,False,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,Place Order's Price is not valid. Go to https://openapi.moomoo.com/moomoo-api-doc/en/trade/place-order.html for more information.,,2026-05-04T14:47:09.612115+00:00,20260504T144709Z,core_satellite_alpha,1.0,1.0,1.0,not_submitted_or_missing_order_id,2026-05-04T14:47:09.712584+00:00
