date,equity,bull_fraction,invested,day_ret
2015-02-06,10000.0,0.0,0.0,-0.003965079935165705
2015-02-09,10000.0,0.0,0.0,0.012617516087826398
2015-02-10,10017.139262682369,1.0,0.95,0.0018041329139336427
2015-02-11,10116.369731181761,1.0,0.95,0.010427440609249583
2015-02-12,10173.108227850313,1.0,0.95,0.005903771305553018
2015-02-13,10185.845170207283,1.0,0.95,0.0013179165544977335
2015-02-17,10191.266676087736,0.8835616438356164,0.8615068493150684,0.000617823079945401
2015-02-18,10191.266676087736,0.0,0.0,0.0015500566609963462
2015-02-19,10252.017299294384,1.0,0.95,0.006274786683592026
2015-02-20,10252.017299294384,0.0,0.0,0.00032049302322845197
2015-02-23,10252.017299294384,0.0,0.0,0.0019995120197507706
2015-02-24,10252.017299294384,0.0,0.0,-0.0015044219269729987
2015-02-25,10252.017299294384,0.0,0.0,0.001322073431713311
2015-02-26,10215.750470129517,0.9726027397260274,0.9291780821917808,-0.0038071614936069807
2015-02-27,10286.426841088145,0.9794520547945206,0.9343835616438356,0.007404210818566525
2015-03-02,10286.426841088145,0.0,0.0,-0.004327330164605759
2015-03-03,10286.426841088145,0.0,0.0,-0.004072431222563666
2015-03-04,10286.426841088145,0.0,0.0,0.0013569314991150883
2015-03-05,10159.709928847544,1.0,0.95,-0.012967206734836357
2015-03-06,10192.544087065133,0.9178082191780822,0.8875342465753425,0.0036413251289939552
2015-03-09,10192.544087065133,0.0,0.0,-0.01715982757874155
2015-03-10,10192.544087065133,0.0,0.0,-0.0037129402151465877
2015-03-11,10289.656394291382,0.9726027397260274,0.9291780821917808,0.010253985920281082
2015-03-12,10289.656394291382,0.0,0.0,-0.0054184089039394315
2015-03-13,10418.500301915075,1.0,0.95,0.013180728366684758
2015-03-16,10418.500301915075,0.0,0.0,-0.0011463854714026443
2015-03-17,10418.500301915075,0.0,0.0,0.011142666023916004
2015-03-18,10418.500301915075,0.0,0.0,-0.002143626950258759
2015-03-19,10418.500301915075,0.3082191780821918,0.0,0.007885579817350451
2015-03-20,10418.500301915075,0.0,0.0,-0.0019432548133448968
2015-03-23,10418.500301915075,0.0,0.0,-0.004811797862383527
2015-03-24,10418.500301915075,0.18493150684931506,0.0,-0.017946131840370125
2015-03-25,10418.500301915075,0.0,0.0,-0.002794204641475573
2015-03-26,10418.500301915075,0.0,0.0,0.0029717624675649644
2015-03-27,10418.500301915075,0.0,0.0,0.011906966381539652
2015-03-30,10418.500301915075,0.0,0.0,-0.009478634073040748
2015-03-31,10418.500301915075,0.0,0.0,-0.004205115607587895
2015-04-01,10418.500301915075,0.0,0.0,0.00242509356483791
2015-04-02,10490.874072975403,1.0,0.95,0.007312272850978685
2015-04-06,10468.277601740492,1.0,0.95,-0.0022672809747964926
2015-04-07,10468.277601740492,0.0,0.0,0.005202057717789232
2015-04-08,10468.277601740492,0.0,0.0,0.005167330577760022
2015-04-09,10517.151486969467,1.0,0.95,0.004914485165096671
2015-04-10,10480.022028070283,1.0,0.95,-0.003716181229768711
2015-04-13,10479.964548748942,1.0,0.95,-5.7733226723310615e-06
2015-04-14,10479.964548748942,0.0,0.0,0.005192776353815454
2015-04-15,10472.724630475514,1.0,0.95,-0.000727193929727421
2015-04-16,10472.724630475514,0.0,0.0,-0.013142536473614363
2015-04-17,10472.724630475514,0.0,0.0,0.011481693348213584
2015-04-20,10472.724630475514,0.0,0.0,0.0009953701467982025
2015-04-21,10472.724630475514,0.0,0.0,0.005132324471485683
2015-04-22,10500.45867038847,0.9041095890410958,0.8771232876712328,0.0030192064468612667
2015-04-23,10568.4971218159,1.0,0.95,0.006820599442685005
2015-04-24,10568.4971218159,0.15753424657534246,0.0,-0.003507901248348144
2015-04-27,10568.4971218159,0.0,0.0,0.0011090855378906193
2015-04-28,10568.4971218159,0.0,0.0,-0.004976959093288746
