submitted_at,order_id,ticker,side,quantity,price,trade_value,target_weight,fill_status,submitted_order_type,limit_price,limit_reference,limit_offset_bps,bid_price,ask_price,quote_mid_price,spread_pct,requested_quantity,original_quantity_before_cash_clamp,cash_clamped_to_available,cash_clamp_reason,cash_buffer_reserved,cash_available_after_buffer,buying_power_used_for_cash_check,broker_sellable_qty,quantity_clamped_to_sellable,live_risk_cap_enabled,live_risk_signal_target_qty,live_risk_capped_target_qty,live_risk_realized_vol,live_risk_atr_14,live_risk_reason,execution_risk_score,execution_risk_band,execution_risk_buy_scale,execution_symbol_risk_buy_scale,execution_risk_quantity_before_scale,execution_risk_quantity_after_scale,execution_risk_reason,execution_risk_report_orders,execution_risk_avg_slippage_bps,execution_risk_bad_slippage_rate,execution_scorecard_status,execution_scorecard_score,execution_scorecard_buy_scale,execution_scorecard_failed_checks,execution_scorecard_reason,filled_qty,filled_avg_price
2026-08-26T19:39:40.091988+00:00,a9ca6630-f8e6-449e-a62c-d996005d609c,SPY,sell,46,766.67,35266.82,0.0,filled,limit,766.28,quote,5.0,766.67,766.68,766.675,1.3043336485461122e-05,46.0,,False,,,,,46.0,False,False,0.0,0.0,,,,,none,1.0,1.0,46.0,46.0,,,,,missing,,1.0,,,46.0,766.67
2026-08-26T19:39:40.091988+00:00,ebccd4bb-d2f2-420d-aeb3-2fc986ba83cf,COP,sell,131,130.65,17115.15,0.0,filled,limit,130.48,quote,12.0,130.64,130.68,130.66,0.0003061380682689,131.0,,False,,,,,131.0,False,False,0.0,0.0,,,,,none,1.0,1.0,131.0,131.0,,,,,missing,,1.0,,,131.0,130.64
2026-08-26T19:39:40.091988+00:00,8a9206b6-5f92-4776-8824-1259cd6807c3,QQQ,buy,90,711.98,64078.2,0.6,filled,limit,712.39,quote,5.0,712.0,712.03,712.015,4.213394380732529e-05,90.0,,False,,534.71,106407.87,106942.58,,False,False,90.0,90.0,,,,,none,1.0,1.0,90.0,90.0,,,,,missing,,1.0,,,90.0,712.019889
2026-08-26T19:39:40.091988+00:00,3544df2b-d47d-4fba-93a4-c2b80a6bf670,MU,buy,23,938.4,21583.2,0.2,filled,limit,939.63,quote,12.0,937.0,938.5,937.75,0.0015995734470807,23.0,,False,,534.71,106407.87,106942.58,,False,False,23.0,23.0,,,,,none,1.0,1.0,23.0,23.0,,,,,missing,,1.0,,,23.0,938.5
2026-08-26T19:39:40.091988+00:00,ed4b917b-67f4-4b82-a3c4-916654472479,INTC,buy,208,87.735,18248.88,0.1708,filled,limit,87.85,quote,12.0,87.73,87.74,87.735,0.0001139795976519,208.0,,False,,534.71,106407.87,106942.58,,False,False,208.0,208.0,,,,,none,1.0,1.0,208.0,208.0,,,,,missing,,1.0,,,208.0,87.74
2026-08-26T19:39:40.091988+00:00,d588e7ba-9e90-4ffd-a336-f4a07cd3ce73,FCX,buy,30,78.865,2365.95,0.0292,filled,limit,79.95,quote,12.0,78.88,79.85,79.365,0.0122220122220122,40.0,40.0,True,cash_limited:40->30;available_cash_before_order=2415.28;reserve_px=78.96,534.71,106407.87,106942.58,,False,False,40.0,40.0,,,,,none,1.0,1.0,40.0,40.0,,,,,missing,,1.0,,,30.0,78.9
