,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm
2015-01-02,10000.0,1.0,1.0,1.0
2015-01-05,10000.0,0.9819405864578167,0.9853309275623628,0.9866308356395753
2015-01-06,10000.0,0.9726914042214272,0.9721194699330478,0.9695619111382116
2015-01-07,10000.0,0.9848125130613464,0.9846509598449122,0.981501793097715
2015-01-08,10000.0,1.0022883030429686,1.003496953805877,0.9981501570421811
2015-01-09,10000.0,0.9942561467929405,0.9968911846944482,0.9885647016384121
2015-01-12,10000.0,0.9864675033701638,0.9864970355277289,0.9852854278290695
2015-01-13,10000.0,0.9836929818975345,0.9862051257170609,0.9860422290006416
2015-01-14,10000.0,0.9777540493537268,0.9807652227903709,0.9820903255113473
2015-01-15,10000.0,0.9687973515849859,0.9680393412541741,0.9655260588332005
2015-01-16,10000.0,0.9815025324437118,0.9794052067619271,0.981249427073456
2015-01-20,10000.0,0.9835953973833358,0.9871770032451795,0.9771294775021256
2015-01-21,10000.0,0.9885610858429804,0.9922283647038325,0.974018249774819
2015-01-22,10000.0,1.0032615471271316,1.0105885407910513,0.9938618644876097
2015-01-23,10000.0,0.9977611170556743,1.0128225937871083,0.9931890863570556
2015-01-26,10000.0,1.0000975845141986,1.0116571305700817,1.002774690211427
2015-01-27,10000.0,0.9869058264592159,0.985428123374529,0.9979820367348439
2015-01-28,10000.0,0.9742495275492384,0.980376923102961,0.981165700933643
2015-01-29,10000.0,0.9832550175750786,0.9897999200834433,0.9947029113761037
2015-01-30,10000.0,0.97089021652461,0.9821250776317297,0.972841407623458
2015-02-02,10000.0,0.9829140099252779,0.9906737958639716,0.9817541591219741
2015-02-03,10000.0,0.9971279837048211,1.00019398865662,0.9993272960947471
2015-02-04,10000.0,0.9933311568159824,0.9993196293148372,0.9956275359538082
2015-02-05,10000.0,1.0033591316413302,1.0079659463269575,1.0084925620681247
2015-02-06,10000.0,1.0005844307854028,1.00184518915385,1.0073993718312755
2015-02-09,10000.0,0.996106037055208,0.9986398227844714,0.9994115418116689
2015-02-10,10000.0,1.0067179045160641,1.0141828515961793,1.005801672221812
2015-02-11,10000.0,1.0073019765348707,1.0178740358393035,1.0043725382714932
2015-02-12,10000.0,1.0169887643271198,1.0297257998143448,1.015807539731876
2015-02-13,10000.0,1.0211753014312097,1.0385660248895425,1.021861874879152
2015-02-17,10000.0,1.0227817685578748,1.0395378218241187,1.025056680295669
2015-02-18,10000.0,1.0228790839971262,1.040994147135762,1.026149796307217
2015-02-19,10000.0,1.0221485455153727,1.0461432685613778,1.0262340420241387
2015-02-20,10000.0,1.0282825573959284,1.0531375791408437,1.0290088064608671
2015-02-23,10000.0,1.0281361806246305,1.0542060077327893,1.0300178252060959
2015-02-24,10000.0,1.0310569891769088,1.0549833324494908,1.0313631587913004
2015-02-25,10000.0,1.0301807017654008,1.0523602544241422,1.032540223618565
2015-02-26,10000.0,1.0289637654706882,1.0577032033192935,1.0363240068005222
2015-02-27,10000.0,1.0254592436662,1.053040625109305,1.0306906033366499
2015-03-02,10000.0,1.0319332765884166,1.0625604955277836,1.0381735528571359
2015-03-03,10000.0,1.0276981266105256,1.0576060075071272,1.0320357884712519
2015-03-04,10000.0,1.0233656611933832,1.053525959421796,1.0288403892523248
2015-03-05,10000.0,1.0244855511237916,1.055371873917528,1.0318675197133123
2015-03-06,10000.0,1.010076677390798,1.0434229947238631,1.018834595967562
2015-03-09,10000.0,1.0142629454199408,1.046434614217249,1.023291083054772
2015-03-10,10000.0,0.9978098196211246,1.0270058483509996,1.0115196183038109
2015-03-11,10000.0,0.9954732624709511,1.021080288737649,1.0177416284066165
2015-03-12,10000.0,1.0081296510725777,1.0277831730677014,1.0346423583753417
2015-03-13,10000.0,1.0019472953931678,1.0233144223272481,1.030942672459704
2015-03-16,10000.0,1.0153339534016006,1.0365259605501058,1.03699641380457
2015-03-17,10000.0,1.012315560335124,1.0381776446085902,1.039771400917202
2015-03-18,10000.0,1.0244855511237916,1.0483774827445196,1.0480955457767844
2015-03-19,10000.0,1.0198121677484975,1.0499318903972956,1.0501135090419407
2015-03-20,10000.0,1.0288139804167253,1.0567278602688503,1.0593625011551313
2015-03-23,10000.0,1.0268093720597957,1.054683524471665,1.0584378765774267
2015-03-24,10000.0,1.0210396876578012,1.0508860373460804,1.0581855105531677
2015-03-25,10000.0,1.0060776855249338,1.026836360131277,1.032908603788682
2015-03-26,10000.0,1.0036815731197715,1.0233311051905303,1.0316436562047342
2015-03-27,10000.0,1.0059796525524898,1.0274204215332405,1.0382220962041553
2015-03-30,10000.0,1.0182525196626517,1.0392021497199133,1.0523068666939568
2015-03-31,10000.0,1.009353224549322,1.028199599901418,1.048933549427927
2015-04-01,10000.0,1.0057839453741981,1.0228441590071906,1.0493552233643435
2015-04-02,10000.0,1.0094024652646667,1.0235259803761172,1.051295175837883
2015-04-06,10000.0,1.0161990293569736,1.0318994882471244,1.0559335891384631
2015-04-07,10000.0,1.0135094458760228,1.0301468204799797,1.0491862865786923
2015-04-08,10000.0,1.016932527663147,1.0383253725718575,1.058210821380895
2015-04-09,10000.0,1.0214308329394375,1.0448494198312661,1.0544154590519426
2015-04-10,10000.0,1.027004630779842,1.0491334501724783,1.059475843190144
2015-04-13,10000.0,1.0223598590406042,1.0465044082249901,1.0601507738544345
2015-04-14,10000.0,1.0243158545237327,1.0434862606546678,1.0598978140277655
2015-04-15,10000.0,1.0289119236975204,1.050009663165737,1.0673193792241156
2015-04-16,10000.0,1.0286184526217317,1.0485495499575996,1.0667289911779518
2015-04-17,10000.0,1.0167858818169018,1.0321914786513349,1.049439394855964
2015-04-20,10000.0,1.0260758737536224,1.0476728534030866,1.0597289514674157
2015-04-21,10000.0,1.0248536456516144,1.0521518395234277,1.0586327179932151
2015-04-22,10000.0,1.0298895626724882,1.0578963860404893,1.0602347968954526
2015-04-23,10000.0,1.0324813822559422,1.0618884259774908,1.065042221206985
2015-04-24,10000.0,1.0348771358945084,1.0762991961116517,1.0615002640565092
2015-04-27,10000.0,1.030574179029913,1.0735726359778277,1.049776971526061
2015-04-28,10000.0,1.033850614970792,1.0714303790265944,1.0555962351442698
2015-04-29,10000.0,1.0295967194382432,1.064712020736396,1.0441261993416957
2015-04-30,10000.0,1.0192793993529645,1.047964843807297,1.022029030257573
2015-05-01,10000.0,1.0303300383611183,1.0617913107588672,1.028691790199217
2015-05-04,10000.0,1.0332634934359166,1.063543817338927,1.0324030552618502
2015-05-05,10000.0,1.0214308329394375,1.046212498414322,1.0192456556858993
2015-05-06,10000.0,1.0172256399723392,1.039007032753699,1.0227880581881827
2015-05-07,10000.0,1.0212840077098941,1.04523884782827,1.0266676662340568
2015-05-08,10000.0,1.034730400356614,1.0582860558181204,1.0343425623835822
2015-05-11,10000.0,1.0297918884666406,1.0541966588818679,1.0349330246550472
2015-05-12,10000.0,1.0267113390873517,1.0494256017637735,1.0330777632502368
2015-05-13,10000.0,1.0269071359572923,1.0515673751537524,1.0330777632502368
2015-05-14,10000.0,1.037615152865962,1.0669515540933379,1.0440417309488703
2015-05-15,10000.0,1.0387397964537717,1.0669515540933379,1.0428611033071453
2015-05-18,10000.0,1.0419670813709547,1.0716251736186388,1.0546684931039128
2015-05-19,10000.0,1.041624907729716,1.0704567284405424,1.0532345345090126
2015-05-20,10000.0,1.0408912300402446,1.0711381468417567,1.0551744869825523
2015-05-21,10000.0,1.043922718087487,1.0766882211409434,1.0539939335661286
2015-05-22,10000.0,1.0414292902430733,1.0756172941491828,1.049439394855964
2015-05-26,10000.0,1.0302319156970252,1.0632515045605468,1.0394030949723863
2015-05-27,10000.0,1.0400110858878262,1.0803882706737347,1.0521384494854145
2015-05-28,10000.0,1.0388378294262157,1.0779540233182907,1.0512106332197562
2015-05-29,10000.0,1.0323834389751474,1.071528058400015,1.0448851530470042
2015-06-01,10000.0,1.034485990612872,1.075130509152928,1.0481743730467148
2015-06-02,10000.0,1.0334592006142085,1.071722369430805,1.050198497011875
2015-06-03,10000.0,1.0361971278940132,1.0749357145608838,1.0606568419583753
2015-06-04,10000.0,1.027445016776823,1.066756840094836,1.0500299313527302
2015-06-05,10000.0,1.025684728471986,1.0642254775207685,1.0576205817853337
2015-06-08,10000.0,1.0193773426337593,1.0534172387330631,1.0527286148556745
2015-06-09,10000.0,1.019230517404216,1.0516649739336306,1.0495240859246933
2015-06-10,10000.0,1.0314542334906824,1.066075260506537,1.062596571756011
2015-06-11,10000.0,1.0347791926137133,1.0676331336816371,1.0652953294842566
2015-06-12,10000.0,1.0268578055502986,1.0588700366265413,1.0620905036520705
2015-06-15,10000.0,1.0224577126297503,1.0536122751057346,1.0587168894848356
2015-06-16,10000.0,1.0280315104701547,1.059356982809881,1.0662229230740112
2015-06-17,10000.0,1.0296941245691438,1.062278095755122,1.0646205472705688
2015-06-18,10000.0,1.0404022311694625,1.0777594705068738,1.0788743287713225
2015-06-19,10000.0,1.0357837390834053,1.0724308672622744,1.0783678895408757
2015-06-22,10000.0,1.0410902558095523,1.080335804277615,1.085789825863732
2015-06-23,10000.0,1.0418269830150924,1.0812141932965194,1.0880668354302598
2015-06-24,10000.0,1.0342608645736822,1.0756513046240868,1.0788743287713225
2015-06-25,10000.0,1.0311162753569503,1.0735042120603078,1.0782836438239538
