date,equity,strategy_ret,bull_fraction,regime,gross_exposure,cash_weight,realized_vol,spy_trend_ok,qqq_trend_ok,turnover,cost,weight_bil,weight_gld,weight_ief,weight_qqq,weight_spy
2015-02-06,9993.985554337924,-0.000601444566207742,0.0,risk_off,1.0,0.0,0.0,False,False,1.0,0.001,0.5,0.15,0.35,0.0,0.0
2015-02-09,9977.512217414263,-0.001648325068521772,0.0,risk_off,1.0,0.0,0.0,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-10,9957.437565731536,-0.0020119896869372654,1.0,risk_off,1.0,0.0,0.0,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-11,9962.17743078847,0.00047601253089910587,1.0,risk_off,1.0,0.0,0.0,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-12,9959.745394521677,-0.0002441269776300546,1.0,risk_off,1.0,0.0,0.0,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-13,9952.157919042924,-0.0007618142008856948,1.0,risk_on,1.25,0.0,0.0,True,True,2.25,0.0022500000000000003,0.0,0.0,0.0,0.75,0.5
2015-02-17,9963.093777395006,0.0010988429284424228,0.8835616438356164,risk_on,1.25,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.75,0.5
2015-02-18,9996.492176390955,0.003352211646519443,0.0,risk_on,1.25,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.75,0.5
2015-02-19,10076.612935326862,0.008014887374706459,1.0,risk_on,1.25,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.75,0.5
2015-02-20,10083.564977025868,0.0006899185017451015,0.0,risk_on,1.25,0.0,0.0,True,True,0.0,0.0,0.0,0.0,0.0,0.75,0.5
2015-02-23,10103.462541740337,0.0019732668713697277,0.0,risk_on,1.25,0.0,0.08944548978435994,True,True,0.0,0.0,0.0,0.0,0.0,0.75,0.5
2015-02-24,10090.901392857864,-0.001243251888209433,0.0,risk_off,1.0,0.0,0.08741174740992166,True,True,2.25,0.0022500000000000003,0.5,0.15,0.35,0.0,0.0
2015-02-25,10073.690156449678,-0.0017056193235984395,0.0,risk_off,1.0,0.0,0.08965285622687413,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-26,10088.454833666045,0.0014656671971307932,0.9726027397260274,risk_off,1.0,0.0,0.08593899502509199,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-02-27,10054.81154608783,-0.003334830569488506,0.9794520547945206,risk_off,1.0,0.0,0.09027741729235324,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-02,10045.58757283546,-0.0009173690834572868,0.0,risk_off,1.0,0.0,0.08982533291341623,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-03,10043.529989104989,-0.0002048246272857046,0.0,risk_off,1.0,0.0,0.09326106964603208,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-04,10044.072844920578,5.4050300659053114e-05,0.0,risk_off,1.0,0.0,0.09453270436604948,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-05,9865.554203602129,-0.017773531123754155,1.0,risk_on,1.25,0.0,0.09182513839234364,True,True,2.25,0.0022500000000000003,0.0,0.0,0.0,0.75,0.5
2015-03-06,9861.929498473606,-0.0003674101883905528,0.9178082191780822,risk_off,1.0,0.0,0.1032008476186798,False,True,2.25,0.0022500000000000003,0.5,0.15,0.35,0.0,0.0
2015-03-09,9869.317956195513,0.0007491898743599234,0.0,risk_off,1.0,0.0,0.10048118626296476,False,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-10,9866.58317944125,-0.00027709885996201613,0.0,risk_off,1.0,0.0,0.12358172333625964,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-11,9868.343103938174,0.00017837223534397092,0.9726027397260274,risk_off,1.0,0.0,0.11405499617443127,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-12,9866.383737453309,-0.00019855070544548263,0.0,risk_off,1.0,0.0,0.11563123891961201,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-13,9877.438572114275,0.0011204545611785686,1.0,risk_off,1.0,0.0,0.10894881026570538,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-16,9876.528975263616,-9.208833282217113e-05,0.0,risk_off,1.0,0.0,0.11455931667142948,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-17,9945.245242634852,0.006957532098912377,0.0,risk_off,1.0,0.0,0.11465991806666574,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-18,9927.803637937102,-0.0017537631573907974,0.0,risk_off,1.0,0.0,0.11984664027902614,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-19,9958.952083379885,0.00313749612489872,0.3082191780821918,risk_off,1.0,0.0,0.11872214955963534,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-20,9971.837845507875,0.001293887350808087,0.0,risk_off,1.0,0.0,0.11857043666678066,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-23,9987.215636533665,0.0015421220505223098,0.0,risk_off,1.0,0.0,0.11876272197210891,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-24,9973.111301614232,-0.0014122389495465181,0.18493150684931506,risk_off,1.0,0.0,0.11942589234033431,True,True,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-25,9963.230775879058,-0.0009907164811823578,0.0,risk_off,1.0,0.0,0.14408410752642875,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
2015-03-26,9971.394942346089,0.0008194296258596244,0.0,risk_off,1.0,0.0,0.14232914442225328,False,False,0.0,0.0,0.5,0.15,0.35,0.0,0.0
