date,score_column,rank_ic,n_names
2015-07-10,p_up_raw,0.235906,28
2015-07-13,confidence,0.037219,28
2015-07-13,expected_return,0.176245,28
2015-07-13,p_up_raw,0.17734,28
2015-07-14,confidence,-0.045977,28
2015-07-14,expected_return,0.424193,28
2015-07-14,p_up_raw,0.449918,28
2015-07-15,confidence,0.030104,28
2015-07-15,expected_return,0.328407,28
2015-07-15,p_up_raw,0.040504,28
2015-07-16,confidence,0.121511,28
2015-07-16,expected_return,0.142857,28
2015-07-16,p_up_raw,0.058019,28
2015-07-17,confidence,-0.279693,28
2015-07-17,expected_return,0.025178,28
2015-07-17,p_up_raw,0.006021,28
2015-07-20,confidence,0.151067,28
2015-07-20,expected_return,-0.206897,28
2015-07-20,p_up_raw,0.079912,28
2015-07-21,confidence,0.129174,28
2015-07-21,expected_return,-0.337165,28
2015-07-21,p_up_raw,-0.241379,28
2015-07-22,confidence,0.202518,28
2015-07-22,expected_return,-0.269841,28
2015-07-22,p_up_raw,-0.095238,28
2015-07-23,confidence,0.043788,28
2015-07-23,expected_return,-0.183908,28
2015-07-23,p_up_raw,-0.135194,28
2015-07-24,confidence,-0.033935,28
2015-07-24,expected_return,0.393541,28
2015-07-24,p_up_raw,0.119321,28
2015-07-27,confidence,-0.13576,28
2015-07-27,expected_return,0.085933,28
2015-07-27,p_up_raw,-0.003832,28
2015-07-28,confidence,-0.285714,28
2015-07-28,expected_return,0.318008,28
2015-07-28,p_up_raw,-0.108374,28
2015-07-29,confidence,0.157635,28
2015-07-29,expected_return,-0.132458,28
2015-07-29,p_up_raw,-0.106185,28
2015-07-30,confidence,-0.061303,28
2015-07-30,expected_return,-0.274767,28
2015-07-30,p_up_raw,-0.136836,28
2015-07-31,confidence,0.135194,28
2015-07-31,expected_return,0.463054,28
2015-07-31,p_up_raw,0.181719,28
2015-08-03,confidence,-0.1237,28
2015-08-03,expected_return,0.152162,28
2015-08-03,p_up_raw,0.055282,28
2015-08-04,confidence,-0.458675,28
2015-08-04,expected_return,0.307061,28
2015-08-04,p_up_raw,0.059661,28
2015-08-05,confidence,-0.285167,28
2015-08-05,expected_return,0.055829,28
2015-08-05,p_up_raw,-0.092501,28
2015-08-06,confidence,-0.058566,28
2015-08-06,expected_return,0.004926,28
2015-08-06,p_up_raw,0.288451,28
2015-08-07,confidence,0.165846,28
2015-08-07,expected_return,0.01642,28
2015-08-07,p_up_raw,0.149973,28
2015-08-10,confidence,-0.449371,28
2015-08-10,expected_return,-0.048714,28
2015-08-10,p_up_raw,-0.082102,28
2015-08-11,confidence,-0.101259,28
2015-08-11,expected_return,-0.262178,28
2015-08-11,p_up_raw,0.05145,28
2015-08-12,confidence,-0.07225,28
2015-08-12,expected_return,-0.093049,28
2015-08-12,p_up_raw,0.061303,28
2015-08-13,confidence,0.042693,28
2015-08-13,expected_return,0.010947,28
2015-08-13,p_up_raw,0.259989,28
2015-08-14,confidence,0.069513,28
2015-08-14,expected_return,0.064039,28
2015-08-14,p_up_raw,0.049808,28
2015-08-17,confidence,-0.073344,28
2015-08-17,expected_return,-0.059661,28
2015-08-17,p_up_raw,-0.120416,28
2015-08-18,confidence,-0.03503,28
2015-08-18,expected_return,0.152162,28
2015-08-18,p_up_raw,0.09907,28
2015-08-19,confidence,0.3711,28
2015-08-19,expected_return,0.252874,28
2015-08-19,p_up_raw,0.057471,28
2015-08-20,confidence,-0.146689,28
2015-08-20,expected_return,0.232622,28
2015-08-20,p_up_raw,0.013136,28
2015-08-21,confidence,-0.167488,28
2015-08-21,expected_return,0.299398,28
2015-08-21,p_up_raw,0.048714,28
2015-08-24,confidence,0.011494,28
2015-08-24,expected_return,-0.031199,28
2015-08-24,p_up_raw,-0.284072,28
2015-08-25,confidence,0.070608,28
2015-08-25,expected_return,0.312534,28
2015-08-25,p_up_raw,0.253421,28
2015-08-26,confidence,0.157088,28
2015-08-26,expected_return,0.188834,28
2015-08-26,p_up_raw,-0.189381,28
2015-08-27,confidence,0.207991,28
2015-08-27,expected_return,-0.092501,28
2015-08-27,p_up_raw,-0.23919,28
2015-08-28,confidence,0.211823,28
2015-08-28,expected_return,-0.237001,28
2015-08-28,p_up_raw,-0.307061,28
2015-08-31,confidence,0.09907,28
2015-08-31,expected_return,-0.060755,28
2015-08-31,p_up_raw,-0.257252,28
2015-09-01,confidence,0.244663,28
2015-09-01,expected_return,-0.183361,28
2015-09-01,p_up_raw,-0.294472,28
2015-09-02,confidence,0.167488,28
2015-09-02,expected_return,-0.243021,28
2015-09-02,p_up_raw,-0.288451,28
2015-09-03,confidence,0.15873,28
2015-09-03,expected_return,-0.023536,28
2015-09-03,p_up_raw,-0.007663,28
2015-09-04,confidence,0.035577,28
2015-09-04,expected_return,0.242474,28
2015-09-04,p_up_raw,0.109469,28
2015-09-08,confidence,-0.016968,28
2015-09-08,expected_return,0.212917,28
2015-09-08,p_up_raw,0.176245,28
2015-09-09,confidence,-0.046524,28
2015-09-09,expected_return,-0.189381,28
2015-09-09,p_up_raw,-0.020252,28
2015-09-10,confidence,-0.257252,28
2015-09-10,expected_return,-0.095785,28
2015-09-10,p_up_raw,0.062397,28
2015-09-11,confidence,-0.044335,28
2015-09-11,expected_return,0.109469,28
2015-09-11,p_up_raw,0.197592,28
2015-09-14,confidence,0.042693,28
2015-09-14,expected_return,0.331691,28
2015-09-14,p_up_raw,-0.035577,28
2015-09-15,confidence,-0.073344,28
2015-09-15,expected_return,0.255063,28
2015-09-15,p_up_raw,0.033935,28
2015-09-16,confidence,-0.2474,28
2015-09-16,expected_return,0.215654,28
2015-09-16,p_up_raw,0.059113,28
2015-09-17,confidence,-0.248495,28
2015-09-17,expected_return,-0.000547,28
2015-09-17,p_up_raw,-0.051998,28
2015-09-18,confidence,-0.154351,28
2015-09-18,expected_return,-0.060208,28
2015-09-18,p_up_raw,-0.218391,28
2015-09-21,confidence,0.077176,28
2015-09-21,expected_return,0.133005,28
2015-09-21,p_up_raw,-0.147783,28
2015-09-22,confidence,-0.207444,28
2015-09-22,expected_return,0.183908,28
2015-09-22,p_up_raw,0.057471,28
2015-09-23,confidence,-0.395731,28
2015-09-23,expected_return,0.133552,28
2015-09-23,p_up_raw,0.067871,28
2015-09-24,confidence,0.278051,28
2015-09-24,expected_return,0.128626,28
2015-09-24,p_up_raw,-0.069513,28
2015-09-25,confidence,-0.286262,28
2015-09-25,expected_return,0.182813,28
2015-09-25,p_up_raw,-0.472906,28
2015-09-28,confidence,-0.325123,28
2015-09-28,expected_return,0.012589,28
2015-09-28,p_up_raw,-0.259442,28
2015-09-29,confidence,0.283525,28
2015-09-29,expected_return,-0.089765,28
2015-09-29,p_up_raw,0.19376,28
2015-09-30,confidence,0.153804,28
2015-09-30,expected_return,-0.466886,28
2015-09-30,p_up_raw,0.061303,28
2015-10-01,confidence,0.120416,28
2015-10-01,expected_return,-0.052545,28
2015-10-01,p_up_raw,-0.064039,28
2015-10-02,confidence,0.216201,28
2015-10-02,expected_return,-0.189381,28
2015-10-02,p_up_raw,-0.23919,28
2015-10-05,confidence,-0.002189,28
2015-10-05,expected_return,0.081007,28
2015-10-05,p_up_raw,0.102354,28
2015-10-06,confidence,0.321839,28
2015-10-06,expected_return,-0.1133,28
2015-10-06,p_up_raw,0.122605,28
2015-10-07,confidence,0.091954,28
2015-10-07,expected_return,-0.251232,28
2015-10-07,p_up_raw,-0.007115,28
2015-10-08,confidence,-0.207991,28
2015-10-08,expected_return,-0.199781,28
2015-10-08,p_up_raw,0.102901,28
2015-10-09,confidence,0.152162,28
2015-10-09,expected_return,-0.318008,28
2015-10-09,p_up_raw,0.084839,28
2015-10-12,confidence,-0.005473,28
2015-10-12,expected_return,-0.01642,28
2015-10-12,p_up_raw,0.108922,28
2015-10-13,confidence,-0.042146,28
2015-10-13,expected_return,0.147783,28
2015-10-13,p_up_raw,-0.199234,28
2015-10-14,confidence,-0.373837,28
2015-10-14,expected_return,0.270389,28
2015-10-14,p_up_raw,-0.018062,28
2015-10-15,confidence,0.066229,28
2015-10-15,expected_return,0.169677,28
2015-10-15,p_up_raw,0.011494,28
2015-10-16,confidence,-0.285714,28
2015-10-16,expected_return,-0.054735,28
2015-10-16,p_up_raw,-0.019704,28
2015-10-19,confidence,-0.412698,28
2015-10-19,expected_return,-0.003831,28
2015-10-19,p_up_raw,0.472359,28
2015-10-20,confidence,-0.411056,28
2015-10-20,expected_return,0.40832,28
2015-10-20,p_up_raw,0.203065,28
2015-10-21,confidence,-0.439518,28
2015-10-21,expected_return,0.567597,28
2015-10-21,p_up_raw,0.154351,28
2015-10-22,confidence,-0.07827,28
2015-10-22,expected_return,0.28462,28
2015-10-22,p_up_raw,0.110564,28
2015-10-23,confidence,-0.189381,28
2015-10-23,expected_return,0.444992,28
2015-10-23,p_up_raw,-0.089765,28
2015-10-26,confidence,0.066229,28
2015-10-26,expected_return,0.066776,28
2015-10-26,p_up_raw,-0.163109,28
2015-10-27,confidence,0.58347,28
2015-10-27,expected_return,-0.173508,28
2015-10-27,p_up_raw,-0.006568,28
2015-10-28,confidence,-0.20197,28
2015-10-28,expected_return,-0.187739,28
2015-10-28,p_up_raw,0.050903,28
2015-10-29,confidence,0.262726,28
2015-10-29,expected_return,0.094691,28
2015-10-29,p_up_raw,0.264368,28
2015-10-30,confidence,0.085386,28
2015-10-30,expected_return,-0.171319,28
2015-10-30,p_up_raw,0.211275,28
2015-11-02,confidence,0.198139,28
2015-11-02,expected_return,-0.325123,28
2015-11-02,p_up_raw,0.111111,28
2015-11-03,confidence,0.058566,28
2015-11-03,expected_return,-0.084839,28
2015-11-03,p_up_raw,-0.044335,28
2015-11-04,confidence,-0.363437,28
2015-11-04,expected_return,-0.039409,28
2015-11-04,p_up_raw,-0.143404,28
2015-11-05,confidence,-0.090312,28
2015-11-05,expected_return,-0.125342,28
2015-11-05,p_up_raw,-0.275862,28
2015-11-06,confidence,-0.468528,28
2015-11-06,expected_return,0.026273,28
2015-11-06,p_up_raw,-0.164204,28
2015-11-09,confidence,-0.14231,28
2015-11-09,expected_return,-0.042146,28
2015-11-09,p_up_raw,0.158183,28
2015-11-10,confidence,0.064587,28
2015-11-10,expected_return,0.245758,28
2015-11-10,p_up_raw,0.159278,28
2015-11-11,confidence,0.186097,28
2015-11-11,expected_return,0.246305,28
2015-11-11,p_up_raw,0.119869,28
2015-11-12,confidence,0.212917,28
2015-11-12,expected_return,0.022989,28
2015-11-12,p_up_raw,0.315818,28
2015-11-13,confidence,0.022989,28
2015-11-13,expected_return,0.093049,28
2015-11-13,p_up_raw,0.038862,28
2015-11-16,confidence,-0.110016,28
2015-11-16,expected_return,0.164751,28
2015-11-16,p_up_raw,0.220033,28
2015-11-17,confidence,0.204707,28
2015-11-17,expected_return,-0.016968,28
2015-11-17,p_up_raw,0.035577,28
2015-11-18,confidence,0.339354,28
2015-11-18,expected_return,-0.167488,28
2015-11-18,p_up_raw,0.176793,28
2015-11-19,confidence,-0.293924,28
2015-11-19,expected_return,-0.413793,28
2015-11-19,p_up_raw,-0.079365,28
2015-11-20,confidence,-0.279146,28
2015-11-20,expected_return,0.320744,28
2015-11-20,p_up_raw,0.075534,28
2015-11-23,confidence,-0.144499,28
2015-11-23,expected_return,-0.012589,28
2015-11-23,p_up_raw,0.049261,28
2015-11-24,confidence,0.047072,28
2015-11-24,expected_return,-0.164204,28
2015-11-24,p_up_raw,0.459223,28
2015-11-25,confidence,0.031199,28
2015-11-25,expected_return,-0.035577,28
2015-11-25,p_up_raw,-0.14012,28
2015-11-27,confidence,0.036125,28
2015-11-27,expected_return,-0.168035,28
2015-11-27,p_up_raw,-0.183361,28
2015-11-30,confidence,-0.097975,28
2015-11-30,expected_return,-0.070608,28
2015-11-30,p_up_raw,-0.1237,28
2015-12-01,confidence,-0.091954,28
2015-12-01,expected_return,0.180077,28
2015-12-01,p_up_raw,0.155993,28
2015-12-02,confidence,-0.163109,28
2015-12-02,expected_return,0.085386,28
2015-12-02,p_up_raw,-0.131363,28
2015-12-03,confidence,0.194855,28
2015-12-03,expected_return,-0.010947,28
2015-12-03,p_up_raw,-0.051998,28
2015-12-04,confidence,0.099617,28
2015-12-04,expected_return,-0.285714,28
2015-12-04,p_up_raw,-0.186097,28
2015-12-07,confidence,0.006021,28
2015-12-07,expected_return,-0.01861,28
2015-12-07,p_up_raw,0.059661,28
2015-12-08,confidence,-0.340996,28
2015-12-08,expected_return,-0.273673,28
2015-12-08,p_up_raw,-0.232622,28
2015-12-09,confidence,-0.322386,28
2015-12-09,expected_return,-0.148878,28
2015-12-09,p_up_raw,-0.28243,28
2015-12-10,confidence,-0.271483,28
2015-12-10,expected_return,-0.303229,28
2015-12-10,p_up_raw,-0.213465,28
2015-12-11,confidence,0.152162,28
2015-12-11,expected_return,0.332239,28
2015-12-11,p_up_raw,0.008758,28
2015-12-14,confidence,0.01642,28
2015-12-14,expected_return,0.326218,28
2015-12-14,p_up_raw,0.114943,28
2015-12-15,confidence,0.311987,28
2015-12-15,expected_return,-0.402299,28
2015-12-15,p_up_raw,-0.202518,28
2015-12-16,confidence,0.094143,28
2015-12-16,expected_return,0.003831,28
2015-12-16,p_up_raw,0.215107,28
2015-12-17,confidence,0.436234,28
2015-12-17,expected_return,-0.444992,28
2015-12-17,p_up_raw,-0.175151,28
2015-12-18,confidence,0.097427,28
2015-12-18,expected_return,0.139573,28
2015-12-18,p_up_raw,0.227696,28
2015-12-21,confidence,0.223317,28
2015-12-21,expected_return,-0.252874,28
2015-12-21,p_up_raw,0.084291,28
2015-12-22,confidence,-0.032841,28
2015-12-22,expected_return,-0.411604,28
2015-12-22,p_up_raw,0.239737,28
2015-12-23,confidence,-0.110016,28
2015-12-23,expected_return,-0.363437,28
2015-12-23,p_up_raw,0.195402,28
2015-12-24,confidence,0.033935,28
2015-12-24,expected_return,-0.287904,28
2015-12-24,p_up_raw,-0.211275,28
2015-12-28,confidence,0.116037,28
2015-12-28,expected_return,0.081007,28
2015-12-28,p_up_raw,-0.142857,28
2015-12-29,confidence,0.168582,28
2015-12-29,expected_return,-0.139573,28
2015-12-29,p_up_raw,-0.26601,28
2015-12-30,confidence,0.110564,28
2015-12-30,expected_return,0.037219,28
2015-12-30,p_up_raw,-0.039409,28
2015-12-31,confidence,-0.086481,28
2015-12-31,expected_return,-0.042146,28
2015-12-31,p_up_raw,0.227148,28
2016-01-04,confidence,0.094143,28
2016-01-04,expected_return,-0.08046,28
2016-01-04,p_up_raw,-0.07225,28
2016-01-05,confidence,0.368911,28
2016-01-05,expected_return,0.114943,28
2016-01-05,p_up_raw,0.273125,28
2016-01-06,confidence,0.021346,28
2016-01-06,expected_return,0.072797,28
2016-01-06,p_up_raw,0.023536,28
2016-01-07,confidence,-0.429666,28
2016-01-07,expected_return,-0.283525,28
2016-01-07,p_up_raw,-0.483853,28
2016-01-08,confidence,-0.133552,28
2016-01-08,expected_return,-0.206349,28
2016-01-08,p_up_raw,-0.143404,28
2016-01-11,confidence,0.124247,28
2016-01-11,expected_return,-0.03503,28
2016-01-11,p_up_raw,-0.081007,28
2016-01-12,confidence,-0.048714,28
2016-01-12,expected_return,-0.09907,28
2016-01-12,p_up_raw,-0.02682,28
2016-01-13,confidence,0.267652,28
2016-01-13,expected_return,0.182813,28
2016-01-13,p_up_raw,0.267652,28
2016-01-14,confidence,0.380405,28
2016-01-14,expected_return,0.198686,28
2016-01-14,p_up_raw,0.372195,28
2016-01-15,confidence,0.176793,28
2016-01-15,expected_return,0.120416,28
2016-01-15,p_up_raw,0.296114,28
2016-01-19,confidence,0.051998,28
2016-01-19,expected_return,-0.135194,28
2016-01-19,p_up_raw,-0.075534,28
2016-01-20,confidence,0.362343,28
