group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2025,171,0.4211,17.18,-48.31,2937.28,2.68,19.38,1.397
entry_year,2017,167,0.5329,12.1,18.67,2020.9,2.89,19.84,1.81
entry_year,2016,138,0.471,13.63,-17.48,1881.47,3.51,19.41,1.764
entry_year,2024,191,0.4188,9.65,-40.14,1844.04,2.76,19.86,1.268
entry_year,2023,161,0.4224,10.2,-43.07,1642.56,2.81,19.93,1.311
entry_year,2020,85,0.4941,19.18,-26.46,1629.94,2.71,19.9,1.805
entry_year,2021,182,0.4286,8.1,-34.36,1474.83,2.95,19.91,1.293
entry_year,2019,163,0.4233,8.04,-24.39,1310.55,3.07,19.81,1.373
entry_year,2026,33,0.3939,11.87,-53.51,391.63,2.79,19.28,1.24
entry_year,2015,82,0.4146,1.53,-23.59,125.85,2.84,19.34,1.073
entry_year,2018,132,0.3636,-5.47,-30.2,-722.03,2.84,19.84,0.801
entry_year,2022,75,0.28,-10.23,-55.0,-767.61,2.85,19.3,0.782
exit_reason,time_exit,1580,0.4297,8.71,-25.61,13769.41,2.9,19.71,1.302
sector,XLK,905,0.4287,11.76,-34.58,10640.25,2.87,19.52,1.354
sector,XLY,369,0.4336,6.15,-23.52,2269.81,2.83,19.96,1.261
sector,XLV,306,0.4281,2.81,-21.23,859.35,3.09,19.97,1.125
signal,LONG,1580,0.4297,8.71,-25.61,13769.41,2.9,19.71,1.302
signal_quality,LOW,578,0.4567,14.11,-23.4,8158.24,2.97,19.75,1.528
signal_quality,MEDIUM,461,0.4295,7.83,-24.77,3610.21,2.95,19.7,1.267
signal_quality,HIGH,541,0.4011,3.7,-29.55,2000.96,2.8,19.67,1.12
ticker,AMD,298,0.4262,14.86,-46.58,4427.95,2.72,19.16,1.392
ticker,MU,293,0.4096,11.95,-42.36,3502.19,2.87,19.41,1.322
ticker,META,314,0.449,8.63,-24.19,2710.11,3.01,19.96,1.345
ticker,AMZN,369,0.4336,6.15,-23.52,2269.81,2.83,19.96,1.261
ticker,LLY,306,0.4281,2.81,-21.23,859.35,3.09,19.97,1.125
