date,n_positions,gross_exposure,net_exposure,turnover,cost,period_return
2011-06-22,5,1.0,1.0,2.0,0.002,0.01987001087644514
2011-06-29,5,1.0,1.0,2.0,0.002,0.040893550319241814
2011-07-07,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,-0.033143102030719206
2011-07-14,5,1.0,1.0,2.0,0.002,0.02525556432975913
2011-07-21,5,1.0,1.0,2.0000000000000004,0.0020000000000000005,-0.045839315419728244
2011-07-28,5,1.0,1.0,2.0,0.002,-0.1175904642162684
2011-08-04,5,1.0,1.0,2.0,0.002,-0.013714513234286381
2011-08-11,5,1.0,1.0,2.0,0.002,-0.030368010495365853
2011-08-18,5,1.0,1.0,2.0,0.002,0.004528463302614515
2011-08-25,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.08538151504140448
2011-09-01,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.00805038910262595
2011-09-09,5,1.0,1.0,2.0,0.002,0.08474547227438604
2011-09-16,5,1.0,1.0,2.0,0.002,-0.08111102095189167
2011-09-23,5,0.9999999999999999,0.9999999999999999,2.0,0.002,-0.0913344519706196
2011-09-30,5,1.0,1.0,2.0,0.002,0.03825357180260327
2011-10-07,5,1.0,1.0,2.0,0.002,0.06085623892847611
2011-10-14,5,1.0,1.0,2.0,0.002,0.02764928325145445
2011-10-21,5,1.0,1.0,2.0,0.002,0.06958275569586526
2011-10-28,5,1.0,1.0,2.0,0.002,0.055625359320052054
2011-11-04,5,0.9999999999999999,0.9999999999999999,2.0,0.002,-0.01220958547855767
2011-11-11,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.03615028958126739
2011-11-18,5,1.0,1.0,2.0,0.002,-0.013622636401583801
2011-11-28,5,1.0,1.0,2.0,0.002,0.0417492152494949
2011-12-05,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,-0.0032927238755603334
2011-12-12,5,1.0,1.0,2.0,0.002,-0.07637059572468975
2011-12-19,5,1.0,1.0,2.0,0.002,0.04150026933825998
2011-12-27,5,1.0,1.0,2.0,0.002,0.02063262351634384
2012-01-04,5,1.0,1.0,2.0,0.002,0.02946786662478107
2012-01-11,5,1.0,1.0,2.0,0.002,-0.03964301266545879
2012-01-19,5,1.0,1.0,2.0,0.002,0.007748510272818407
2012-01-26,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.013021122856165088
2012-02-02,5,1.0,1.0,2.0,0.002,3.147968990677326e-05
2012-02-09,5,1.0,1.0,2.0,0.002,0.002275627173956126
2012-02-16,5,1.0,1.0,2.0,0.002,-0.008715817715904128
2012-02-24,5,1.0,1.0,2.0,0.002,0.0032373405734763498
2012-03-02,5,1.0,1.0,2.0,0.002,-0.002670936177059396
2012-03-09,5,1.0,1.0,2.0,0.002,0.029706399683453913
2012-03-16,5,1.0,1.0,2.0,0.002,0.0033889319668614273
2012-03-23,5,1.0,1.0,2.0,0.002,-0.022144082014137194
2012-03-30,5,1.0,1.0,2.0,0.002,-0.039060380818187745
2012-04-09,5,1.0,1.0,2.0,0.002,-0.019469662283494935
2012-04-16,5,1.0,1.0,2.0,0.002,-0.007127986036543213
2012-04-23,5,1.0,1.0,2.0,0.002,0.015382606971265375
2012-04-30,5,1.0,1.0,2.0,0.002,-0.06219401798321776
2012-05-07,5,1.0,1.0,2.0,0.002,0.05311129926549704
2012-05-14,5,1.0,1.0,2.0,0.002,-0.02956577650907711
2012-05-21,5,1.0,1.0,2.0,0.002,0.01871661504601351
2012-05-29,5,1.0,1.0,2.0,0.002,-0.028024891522618715
2012-06-05,5,1.0,1.0,2.0,0.002,0.016299475613510687
2012-06-12,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.0294342499883261
2012-06-19,5,1.0,1.0,2.0,0.002,-0.06394295474777695
2012-06-26,5,1.0,1.0,2.0,0.002,0.10109197925621044
2012-07-03,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.00924396995611758
2012-07-11,5,1.0,1.0,2.0,0.002,0.02851197257128093
2012-07-18,5,1.0,1.0,2.0,0.002,-0.03540440425963983
2012-07-25,5,1.0,1.0,2.0,0.002,-0.03869494097632801
2012-08-01,5,1.0,1.0,2.0,0.002,0.025356147558674227
2012-08-08,5,1.0,1.0,2.0,0.002,0.017386271074675212
2012-08-15,5,1.0,1.0,2.0,0.002,-0.004785432665415701
2012-08-22,5,1.0,1.0,2.0,0.002,-0.006937135171028859
2012-08-29,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.006138681476452796
2012-09-06,5,1.0,1.0,2.0,0.002,0.0432517562061851
2012-09-13,5,1.0,1.0,2.0,0.002,-0.018790868633541555
2012-09-20,5,1.0,1.0,2.0,0.002,-0.030611333141536683
2012-09-27,5,1.0,1.0,2.0,0.002,0.010019077347557468
2012-10-04,5,1.0,1.0,2.0,0.002,-0.008503545232627018
2012-10-11,5,1.0,1.0,2.0,0.002,0.0041240213079733875
2012-10-18,5,1.0,1.0,2.0,0.002,-0.07579488652737164
2012-10-25,5,1.0,1.0,2.0,0.002,0.03455032346859063
2012-11-05,5,1.0,1.0,2.0,0.002,-0.01926092199647588
2012-11-12,5,1.0,1.0,2.0,0.002,0.008155810330343072
2012-11-19,5,1.0,1.0,2.0,0.002,0.006267047825621522
2012-11-27,5,1.0,1.0,1.9999999999999998,0.0019999999999999996,0.02863808420746104
