ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
GOOGL,119,0.5462,15.0446,21.03,1790.31,119,0
HD,171,0.5088,6.8724,13.22,1175.18,171,0
MSFT,135,0.5037,7.7168,8.56,1041.77,135,0
UNH,142,0.4648,7.1628,-14.81,1017.12,142,0
MU,107,0.3925,8.7142,-36.22,932.42,107,0
META,112,0.4643,6.9369,-17.57,776.93,112,0
MA,119,0.479,4.7488,-15.33,565.11,119,0
V,149,0.4631,2.533,-16.05,377.42,149,0
AMD,96,0.3646,3.4631,-40.675,332.46,96,0
BRK-B,185,0.4324,1.4856,-14.5,274.83,185,0
AMZN,136,0.4044,1.9376,-21.63,263.51,136,0
CAT,133,0.391,0.4392,-22.57,58.42,133,0
NVDA,93,0.4409,-0.2528,-30.59,-23.51,93,0
PG,186,0.3817,-2.2496,-16.77,-418.42,186,0
LLY,118,0.322,-6.9996,-21.325,-825.95,118,0
