ticker,target_weight,broker_qty,broker_value,broker_weight,planned_side,planned_quantity,planned_buy_qty,planned_sell_qty,planned_current_qty,planned_target_qty,planned_target_weight,submitted_quantity,accepted_quantity,filled_quantity,failed_quantity,skipped_quantity,open_quantity,latest_fill_status,expected_qty_from_log,quantity_gap,open_buy_qty,open_sell_qty,open_rebalance_sell_qty,open_rebalance_order_count,trailing_stop_qty,trailing_stop_count,stop_required,issue_severity,issues
FCX,0.080325,40.0,2834.0,0.02547,buy,86.0,86.0,0.0,40.0,126.0,0.0803,87.0,0.0,0.0,0.0,87.0,0.0,skipped,40.0,0.0,0.0,40.0,0.0,0,40.0,1,True,warning,latest_logged_order_skipped;broker_weight_gap_0.0549
GS,0.188679,0.0,0.0,0.0,buy,22.0,22.0,0.0,0.0,22.0,0.1887,22.0,0.0,0.0,0.0,22.0,0.0,skipped,0.0,0.0,0.0,0.0,0.0,0,0.0,0,False,warning,latest_logged_order_skipped;target_position_missing_at_broker;broker_weight_gap_0.1887
INTC,0.0,199.0,21742.74,0.19541,sell,199.0,0.0,199.0,199.0,0.0,0.0,199.0,0.0,0.0,0.0,199.0,0.0,skipped,199.0,0.0,0.0,199.0,0.0,0,199.0,1,False,warning,latest_logged_order_skipped;extra_broker_position_not_in_target;broker_weight_gap_0.1954;stale_trailing_stop_without_required_position
MU,0.230995,19.0,18625.7,0.167396,buy,7.0,7.0,0.0,19.0,26.0,0.231,7.0,0.0,0.0,0.0,7.0,0.0,skipped,19.0,0.0,0.0,19.0,0.0,0,19.0,1,True,warning,latest_logged_order_skipped;broker_weight_gap_0.0636
QQQ,0.375,58.0,41514.08,0.373102,,0.0,0.0,0.0,,,,32.0,32.0,32.0,0.0,0.0,0.0,filled,,,0.0,58.0,0.0,0,58.0,1,True,pass,
SPY,0.125,0.0,0.0,0.0,buy,18.0,18.0,0.0,0.0,18.0,0.125,18.0,0.0,0.0,0.0,18.0,0.0,skipped,0.0,0.0,0.0,0.0,0.0,0,0.0,0,False,warning,latest_logged_order_skipped;target_position_missing_at_broker;broker_weight_gap_0.1250
TQQQ,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0,0.0,0,False,pass,
