ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
LLY,31,0.8065,20.4842,27.95,635.01,31,0
AMZN,38,0.6579,8.7297,31.64,331.73,38,0
MA,42,0.6667,5.0771,19.475,213.24,42,0
COST,39,0.6923,5.4415,15.95,212.22,39,0
AMD,45,0.5556,4.6473,29.68,209.13,45,0
META,33,0.5758,4.1697,28.54,137.6,33,0
HD,47,0.617,2.3902,17.98,112.34,47,0
TSLA,27,0.5926,3.4993,42.32,94.48,27,0
GOOGL,32,0.625,1.2066,22.335,38.61,32,0
AAPL,24,0.625,0.9467,20.09,22.72,24,0
V,27,0.5926,0.6189,15.06,16.71,27,0
ABBV,39,0.641,0.369,18.2,14.39,39,0
FRC,19,0.5789,-0.5247,21.36,-9.97,19,0
UNH,32,0.5,-1.0131,-6.62,-32.42,32,0
BRK-B,33,0.5758,-1.2682,10.48,-41.85,33,0
MSFT,42,0.5476,-1.0514,17.735,-44.16,42,0
CAT,31,0.5806,-1.7135,17.64,-53.12,31,0
BTC-USD,108,0.5278,-0.7684,15.225,-82.99,108,0
CVX,20,0.5,-6.3765,-5.07,-127.53,20,0
JPM,31,0.4839,-5.0594,-25.11,-156.84,31,0
PG,37,0.5135,-4.4103,6.86,-163.18,37,0
JNJ,34,0.5294,-4.8726,11.535,-165.67,34,0
BAC,33,0.4848,-5.247,-34.18,-173.15,33,0
XOM,35,0.5429,-5.5834,12.91,-195.42,35,0
BBBY,18,0.4444,-14.6144,-27.555,-263.06,18,0
DE,31,0.5161,-8.8671,10.11,-274.88,31,0
INTC,21,0.381,-19.1495,-44.91,-402.14,21,0
MU,41,0.4634,-10.3451,-50.39,-424.15,41,0
GS,57,0.4386,-10.0205,-36.78,-571.17,57,0
NVDA,47,0.4894,-13.0319,-41.05,-612.5,47,0
