ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
AMD,121,0.3802,-0.5425,-17.71,-65.64,121,0
MA,139,0.3597,-0.9956,-9.04,-138.39,139,0
V,144,0.3542,-1.007,-8.745,-145.01,144,0
META,179,0.3575,-0.9735,-12.27,-174.26,179,0
UNH,189,0.3386,-0.9861,-10.58,-186.38,189,0
MSFT,160,0.3563,-1.4799,-10.185,-236.79,160,0
BRK-B,146,0.3493,-2.0297,-8.19,-296.34,146,0
CAT,235,0.3404,-1.395,-11.61,-327.83,235,0
LLY,202,0.3416,-1.7803,-10.96,-359.63,202,0
MU,167,0.3234,-2.194,-17.85,-366.4,167,0
PG,183,0.3388,-2.3476,-8.61,-429.61,183,0
AMZN,207,0.3478,-2.1637,-11.73,-447.89,207,0
HD,168,0.3095,-2.764,-10.93,-464.36,168,0
GOOGL,164,0.3171,-3.482,-11.55,-571.04,164,0
NVDA,145,0.3448,-4.6584,-16.85,-675.47,145,0
