group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2017,130,0.7077,33.09,27.76,4301.7,10.0,15.0,4.445
entry_year,2018,103,0.5922,-1.69,31.55,-174.11,10.0,15.0,0.965
exit_reason,time_exit,233,0.6567,17.71,29.62,4127.59,10.0,15.0,1.67
sector,XLK,233,0.6567,17.71,29.62,4127.59,10.0,15.0,1.67
signal,LONG,233,0.6567,17.71,29.62,4127.59,10.0,15.0,1.67
signal_quality,HIGH,233,0.6567,17.71,29.62,4127.59,10.0,15.0,1.67
ticker,MSFT,115,0.7652,38.97,36.87,4481.67,10.0,15.0,7.19
ticker,NVDA,54,0.6111,17.55,32.36,947.68,10.0,15.0,1.423
ticker,GOOGL,35,0.5143,-11.71,2.89,-409.89,10.0,15.0,0.698
ticker,META,29,0.4828,-30.75,-4.32,-891.87,10.0,15.0,0.516
