valid,fold_year,outer_year,strategy,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_score_std,failed_evaluations,candidate_configs,selected_config,holding_days,overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_mean_turnover_pct,inner_cost_stress_approval_pass,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common
True,2014,2014,core-alpha,2013,1,2010-01-01,2013-12-31,3.325,3.325,0.0,0,12,"h=10,ov=0.25,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top10,weighting=sticky_score,tqqq=0.0",10,0.25,100,0.3,fixed,regime_adaptive,0.0,28.94,2.018,-6.3,179.06,13.59,7.77,3.325,0,3.325,53.95,22.58,16.85,148.95,True,28.94,29.21,-6.3,11.26,17.68,26,0.5,1,0.5,True
True,2015,2015,core-alpha,"2013,2014",2,2010-01-01,2014-12-31,2.6183,2.668,0.497,0,12,"h=10,ov=0.25,ma=100,vol=fixed:0.3,score=regime_adaptive,shape=top5,weighting=sticky_score,tqqq=0.0",10,0.25,100,0.3,fixed,regime_adaptive,0.0,2.97,0.247,-15.7,351.95,2.22,-5.34,2.6183,0,2.668,42.0,18.64,12.87,150.71,True,2.97,2.88,-15.7,-0.81,3.78,27,0.5,1,0.5,False
