ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
NVDA,59,0.6441,8.4683,30.15,499.63,59,0
XOM,26,0.5769,3.8846,5.42,101.0,26,0
AMZN,5,0.6,9.404,43.12,47.02,5,0
GOOGL,9,0.5556,4.4644,26.46,40.18,9,0
MU,4,0.5,9.61,11.295,38.44,4,0
MA,57,0.5789,0.5695,11.35,32.46,57,0
META,5,0.8,5.436,9.49,27.18,5,0
LLY,48,0.5833,0.5073,12.165,24.35,48,0
UNH,110,0.5545,0.1758,7.54,19.34,110,0
GS,6,0.5,1.6867,9.035,10.12,6,0
COST,41,0.6341,0.241,14.06,9.88,41,0
TSLA,4,0.5,2.4,-3.025,9.6,4,0
INTC,5,0.6,0.562,2.89,2.81,5,0
ABBV,9,0.5556,-1.6144,15.06,-14.53,9,0
PG,10,0.5,-1.803,-2.905,-18.03,10,0
BAC,4,0.5,-5.4025,-9.45,-21.61,4,0
BRK-B,5,0.4,-5.1,-9.47,-25.5,5,0
JNJ,41,0.5366,-0.6851,8.02,-28.09,41,0
HD,9,0.4444,-3.1389,-6.09,-28.25,9,0
MSFT,3,0.3333,-18.7067,-35.91,-56.12,3,0
DE,5,0.2,-14.592,-23.76,-72.96,5,0
AAPL,7,0.2857,-11.32,-10.82,-79.24,7,0
V,10,0.6,-8.497,10.46,-84.97,10,0
JPM,30,0.5667,-3.1463,2.115,-94.39,30,0
BTC-USD,7,0.4286,-13.8914,-13.16,-97.24,7,0
CVX,19,0.4211,-10.7042,-4.33,-203.38,19,0
AMD,4,0.25,-52.74,-84.075,-210.96,4,0
CAT,40,0.5,-5.858,-2.695,-234.32,40,0
