lookback_days,daily_ic_mean,daily_ic_positive_rate,daily_ic_newey_west_tstat,top_bucket_excess_return_pct,top_vs_rest_return_pct,cross_sections,observations,decile_mean_return_pct,decile_monotonicity_spearman,overlay_periods,overlay_return_sum_pct,overlay_hit_rate,legacy_overlay_raw_return_sum_pct,top_selected_ticker,top_selected_count,as_of,rank_ic_warning,legacy_overlay_raw_return_warning,edge_health_status,warning
60,0.09921,1.0,0.0,0.0059,0.0059,3,186,"{'1': -1.4989, '2': -1.6154, '3': -1.2067, '4': 0.6397, '5': 2.9272, '6': 1.0752, '7': 0.9644, '8': 0.9426, '9': -0.0476, '10': 0.2165}",0.4424,3,12.4555,1.0,12.4555,FCX,2,2026-08-18,False,False,advisory,False
120,0.09698,0.8,0.0,4.3435,4.3435,5,310,"{'1': 2.3518, '2': 0.1381, '3': -2.2538, '4': -0.3602, '5': 2.047, '6': -0.2104, '7': -0.3135, '8': 0.7101, '9': 0.9351, '10': 4.7184}",0.2848,5,13.5964,0.8,13.5964,PEP,2,2026-08-18,False,False,advisory,False
