name,shape,weighting,exit_floor,max_sector,paper_ready,return,sharpe,dd,alpha_qqq,alpha_blend,t_blend,turnover,cost
overlay70_core55,top3,score,0.8,1,False,4970.74,1.124,-36.83,3453.94,3922.73,2.909,16036.11,32.0722
overlay70_core55,top3,equal,0.8,1,False,4893.15,1.197,-35.28,3376.36,3845.15,3.214,8610.0,17.22
overlay65_core60,top3,score,0.8,1,False,4760.05,1.135,-36.67,3243.25,3712.05,2.949,15109.67,30.2193
overlay65_core60,top3,equal,0.8,1,False,4678.04,1.202,-35.23,3161.25,3630.04,3.26,8116.67,16.2333
overlay60_core65,top3,score,0.8,1,False,4550.5,1.144,-36.51,3033.7,3502.5,2.987,14183.22,28.3664
overlay60_core65,top3,equal,0.8,1,False,4466.78,1.206,-35.18,2949.99,3418.78,3.304,7623.33,15.2467
overlay70_core55,top3,equal,0.7,1,False,4461.92,1.181,-35.69,2945.13,3413.92,3.133,7046.67,14.0933
overlay70_core55,top3,equal,0.6,1,False,4447.64,1.152,-35.69,2930.84,3399.64,2.904,6066.67,12.1333
overlay65_core60,top3,equal,0.7,1,False,4290.21,1.186,-35.61,2773.41,3242.2,3.186,6633.33,13.2667
overlay65_core60,top3,equal,0.6,1,False,4269.92,1.158,-35.61,2753.12,3221.92,2.952,5710.0,11.42
overlay60_core65,top3,equal,0.7,1,False,4120.44,1.19,-35.54,2603.64,3072.44,3.238,6220.0,12.44
overlay60_core65,top3,equal,0.6,1,False,4094.22,1.163,-35.54,2577.42,3046.21,3.0,5353.33,10.7067
overlay70_core55,top7,score,0.7,2,False,3893.78,1.173,-34.43,2376.99,2845.78,3.093,13729.05,27.4581
overlay70_core55,top7,equal,0.8,3,False,3848.99,1.191,-34.54,2332.19,2800.99,3.313,9030.0,18.06
overlay65_core60,top7,score,0.7,2,False,3788.68,1.178,-34.34,2271.89,2740.68,3.169,12930.56,25.8611
overlay50_fast75,top3,score,0.8,1,False,3741.54,1.15,-35.7,2224.74,2693.54,3.051,11899.95,23.7999
overlay65_core60,top7,equal,0.8,3,False,3722.36,1.192,-34.49,2205.56,2674.36,3.367,8510.0,17.02
overlay70_core55,top7,score,0.8,3,False,3707.1,1.144,-34.83,2190.3,2659.1,2.995,14981.01,29.962
overlay60_core65,top7,score,0.7,2,False,3683.36,1.182,-34.24,2166.57,2635.36,3.244,12132.07,24.2641
overlay50_fast75,top3,equal,0.6,1,False,3606.92,1.163,-35.33,2090.12,2558.92,3.193,4550.0,9.1
overlay60_core65,top7,equal,0.8,3,False,3597.32,1.191,-34.45,2080.52,2549.31,3.416,7990.0,15.98
overlay65_core60,top7,score,0.8,3,False,3591.78,1.147,-34.79,2074.98,2543.78,3.051,14117.02,28.234
overlay60_core65,top7,score,0.8,3,False,3477.33,1.149,-34.75,1960.54,2429.33,3.106,13253.04,26.5061
overlay70_core55,top7,equal,0.8,2,False,3459.44,1.182,-33.54,1942.65,2411.44,3.08,9300.0,18.6
overlay65_core60,top7,equal,0.8,2,False,3373.13,1.185,-33.46,1856.34,2325.13,3.15,8772.86,17.5457
overlay70_core55,top7,equal,0.7,3,False,3293.2,1.146,-33.81,1776.41,2245.2,3.034,7370.0,14.74
overlay60_core65,top7,equal,0.8,2,False,3286.63,1.186,-33.38,1769.83,2238.62,3.219,8245.71,16.4914
overlay70_core55,top7,score,0.8,2,False,3073.39,1.102,-35.16,1556.59,2025.39,2.585,15076.91,30.1538
overlay70_core55,top7,score,0.6,2,False,3054.74,1.119,-33.38,1537.95,2006.74,2.674,12733.45,25.4669
overlay65_core60,top7,score,0.8,2,False,3014.79,1.107,-35.02,1497.99,1966.79,2.651,14212.21,28.4244
overlay65_core60,top7,score,0.6,2,False,3006.77,1.125,-33.36,1489.98,1958.77,2.737,11986.31,23.9726
overlay70_core55,top7,score,0.6,3,False,3001.32,1.089,-34.73,1484.52,1953.32,2.635,12856.06,25.7121
overlay50_fast75,top7,equal,0.8,3,False,2983.12,1.153,-33.34,1466.33,1935.12,3.345,6785.71,13.5714
overlay60_core65,top7,score,0.6,2,False,2957.26,1.131,-33.34,1440.46,1909.26,2.798,11239.18,22.4784
overlay60_core65,top7,score,0.8,2,False,2955.0,1.113,-34.87,1438.21,1907.0,2.719,13347.51,26.695
overlay65_core60,top7,score,0.6,3,False,2952.46,1.096,-34.7,1435.66,1904.46,2.692,12096.75,24.1935
overlay70_core55,top7,equal,0.6,3,False,2916.43,1.129,-33.8,1399.64,1868.43,2.848,6360.0,12.72
overlay60_core65,top7,score,0.6,3,False,2901.97,1.103,-34.67,1385.18,1853.97,2.747,11337.45,22.6749
overlay65_core60,top7,equal,0.6,3,False,2872.04,1.134,-33.8,1355.24,1824.04,2.906,5981.43,11.9629
qqq_trend_switch_overlay50,top7,score,0.8,2,False,2853.26,1.119,-33.8,1336.46,1805.26,2.963,10769.22,21.5384
overlay60_core65,top7,equal,0.6,3,False,2826.35,1.138,-33.81,1309.56,1778.35,2.961,5602.86,11.2057
overlay50_fast75,top7,score,0.8,3,False,2825.75,1.116,-33.55,1308.95,1777.75,3.007,11312.32,22.6246
overlay50_fast75,top7,score,0.8,2,False,2478.69,1.079,-34.17,961.89,1430.69,2.7,11321.18,22.6424
