name,shape,weighting,exit_floor,max_sector,paper_ready,return,sharpe,dd,alpha_qqq,alpha_blend,t_blend,turnover,cost
overlay65_core60,top3,score,0.7,1,True,4950.22,1.167,-33.9,3433.42,3902.22,3.137,14545.84,29.0917
qqq_trend_switch_overlay50,top3,score,0.6,2,True,4938.16,1.191,-32.9,3421.36,3890.16,3.403,10086.36,20.1727
overlay60_core65,top5,equal,0.8,3,True,4921.34,1.229,-34.43,3404.55,3873.34,3.844,7408.0,14.816
overlay50_fast75,top3,score,0.6,3,True,4867.78,1.199,-29.06,3350.98,3819.78,3.517,10805.07,21.6101
overlay65_core60,top3,equal,0.6,2,True,4815.87,1.198,-32.53,3299.07,3767.87,3.2,5686.67,11.3733
overlay65_core60,top5,score,0.7,3,True,4801.95,1.184,-33.03,3285.15,3753.94,3.336,13413.87,26.8277
overlay60_core65,top3,equal,0.6,3,True,4795.51,1.218,-29.41,3278.72,3747.51,3.357,5330.0,10.66
overlay60_core65,top3,score,0.7,1,True,4748.26,1.175,-33.95,3231.47,3700.26,3.191,13645.42,27.2908
overlay65_core60,top5,equal,0.8,2,True,4730.25,1.235,-34.17,3213.46,3682.25,3.595,8258.0,16.516
overlay50_fast75,top3,score,0.8,2,True,4722.95,1.192,-30.08,3206.15,3674.95,3.355,11623.33,23.2467
overlay70_core55,top5,equal,0.6,3,True,4687.75,1.227,-34.9,3170.95,3639.75,3.544,6314.0,12.628
overlay50_fast75,top3,score,0.8,3,True,4680.25,1.191,-30.08,3163.45,3632.25,3.332,11623.56,23.2471
overlay70_core55,top3,equal,0.7,3,True,4618.61,1.156,-29.98,3101.82,3570.61,2.913,6930.0,13.86
overlay60_core65,top3,equal,0.6,2,True,4610.88,1.204,-32.53,3094.08,3562.88,3.261,5330.0,10.66
overlay60_core65,top5,score,0.7,3,True,4574.15,1.187,-33.13,3057.35,3526.14,3.38,12574.08,25.1482
overlay50_fast75,top3,equal,0.7,1,True,4507.8,1.248,-33.87,2991.0,3459.79,3.969,5300.0,10.6
overlay60_core65,top5,equal,0.8,2,True,4503.72,1.235,-34.08,2986.92,3455.72,3.637,7752.0,15.504
overlay70_core55,top3,equal,0.7,2,True,4477.96,1.142,-32.52,2961.17,3429.96,2.846,6883.33,13.7667
overlay65_core60,top5,equal,0.6,3,True,4467.44,1.227,-34.94,2950.64,3419.44,3.576,5940.0,11.88
overlay65_core60,top3,equal,0.7,3,True,4456.7,1.165,-29.15,2939.9,3408.7,2.986,6523.33,13.0467
qqq_trend_switch_overlay50,top5,score,0.8,3,True,4418.07,1.2,-32.17,2901.27,3370.07,3.828,10783.17,21.5663
overlay70_core55,top5,score,0.6,3,True,4413.43,1.158,-34.51,2896.64,3365.43,3.211,13347.35,26.6947
overlay70_core55,top3,score,0.6,1,True,4383.16,1.082,-33.84,2866.37,3335.16,2.565,14204.73,28.4095
qqq_trend_switch_overlay50,top5,equal,0.8,3,True,4351.43,1.22,-33.13,2834.63,3303.43,4.007,5980.0,11.96
overlay65_core60,top3,equal,0.7,2,True,4330.09,1.151,-32.53,2813.3,3282.09,2.917,6480.0,12.96
overlay50_fast75,top3,score,0.6,2,True,4314.27,1.163,-34.05,2797.48,3266.27,3.306,10822.24,21.6445
overlay50_fast75,top3,equal,0.6,3,True,4303.25,1.223,-29.89,2786.46,3255.25,3.653,4716.67,9.4333
overlay60_core65,top3,equal,0.7,3,True,4294.23,1.173,-29.41,2777.43,3246.23,3.061,6116.67,12.2333
overlay60_core65,top5,equal,0.6,3,True,4253.69,1.225,-34.97,2736.89,3205.69,3.602,5566.0,11.132
overlay65_core60,top3,score,0.6,1,True,4243.8,1.093,-33.9,2727.0,3195.8,2.617,13379.38,26.7588
qqq_trend_switch_overlay50,top3,equal,0.6,3,True,4241.88,1.214,-29.27,2725.09,3193.88,3.519,4316.67,8.6333
overlay65_core60,top5,score,0.6,3,True,4235.08,1.162,-34.5,2718.28,3187.08,3.249,12563.92,25.1278
overlay70_core55,top5,score,0.8,2,True,4219.91,1.134,-35.52,2703.12,3171.91,2.983,15241.1,30.4822
qqq_trend_switch_overlay50,top3,score,0.7,1,True,4198.34,1.18,-32.82,2681.54,3150.33,3.375,11033.04,22.0661
overlay60_core65,top3,equal,0.7,2,True,4181.1,1.16,-32.53,2664.3,3133.1,2.991,6076.67,12.1533
overlay50_fast75,top3,equal,0.8,2,True,4179.99,1.206,-29.8,2663.19,3131.99,3.472,6366.67,12.7333
overlay50_fast75,top3,equal,0.8,3,True,4123.19,1.205,-29.8,2606.39,3075.19,3.463,6333.33,12.6667
overlay50_fast75,top3,equal,0.8,1,True,4111.39,1.228,-34.08,2594.6,3063.39,3.631,6600.0,13.2
qqq_trend_switch_overlay50,top3,score,0.8,1,True,4108.92,1.159,-35.0,2592.12,3060.91,3.198,11454.37,22.9087
qqq_trend_switch_overlay50,top3,equal,0.6,2,True,4104.37,1.202,-31.9,2587.57,3056.36,3.435,4316.67,8.6333
overlay60_core65,top3,score,0.6,1,True,4102.01,1.104,-33.95,2585.21,3054.01,2.67,12554.03,25.1081
overlay70_core55,top5,equal,0.7,3,True,4094.9,1.175,-34.28,2578.1,3046.9,3.22,7224.0,14.448
qqq_trend_switch_overlay50,top5,score,0.7,3,True,4093.91,1.186,-32.17,2577.12,3045.91,3.552,10181.2,20.3624
overlay50_fast75,top3,equal,0.7,2,True,4087.94,1.191,-29.8,2571.15,3039.94,3.487,5216.67,10.4333
overlay50_fast75,top3,equal,0.6,2,True,4066.58,1.204,-32.51,2549.78,3018.58,3.512,4716.67,9.4333
overlay65_core60,top5,score,0.8,2,True,4066.46,1.141,-35.37,2549.67,3018.46,3.03,14358.34,28.7167
overlay60_core65,top5,score,0.6,3,True,4059.7,1.166,-34.49,2542.9,3011.7,3.284,11780.5,23.561
qqq_trend_switch_overlay50,top5,equal,0.8,2,True,4033.94,1.222,-33.14,2517.14,2985.94,3.816,6260.0,12.52
qqq_trend_switch_overlay50,top3,equal,0.8,1,True,4022.53,1.206,-33.87,2505.73,2974.53,3.521,6150.0,12.3
overlay70_core55,top5,score,0.6,2,True,4018.81,1.142,-32.54,2502.01,2970.81,3.017,13498.65,26.9973
overlay70_core55,top7,score,0.7,3,True,4001.93,1.161,-34.38,2485.13,2953.92,3.114,13462.47,26.9249
overlay50_fast75,top3,equal,0.7,3,True,3997.63,1.185,-29.46,2480.83,2949.63,3.431,5250.0,10.5
overlay65_core60,top5,equal,0.7,3,True,3941.4,1.177,-34.35,2424.6,2893.4,3.266,6794.0,13.588
overlay60_core65,top5,score,0.8,2,True,3914.41,1.146,-35.23,2397.61,2866.4,3.075,13475.59,26.9512
overlay65_core60,top5,score,0.6,2,True,3890.74,1.149,-32.61,2373.94,2842.73,3.066,12704.1,25.4082
overlay50_fast75,top5,score,0.7,3,True,3886.27,1.182,-32.33,2369.47,2838.27,3.494,10618.72,21.2374
overlay65_core60,top7,score,0.7,3,True,3875.69,1.165,-34.38,2358.89,2827.69,3.175,12675.52,25.351
qqq_trend_switch_overlay50,top3,equal,0.7,3,True,3872.59,1.176,-29.27,2355.79,2824.58,3.246,4950.0,9.9
qqq_trend_switch_overlay50,top5,equal,0.6,3,True,3870.54,1.217,-33.59,2353.75,2822.54,3.805,4510.0,9.02
overlay70_core55,top5,equal,0.6,2,True,3832.34,1.177,-33.84,2315.54,2784.34,3.119,6426.0,12.852
overlay70_core55,top5,score,0.7,2,True,3813.84,1.113,-35.52,2297.04,2765.83,2.807,14316.99,28.634
overlay60_core65,top5,equal,0.7,3,True,3790.16,1.179,-34.43,2273.37,2742.16,3.309,6364.0,12.728
qqq_trend_switch_overlay50,top3,equal,0.7,2,True,3786.69,1.165,-31.9,2269.9,2738.69,3.185,4916.67,9.8333
overlay60_core65,top5,score,0.6,2,True,3762.83,1.154,-32.68,2246.03,2714.83,3.112,11909.74,23.8195
qqq_trend_switch_overlay50,top3,equal,0.7,1,True,3755.78,1.19,-34.17,2238.98,2707.78,3.473,5033.33,10.0667
qqq_trend_switch_overlay50,top3,equal,0.6,1,True,3755.08,1.169,-34.17,2238.28,2707.07,3.219,4333.33,8.6667
qqq_trend_switch_overlay50,top3,score,0.6,1,True,3751.67,1.121,-32.82,2234.87,2703.67,2.862,10146.24,20.2925
overlay60_core65,top7,score,0.7,3,True,3750.26,1.168,-34.37,2233.46,2702.26,3.234,11888.58,23.7772
overlay50_fast75,top5,equal,0.8,3,True,3739.96,1.186,-33.26,2223.17,2691.96,3.68,6320.0,12.64
qqq_trend_switch_overlay50,top5,score,0.6,3,True,3718.67,1.168,-33.32,2201.88,2670.67,3.466,9533.82,19.0676
overlay65_core60,top5,equal,0.6,2,True,3712.62,1.181,-33.78,2195.83,2664.62,3.17,6042.0,12.084
overlay65_core60,top5,score,0.7,2,True,3712.52,1.122,-35.37,2195.72,2664.51,2.864,13478.23,26.9565
overlay50_fast75,top5,equal,0.6,3,True,3672.39,1.194,-33.95,2155.59,2624.39,3.723,4750.0,9.5
overlay60_core65,top5,score,0.7,2,True,3609.94,1.129,-35.23,2093.15,2561.94,2.921,12639.56,25.2791
qqq_trend_switch_overlay50,top5,score,0.8,2,True,3602.84,1.15,-34.05,2086.04,2554.84,3.27,10886.5,21.773
overlay60_core65,top5,equal,0.6,2,True,3593.47,1.183,-33.72,2076.67,2545.46,3.217,5658.0,11.316
overlay50_fast75,top5,score,0.8,3,True,3584.54,1.158,-32.67,2067.74,2536.54,3.416,11299.98,22.6
overlay50_fast75,top5,equal,0.8,2,True,3534.81,1.188,-33.14,2018.01,2486.81,3.508,6610.0,13.22
qqq_trend_switch_overlay50,top5,equal,0.7,3,True,3515.23,1.178,-33.13,1998.44,2467.23,3.528,5160.0,10.32
overlay70_core55,top5,equal,0.7,2,True,3478.24,1.15,-34.26,1961.44,2430.23,2.954,7308.0,14.616
qqq_trend_switch_overlay50,top5,score,0.6,2,True,3476.65,1.157,-31.9,1959.86,2428.65,3.29,9641.89,19.2838
overlay50_fast75,top5,equal,0.6,2,True,3472.3,1.189,-32.66,1955.5,2424.3,3.632,4780.0,9.56
qqq_trend_switch_overlay50,top7,score,0.7,3,True,3452.77,1.165,-33.22,1935.98,2404.77,3.417,9616.05,19.2321
overlay70_core55,top5,score,0.6,1,True,3452.07,1.096,-33.95,1935.27,2404.07,2.652,13810.09,27.6202
overlay65_core60,top5,equal,0.7,2,True,3395.24,1.156,-34.17,1878.44,2347.24,3.015,6874.0,13.748
qqq_trend_switch_overlay50,top7,score,0.7,2,True,3384.01,1.175,-33.27,1867.21,2336.0,3.441,9806.47,19.6129
overlay65_core60,top5,score,0.6,1,True,3381.55,1.105,-33.94,1864.75,2333.54,2.714,13000.11,26.0002
overlay50_fast75,top5,equal,0.7,3,True,3370.77,1.172,-33.24,1853.98,2322.77,3.428,5430.0,10.86
overlay70_core55,top5,equal,0.8,1,True,3369.57,1.142,-34.18,1852.78,2321.57,2.903,8988.0,17.976
overlay50_fast75,top5,score,0.6,3,True,3361.92,1.137,-34.02,1845.13,2313.92,3.241,9967.93,19.9359
qqq_trend_switch_overlay50,top5,score,0.7,2,True,3352.64,1.135,-34.05,1835.84,2304.64,3.115,10226.42,20.4528
qqq_trend_switch_overlay50,top5,equal,0.6,2,True,3348.91,1.179,-32.84,1832.11,2300.91,3.417,4590.0,9.18
qqq_trend_switch_overlay50,top7,equal,0.8,3,True,3347.67,1.184,-33.34,1830.87,2299.67,3.606,6450.0,12.9
overlay60_core65,top5,equal,0.7,2,True,3311.31,1.16,-34.08,1794.51,2263.31,3.075,6440.0,12.88
overlay60_core65,top5,score,0.6,1,True,3309.05,1.113,-33.94,1792.25,2261.05,2.777,12191.46,24.3829
overlay50_fast75,top3,score,0.6,1,True,3296.23,1.092,-37.29,1779.44,2248.23,2.634,10619.66,21.2393
overlay65_core60,top5,equal,0.8,1,True,3294.42,1.147,-34.1,1777.62,2246.42,2.965,8492.0,16.984
qqq_trend_switch_overlay50,top7,score,0.8,3,True,3263.72,1.15,-33.55,1746.93,2215.72,3.325,10700.72,21.4014
overlay50_fast75,top5,score,0.6,2,True,3260.63,1.135,-33.14,1743.83,2212.63,3.18,10056.05,20.1121
overlay70_core55,top5,equal,0.6,1,True,3254.71,1.135,-33.76,1737.91,2206.71,2.715,6468.0,12.936
overlay70_core55,top7,equal,0.7,2,True,3233.57,1.167,-32.77,1716.78,2185.57,3.024,7470.0,14.94
overlay65_core60,top7,equal,0.7,3,True,3230.16,1.15,-33.82,1713.36,2182.16,3.104,6934.29,13.8686
overlay60_core65,top5,equal,0.8,1,True,3218.3,1.152,-34.03,1701.5,2170.3,3.027,7996.0,15.992
overlay70_core55,top5,score,0.7,1,True,3209.03,1.065,-36.53,1692.23,2161.03,2.46,14231.44,28.4629
overlay65_core60,top5,equal,0.6,1,True,3203.7,1.142,-33.72,1686.91,2155.7,2.795,6086.0,12.172
overlay65_core60,top7,equal,0.7,2,True,3186.28,1.172,-32.75,1669.49,2138.28,3.117,7032.86,14.0657
overlay60_core65,top7,equal,0.7,3,True,3166.04,1.154,-33.83,1649.24,2118.04,3.17,6498.57,12.9971
overlay60_core65,top5,equal,0.6,1,True,3151.03,1.147,-33.67,1634.24,2103.03,2.877,5704.0,11.408
overlay65_core60,top5,score,0.7,1,True,3148.7,1.074,-36.34,1631.9,2100.69,2.516,13408.1,26.8162
overlay60_core65,top7,equal,0.7,2,True,3137.44,1.176,-32.73,1620.64,2089.43,3.209,6595.71,13.1914
qqq_trend_switch_overlay50,top5,equal,0.7,2,True,3124.27,1.159,-33.14,1607.48,2076.27,3.3,5220.0,10.44
overlay50_fast75,top5,equal,0.7,2,True,3120.22,1.164,-33.14,1603.42,2072.22,3.274,5530.0,11.06
qqq_trend_switch_overlay50,top5,score,0.6,1,True,3116.48,1.121,-32.91,1599.68,2068.47,2.967,9864.35,19.7287
qqq_trend_switch_overlay50,top7,equal,0.8,2,True,3100.76,1.178,-32.62,1583.96,2052.76,3.431,6642.86,13.2857
overlay60_core65,top5,score,0.7,1,True,3086.29,1.083,-36.15,1569.49,2038.28,2.573,12584.76,25.1695
overlay50_fast75,top5,score,0.8,2,True,3076.5,1.118,-34.05,1559.71,2028.5,2.996,11362.2,22.7244
overlay50_fast75,top5,score,0.7,2,True,3073.05,1.123,-34.05,1556.25,2025.05,2.927,10673.19,21.3464
qqq_trend_switch_overlay50,top5,equal,0.8,1,True,3049.71,1.151,-33.09,1532.91,2001.71,3.23,6420.0,12.84
overlay50_fast75,top5,score,0.6,1,True,3043.55,1.117,-33.37,1526.75,1995.55,3.054,10176.01,20.352
overlay50_fast75,top7,score,0.7,3,True,3033.75,1.143,-33.22,1516.96,1985.75,3.164,9999.5,19.999
qqq_trend_switch_overlay50,top7,equal,0.7,3,True,2994.95,1.151,-32.82,1478.15,1946.95,3.366,5264.29,10.5286
qqq_trend_switch_overlay50,top5,equal,0.6,1,True,2973.04,1.145,-32.79,1456.24,1925.03,3.064,4620.0,9.24
qqq_trend_switch_overlay50,top5,score,0.7,1,True,2959.78,1.096,-34.79,1442.98,1911.78,2.803,10165.31,20.3306
qqq_trend_switch_overlay50,top7,equal,0.7,2,True,2955.2,1.167,-32.07,1438.4,1907.2,3.42,5335.71,10.6714
overlay70_core55,top5,equal,0.7,1,True,2918.95,1.095,-34.18,1402.15,1870.95,2.582,7532.0,15.064
overlay70_core55,top5,score,0.8,1,True,2913.03,1.05,-36.53,1396.23,1865.03,2.339,15397.1,30.7942
overlay50_fast75,top5,equal,0.6,1,True,2910.33,1.136,-33.72,1393.54,1862.33,3.229,4740.0,9.48
overlay70_core55,top7,score,0.6,1,True,2903.89,1.102,-35.88,1387.1,1855.89,2.612,13118.28,26.2366
overlay65_core60,top5,equal,0.7,1,True,2894.11,1.104,-34.1,1377.31,1846.11,2.662,7098.0,14.196
overlay65_core60,top5,score,0.8,1,True,2868.07,1.06,-36.34,1351.27,1820.07,2.392,14522.27,29.0445
overlay60_core65,top5,equal,0.7,1,True,2867.21,1.111,-34.03,1350.41,1819.2,2.743,6664.0,13.328
overlay50_fast75,top7,score,0.7,2,True,2866.44,1.136,-33.23,1349.65,1818.44,3.162,10312.81,20.6256
overlay65_core60,top7,score,0.6,1,True,2864.85,1.108,-35.73,1348.06,1816.85,2.683,12357.16,24.7143
overlay50_fast75,top7,score,0.6,3,True,2849.94,1.124,-33.47,1333.15,1801.94,3.133,9581.1,19.1622
qqq_trend_switch_overlay50,top7,score,0.6,2,True,2841.47,1.133,-32.51,1324.67,1793.47,3.022,9095.32,18.1906
overlay70_core55,top7,score,0.8,1,True,2835.32,1.09,-36.29,1318.53,1787.32,2.531,15418.92,30.8378
overlay60_core65,top7,score,0.6,1,True,2824.21,1.114,-35.58,1307.41,1776.21,2.752,11596.88,23.1938
overlay60_core65,top5,score,0.8,1,True,2820.98,1.069,-36.15,1304.18,1772.98,2.443,13647.43,27.2949
qqq_trend_switch_overlay50,top7,score,0.6,3,True,2809.86,1.112,-33.47,1293.06,1761.85,2.987,9182.9,18.3658
overlay70_core55,top7,equal,0.6,2,True,2809.24,1.14,-32.28,1292.44,1761.24,2.703,6390.0,12.78
overlay50_fast75,top5,score,0.7,1,True,2808.76,1.088,-35.56,1291.96,1760.76,2.799,10778.58,21.5572
overlay65_core60,top7,score,0.8,1,True,2793.38,1.096,-36.16,1276.58,1745.37,2.589,14543.91,29.0878
overlay65_core60,top7,equal,0.6,2,True,2782.42,1.146,-32.3,1265.63,1734.42,2.782,6011.43,12.0229
overlay50_fast75,top7,equal,0.7,3,True,2778.43,1.14,-32.82,1261.63,1730.43,3.222,5435.71,10.8714
overlay50_fast75,top7,equal,0.8,2,True,2773.34,1.141,-33.27,1256.54,1725.33,3.175,6942.86,13.8857
qqq_trend_switch_overlay50,top5,score,0.8,1,True,2759.58,1.086,-34.79,1242.78,1711.58,2.693,10997.93,21.9959
overlay60_core65,top7,equal,0.6,2,True,2753.98,1.15,-32.31,1237.18,1705.97,2.858,5632.86,11.2657
qqq_trend_switch_overlay50,top5,equal,0.7,1,True,2750.84,1.115,-33.09,1234.05,1702.84,2.956,5380.0,10.76
overlay60_core65,top7,score,0.8,1,True,2749.99,1.101,-36.03,1233.2,1701.99,2.646,13668.89,27.3378
qqq_trend_switch_overlay50,top7,equal,0.6,3,True,2744.4,1.139,-32.8,1227.61,1696.4,3.206,4542.86,9.0857
overlay70_core55,top7,score,0.7,1,True,2740.19,1.092,-35.98,1223.4,1692.19,2.477,14053.75,28.1075
qqq_trend_switch_overlay50,top7,score,0.6,1,True,2737.88,1.119,-34.31,1221.09,1689.88,2.985,9370.2,18.7404
overlay65_core60,top7,score,0.7,1,True,2716.72,1.1,-35.81,1199.93,1668.72,2.552,13251.4,26.5028
overlay50_fast75,top5,equal,0.8,1,True,2706.06,1.117,-33.09,1189.26,1658.05,2.918,6810.0,13.62
overlay50_fast75,top7,equal,0.6,3,True,2704.22,1.136,-32.8,1187.43,1656.22,3.252,4707.14,9.4143
qqq_trend_switch_overlay50,top7,score,0.8,1,True,2692.18,1.111,-34.61,1175.38,1644.18,2.897,11013.52,22.027
overlay60_core65,top7,score,0.7,1,True,2691.47,1.106,-35.64,1174.68,1643.47,2.627,12449.05,24.8981
qqq_trend_switch_overlay50,top7,equal,0.6,2,True,2670.62,1.147,-31.72,1153.83,1622.62,3.086,4564.29,9.1286
overlay50_fast75,top7,equal,0.7,2,True,2653.39,1.139,-32.87,1136.6,1605.39,3.203,5585.71,11.1714
overlay50_fast75,top7,score,0.6,2,True,2632.86,1.117,-32.51,1116.06,1584.86,2.888,9485.94,18.9719
qqq_trend_switch_overlay50,top7,score,0.7,1,True,2626.38,1.112,-34.39,1109.58,1578.38,2.863,10038.39,20.0768
overlay50_fast75,top5,equal,0.7,1,True,2619.82,1.097,-34.02,1103.02,1571.82,2.851,5730.0,11.46
overlay50_fast75,top7,score,0.6,1,True,2552.21,1.109,-34.08,1035.41,1504.2,2.863,9806.7,19.6134
overlay50_fast75,top7,equal,0.6,2,True,2535.02,1.133,-31.72,1018.23,1487.02,3.0,4792.86,9.5857
overlay70_core55,top7,equal,0.8,1,True,2520.74,1.1,-35.94,1003.95,1472.74,2.501,10520.0,21.04
overlay65_core60,top7,equal,0.8,1,True,2511.28,1.107,-35.76,994.48,1463.27,2.581,9940.0,19.88
overlay60_core65,top7,equal,0.8,1,True,2500.28,1.112,-35.58,983.49,1452.28,2.66,9360.0,18.72
overlay50_fast75,top5,score,0.8,1,True,2472.4,1.063,-34.79,955.61,1424.4,2.476,11409.97,22.8199
qqq_trend_switch_overlay50,top7,equal,0.8,1,True,2468.07,1.115,-34.36,951.28,1420.07,2.904,7514.29,15.0286
overlay50_fast75,top7,equal,0.8,1,True,2430.2,1.108,-34.33,913.41,1382.2,2.893,7707.14,15.4143
overlay50_fast75,top7,score,0.8,1,True,2410.42,1.082,-34.96,893.62,1362.42,2.663,11423.47,22.8469
overlay50_fast75,top7,score,0.7,1,True,2348.69,1.083,-34.39,831.9,1300.69,2.656,10541.14,21.0823
overlay50_fast75,top7,equal,0.6,1,True,2257.34,1.09,-33.82,740.54,1209.34,2.634,5042.86,10.0857
qqq_trend_switch_overlay50,top7,equal,0.6,1,True,2234.82,1.083,-34.09,718.02,1186.82,2.557,4828.57,9.6571
overlay60_core65,top7,equal,0.6,1,True,2221.88,1.074,-35.33,705.09,1173.88,2.303,5962.86,11.9257
qqq_trend_switch_overlay50,top7,equal,0.7,1,True,2220.88,1.093,-33.47,704.08,1172.88,2.582,5964.29,11.9286
overlay60_core65,top7,equal,0.7,1,True,2220.15,1.089,-34.46,703.36,1172.15,2.331,7407.14,14.8143
overlay65_core60,top7,equal,0.6,1,True,2209.84,1.067,-35.45,693.04,1161.84,2.212,6361.43,12.7229
overlay65_core60,top7,equal,0.7,1,True,2199.26,1.081,-34.58,682.46,1151.26,2.228,7878.57,15.7571
overlay70_core55,top7,equal,0.6,1,True,2196.6,1.059,-35.57,679.8,1148.59,2.121,6760.0,13.52
overlay70_core55,top7,equal,0.7,1,True,2177.28,1.072,-34.7,660.49,1129.28,2.126,8350.0,16.7
overlay50_fast75,top7,equal,0.7,1,True,2142.93,1.081,-33.47,626.14,1094.93,2.53,6121.43,12.2429
