core_preset,regime_mode,regime_ma_window,regime_high_vol,high_vol_mode,regime_counts,core_spy_weight,core_qqq_weight,score_source,shape,weighting,exit_rank_floor,adaptive_exit_mode,max_per_sector,earnings_blackout_days,core_gross,overlay_gross,cost_stress,holding_days,score_blend,early_rebalance,drawdown_circuit_breaker,vol_target,max_gross_exposure,max_single_name_weight,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,nw_tstat_vs_blend,turnover_pct,estimated_cost_pct,avg_gross_exposure,avg_overlay_positions,max_single_name_weight_realized,avg_effective_overlay_names,max_sector_overlay_weight,top_ticker_overlay_contributor,top_ticker_overlay_contribution_share,holdout_alpha_vs_qqq_pct,holdout_alpha_vs_blend_pct,subperiod_stability_pass,year_alpha_concentration_pass,single_name_weight_cap_pass,top_ticker_contribution_pass,holdout_2023_2026_vs_qqq_pass,holdout_2023_2026_vs_blend_pass,paper_ready,stress_cost_levels,stress_has_required_costs,stress_all_gates_pass,stress_min_alpha_vs_spy_pct,stress_min_alpha_vs_qqq_pct,stress_min_alpha_vs_blend_pct,stress_min_holdout_alpha_vs_qqq_pct,stress_min_holdout_alpha_vs_blend_pct,robust_cost_stress_pass,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty,row_gate_pass_before_cost_stress
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top15,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,2288.12,21.42,1.224,-24.38,1552.64,771.32,1240.11,3.888,7136.5,35.6825,1.044,14.93,0.2134,10.398,0.2374,NEM,0.057,8.07,33.35,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1552.64,771.32,1240.11,8.07,33.35,True,1.1172,0.0,0.1068,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,1,5,0.55,0.5,3.0,20,False,False,0.0,0.0,1.25,0.25,3085.85,23.58,1.214,-24.31,2350.37,1569.05,2037.84,3.439,7003.59,21.0108,1.044,4.98,0.25,3.904,0.25,NFLX,0.091,7.14,32.43,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1939.25,1157.92,1626.72,0.95,26.23,True,1.1138,0.0,0.1002,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,3066.77,23.53,1.172,-24.56,2331.3,1549.97,2018.77,3.256,6902.09,34.5104,1.044,4.98,0.25,4.128,0.3552,NVDA,0.138,57.02,82.3,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2331.3,1549.97,2018.77,57.02,82.3,True,1.0769,0.0,0.0951,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top5,sticky_score,0.8,fixed,2,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,3686.85,24.89,1.184,-25.71,2951.38,2170.06,2638.85,3.314,6705.49,33.5275,1.044,4.98,0.25,4.133,0.3446,NVDA,0.155,79.13,104.41,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2951.38,2170.06,2638.85,79.13,104.41,True,1.0703,0.0284,0.0853,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top5,sticky_vol_score,0.8,fixed,1,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,2674.72,22.54,1.169,-24.51,1939.25,1157.92,1626.72,2.976,7003.59,35.018,1.044,4.98,0.25,3.904,0.25,NFLX,0.091,0.95,26.23,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1939.25,1157.92,1626.72,0.95,26.23,True,1.0688,0.0,0.1002,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_score,0.8,fixed,2,5,0.55,0.5,2.0,20,False,False,0.0,0.0,1.25,0.25,3514.84,24.54,1.271,-27.58,2779.37,1998.04,2466.84,3.932,7099.07,14.1981,1.044,9.95,0.2295,7.505,0.2881,AMD,0.096,24.98,50.26,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2096.12,1314.79,1783.59,15.11,40.39,True,1.0628,0.1032,0.105,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_score,0.8,fixed,2,5,0.55,0.5,3.0,20,False,False,0.0,0.0,1.25,0.25,3271.16,24.01,1.248,-27.68,2535.69,1754.37,2223.16,3.688,7099.07,21.2972,1.044,9.95,0.2295,7.505,0.2881,AMD,0.096,21.65,46.93,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2096.12,1314.79,1783.59,15.11,40.39,True,1.0358,0.1072,0.105,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,2.0,20,False,False,0.0,0.0,1.25,0.25,3019.31,23.42,1.263,-28.21,2283.84,1502.52,1971.31,3.856,7365.71,14.7314,1.044,9.95,0.2189,7.457,0.281,NVDA,0.078,11.68,36.96,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1674.04,892.72,1361.51,1.64,26.92,True,1.0163,0.1284,0.1183,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_vol_score,0.8,fixed,2,5,0.55,0.5,3.0,20,False,False,0.0,0.0,1.25,0.25,2801.28,22.87,1.238,-28.3,2065.81,1284.48,1753.28,3.572,7365.71,22.0971,1.044,9.95,0.2189,7.457,0.281,NVDA,0.078,8.29,33.57,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,1674.04,892.72,1361.51,1.64,26.92,True,0.9877,0.132,0.1183,0.0,True
qqq_trend_switch_overlay70_core55_cashbuffer,qqq_trend_switch_overlay70_core55_cashbuffer,100,0.3,fixed,"{""neutral"": 16, ""risk_off"": 41, ""risk_on"": 149}",0.0,1.0,regime_adaptive,top10,sticky_score,0.8,fixed,2,5,0.55,0.5,5.0,20,False,False,0.0,0.0,1.25,0.25,2831.59,22.95,1.202,-27.88,2096.12,1314.79,1783.59,3.204,7099.07,35.4953,1.044,9.95,0.2295,7.505,0.2881,AMD,0.096,15.11,40.39,True,True,True,True,True,True,True,"2.0,3.0,5.0",True,True,2096.12,1314.79,1783.59,15.11,40.39,True,0.9818,0.1152,0.105,0.0,True
