strategy,valid,fold_year,outer_year,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_score_std,failed_evaluations,candidate_configs,selected_config,holding_days,overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_mean_turnover_pct,inner_cost_stress_approval_pass,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common,reason
core-alpha,True,2014,2014,2013,1,2010-01-01,2013-12-31,3.801,3.801,0.0,0,8.0,"h=10,ov=0.5,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10.0,0.5,100.0,0.3,fixed,factor_walkforward,0.0,17.87,1.38,-5.56,1433.81,2.51,-3.31,3.801,0.0,3.801,57.36,25.99,20.25,1157.68,True,17.87,18.02,-5.56,0.18,17.68,26.0,0.5,1.0,0.5,True,
core-alpha,True,2015,2015,"2013,2014",2,2010-01-01,2014-12-31,2.4159,2.45,0.341,5,8.0,"h=10,ov=0.25,ma=100,vol=fixed:0.3,score=regime_adaptive,tqqq=0.0",10.0,0.25,100.0,0.3,fixed,regime_adaptive,0.0,-1.12,0.027,-14.94,385.71,-1.87,-9.43,2.4159,0.0,2.45,36.2,12.84,7.05,228.4,True,-1.12,-1.09,-14.94,-4.9,3.78,27.0,0.5,1.0,0.5,False,
tqqq,False,2014,2014,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_inner_config
tqqq,False,2015,2015,,2,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no_valid_inner_config
