group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C6,58,0.6207,5.56,15.62,322.55,1.464,0.165,50.88,0.39,0.0001,2.95
confidence_decile,C10,59,0.5932,5.45,12.26,321.84,1.427,0.145,55.07,0.4912,-0.0671,3.17
confidence_decile,C3,58,0.6724,2.24,10.59,130.03,1.197,0.076,50.24,0.3407,-0.2025,3.26
confidence_decile,C1,59,0.6102,0.98,10.78,57.62,1.08,0.032,50.05,0.3058,-0.013,3.49
confidence_decile,C5,58,0.5517,0.73,11.88,42.46,1.048,0.021,50.58,0.3719,-0.0374,2.88
confidence_decile,C7,58,0.5172,-0.05,1.62,-3.0,0.997,-0.001,51.27,0.3071,0.0003,2.93
confidence_decile,C4,58,0.5517,-2.13,7.34,-123.72,0.862,-0.063,50.39,0.3707,-0.0569,3.38
confidence_decile,C8,58,0.5172,-5.47,1.5,-317.09,0.739,-0.131,51.78,0.3988,-0.0591,3.21
confidence_decile,C9,58,0.4483,-6.25,-26.96,-362.51,0.732,-0.145,52.73,0.4157,0.0389,2.91
confidence_decile,C2,58,0.4483,-8.2,-10.7,-475.76,0.596,-0.222,50.13,0.2412,0.0092,3.36
entry_year,2017,152,0.6184,3.82,12.71,580.53,1.361,0.129,51.39,0.2877,0.0578,3.02
entry_year,2016,123,0.5691,1.12,8.39,137.45,1.078,0.032,51.29,0.3167,-0.0727,3.21
entry_year,2019,59,0.5932,1.06,6.15,62.34,1.076,0.032,51.32,0.3892,-0.0141,3.56
entry_year,2023,15,0.5333,0.73,8.15,10.91,1.048,0.022,51.62,0.4153,0.0,3.0
entry_year,2022,7,0.5714,0.35,8.29,2.45,1.024,0.011,50.53,0.3986,0.0,2.86
entry_year,2024,15,0.4667,-0.7,-8.87,-10.55,0.962,-0.017,51.11,0.4887,0.0,3.6
entry_year,2021,17,0.4118,-4.5,-12.81,-76.46,0.765,-0.121,50.79,0.3906,0.0,3.41
entry_year,2025,6,0.1667,-18.91,-33.52,-113.48,0.281,-0.602,51.85,0.1033,0.0,3.33
entry_year,2020,20,0.5,-8.34,-2.44,-166.82,0.68,-0.169,52.19,0.301,0.0823,2.45
entry_year,2015,69,0.4783,-3.73,-2.8,-257.14,0.825,-0.085,51.33,0.5014,-0.2456,3.2
entry_year,2018,99,0.5354,-5.83,2.91,-576.81,0.713,-0.148,51.15,0.4205,-0.0634,3.08
exit_reason,take_profit,228,1.0,31.23,27.77,7120.87,,1.868,51.39,0.3409,-0.0234,2.21
exit_reason,time_exit,195,0.4821,-2.71,-1.9,-528.07,0.768,-0.104,51.19,0.4103,-0.0206,5.0
exit_reason,stop_loss,159,0.0,-44.03,-40.48,-7000.38,0.0,-2.581,51.37,0.3383,-0.0831,2.25
expected_return_decile,E9,58,0.6379,6.48,19.88,375.73,1.411,0.147,51.77,0.6243,0.0196,3.03
expected_return_decile,E10,59,0.5593,3.28,11.58,193.53,1.197,0.078,52.31,0.8975,0.3201,3.58
expected_return_decile,E4,58,0.6552,3.17,12.5,183.95,1.253,0.099,50.82,0.256,-0.0791,2.88
