group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2021,61,0.6393,8.5,17.8,518.28,3.33,19.26,1.713
entry_year,2026,12,0.9167,18.97,20.51,227.65,3.42,20.0,9.369
entry_year,2023,81,0.5556,1.49,11.27,120.42,3.14,19.95,1.109
entry_year,2016,83,0.506,-1.29,7.65,-107.07,3.33,19.9,0.916
entry_year,2019,153,0.5294,-1.09,3.39,-166.49,3.25,19.62,0.919
entry_year,2017,81,0.5309,-2.22,3.66,-179.82,3.51,19.49,0.869
entry_year,2020,44,0.5227,-4.13,5.4,-181.9,2.77,18.78,0.713
entry_year,2025,50,0.42,-8.01,-13.55,-400.3,3.16,18.91,0.463
entry_year,2022,77,0.4545,-9.25,-17.77,-712.18,3.23,19.35,0.567
entry_year,2024,61,0.3115,-12.1,-19.2,-738.33,3.23,19.32,0.403
entry_year,2015,79,0.4684,-10.17,-3.85,-803.75,3.13,19.65,0.566
entry_year,2018,69,0.3478,-19.14,-22.11,-1320.96,3.54,19.7,0.297
exit_reason,take_profit,292,1.0,29.55,26.7,8629.48,2.38,19.59,
exit_reason,time_exit,269,0.4758,-2.31,-2.51,-620.29,5.0,19.39,0.778
exit_reason,stop_loss,290,0.0,-40.53,-36.8,-11753.64,2.52,19.58,0.0
sector,XLY,74,0.5811,3.69,9.96,272.83,3.49,19.72,1.314
sector,XLF,73,0.5068,-1.9,1.51,-138.86,3.25,19.76,0.858
sector,XLC,67,0.5373,-2.33,6.42,-156.34,3.21,19.78,0.859
sector,XLI,107,0.5047,-1.67,5.4,-178.86,3.21,19.77,0.892
sector,XLU,57,0.5263,-3.44,6.2,-196.06,2.88,20.0,0.751
sector,XLV,78,0.4744,-3.31,-13.12,-258.11,3.32,19.66,0.809
sector,XLRE,74,0.5135,-3.51,2.67,-259.76,3.35,19.82,0.747
sector,XLP,88,0.5114,-3.15,1.66,-277.01,3.28,19.95,0.725
sector,XLB,60,0.4,-10.17,-9.26,-610.06,3.28,19.65,0.52
sector,XLE,34,0.2941,-24.5,-27.55,-833.07,3.21,18.35,0.27
sector,XLK,139,0.4748,-7.98,-10.23,-1109.15,3.26,18.51,0.67
signal,LONG,851,0.4935,-4.4,-2.39,-3744.45,3.26,19.52,0.743
signal_quality,LOW,311,0.5498,-1.37,6.69,-427.31,3.16,19.57,0.906
signal_quality,MEDIUM,188,0.4787,-6.56,-4.84,-1232.47,3.16,19.62,0.655
signal_quality,HIGH,352,0.4517,-5.92,-8.52,-2084.67,3.4,19.43,0.677
ticker,CAT,13,0.7692,15.51,23.8,201.64,3.0,19.88,3.575
ticker,F,8,0.75,22.62,29.13,180.93,3.5,19.17,4.567
ticker,AEP,7,0.8571,17.97,27.55,125.78,2.43,20.0,5.709
ticker,CSCO,3,1.0,40.0,30.24,120.0,3.67,20.0,
ticker,DE,11,0.7273,10.81,23.5,118.89,3.55,19.68,2.042
ticker,CVS,5,0.8,20.93,22.09,104.63,2.2,20.0,4.149
ticker,BKNG,2,1.0,49.98,49.98,99.97,3.0,20.0,
ticker,ABBV,3,1.0,29.91,19.38,89.72,3.0,18.34,
ticker,TSLA,7,0.7143,12.59,36.16,88.1,3.71,20.0,1.729
ticker,IBM,3,1.0,23.71,20.49,71.14,3.33,20.0,
ticker,ISRG,19,0.5789,3.61,11.27,68.55,3.47,19.31,1.227
ticker,SCHW,2,1.0,34.19,34.19,68.38,1.5,20.0,
ticker,V,9,0.6667,7.23,13.75,65.1,2.78,20.0,2.126
ticker,C,2,1.0,30.88,30.88,61.76,2.5,20.0,
ticker,OMC,2,1.0,30.6,30.6,61.2,3.5,20.0,
ticker,ETN,1,1.0,55.74,55.74,55.74,2.0,20.0,
ticker,VZ,3,1.0,16.74,16.0,50.21,2.67,20.0,
ticker,LMT,12,0.5833,4.08,16.64,48.99,3.25,20.0,1.492
ticker,GM,4,0.75,11.65,18.76,46.61,3.25,18.67,2.015
ticker,WFC,4,0.75,11.65,28.58,46.59,2.5,18.12,1.898
ticker,PEP,3,1.0,15.17,13.86,45.52,3.33,20.0,
ticker,TRV,11,0.4545,3.74,-2.56,41.12,3.45,19.93,1.477
ticker,FDX,10,0.6,3.82,22.34,38.23,2.7,19.21,1.26
ticker,CMCSA,6,0.6667,6.17,15.85,37.0,3.0,20.0,1.482
ticker,WELL,5,0.8,7.33,11.47,36.67,3.2,20.0,2.404
ticker,XEL,12,0.6667,2.97,12.07,35.66,2.33,20.0,1.307
ticker,EQR,8,0.625,3.97,14.05,31.79,3.62,20.0,1.595
ticker,LLY,2,1.0,15.01,15.01,30.02,3.5,20.0,
ticker,MSFT,4,0.75,7.36,12.14,29.45,3.5,20.0,1.644
ticker,NVDA,5,0.6,5.67,2.91,28.37,4.4,18.92,1.521
ticker,KMB,4,0.75,7.09,13.84,28.35,3.0,20.0,2.364
ticker,AMGN,4,0.5,5.84,-5.21,23.37,3.0,20.0,1.399
ticker,KMI,2,0.5,11.65,11.65,23.3,4.0,20.0,1.984
ticker,DUK,2,0.5,10.99,10.99,21.98,5.0,20.0,5.737
ticker,RTX,2,1.0,10.39,10.39,20.79,3.0,20.0,
ticker,KO,3,0.6667,6.31,18.87,18.92,2.67,20.0,1.932
ticker,AMT,5,0.6,3.4,14.55,17.01,3.6,20.0,1.385
ticker,ORCL,1,1.0,16.73,16.73,16.73,5.0,20.0,
ticker,WMT,15,0.6,1.04,2.79,15.55,3.4,20.0,1.111
ticker,COP,2,0.5,6.49,6.49,12.99,4.0,20.0,1.627
ticker,EQIX,11,0.4545,1.17,-2.51,12.88,4.55,19.8,1.113
ticker,T,4,0.5,2.69,1.38,10.78,4.25,20.0,1.32
ticker,PM,6,0.6667,1.76,8.99,10.59,3.83,20.0,1.247
ticker,TJX,5,0.6,2.12,13.56,10.59,2.4,20.0,1.199
ticker,SPG,16,0.625,0.62,14.79,9.89,3.0,19.29,1.041
ticker,UPS,2,0.5,4.72,4.72,9.45,1.5,20.0,1.464
ticker,NUE,4,0.5,2.25,11.78,8.99,3.25,20.0,1.148
ticker,EBAY,2,0.5,3.88,3.88,7.76,3.5,20.0,1.241
ticker,MCD,10,0.6,0.76,8.8,7.58,2.9,20.0,1.085
ticker,AVB,8,0.625,0.94,6.15,7.54,2.75,20.0,1.101
ticker,ROST,7,0.4286,0.76,-10.56,5.3,4.43,20.0,1.057
ticker,PEG,2,0.5,2.46,2.46,4.91,3.0,20.0,1.215
ticker,MO,6,0.6667,0.51,7.05,3.07,4.0,20.0,1.082
ticker,AXP,2,0.5,-0.88,-0.88,-1.76,2.0,20.0,0.936
ticker,EA,8,0.5,-0.46,6.0,-3.65,3.12,19.25,0.979
ticker,COF,2,0.5,-3.38,-3.38,-6.76,2.0,20.0,0.896
ticker,LOW,2,0.5,-3.7,-3.7,-7.4,5.0,20.0,0.23
ticker,IFF,10,0.6,-0.74,8.61,-7.41,3.0,19.97,0.935
ticker,SBUX,11,0.5455,-0.76,1.66,-8.34,3.73,19.51,0.907
ticker,SYK,4,0.25,-2.31,-9.48,-9.22,4.0,20.0,0.761
ticker,EMR,2,0.5,-5.57,-5.57,-11.15,5.0,20.0,0.619
ticker,FCX,9,0.4444,-1.45,-2.39,-13.05,3.67,18.36,0.946
ticker,MU,30,0.5,-0.44,11.32,-13.14,2.8,18.0,0.982
ticker,INTC,18,0.5,-0.78,0.0,-14.03,3.61,16.81,0.957
ticker,MDT,6,0.5,-2.85,-2.88,-17.11,2.33,20.0,0.769
ticker,BRK-B,13,0.5385,-1.32,2.2,-17.14,3.23,20.0,0.845
ticker,META,4,0.5,-4.61,-6.17,-18.43,3.0,19.5,0.764
ticker,ED,4,0.5,-5.15,1.27,-20.62,2.75,20.0,0.512
ticker,MPC,3,0.3333,-7.55,-17.0,-22.65,2.67,20.0,0.607
ticker,AIG,1,0.0,-22.73,-22.73,-22.73,5.0,11.04,0.0
ticker,MMM,2,0.5,-11.67,-11.67,-23.33,1.0,20.0,0.314
ticker,SPGI,2,0.5,-11.85,-11.85,-23.7,5.0,20.0,0.33
ticker,PH,13,0.3846,-1.88,-7.75,-24.39,3.31,19.86,0.852
ticker,NOC,3,0.3333,-8.61,-27.63,-25.84,3.0,20.0,0.57
ticker,TXN,4,0.75,-6.88,13.8,-27.51,2.75,20.0,0.663
ticker,BAC,1,0.0,-27.69,-27.69,-27.69,1.0,20.0,0.0
ticker,TMUS,9,0.5556,-3.14,6.42,-28.29,3.44,20.0,0.753
ticker,SYY,5,0.4,-5.74,-23.46,-28.69,2.6,20.0,0.615
ticker,UNP,2,0.5,-14.38,-14.38,-28.75,2.5,20.0,0.47
ticker,PG,1,0.0,-29.78,-29.78,-29.78,3.0,20.0,0.0
ticker,NEE,6,0.5,-5.16,-7.94,-30.98,3.33,20.0,0.653
ticker,ABT,1,0.0,-32.54,-32.54,-32.54,1.0,20.0,0.0
ticker,HD,2,0.5,-16.53,-16.53,-33.06,2.0,20.0,0.26
ticker,AMD,6,0.5,-5.63,3.48,-33.76,3.5,13.34,0.74
ticker,DHR,1,0.0,-35.19,-35.19,-35.19,4.0,20.0,0.0
ticker,PLD,6,0.5,-6.08,-0.74,-36.51,3.0,20.0,0.583
ticker,PSX,2,0.5,-19.16,-19.16,-38.31,5.0,20.0,0.289
ticker,NKE,4,0.5,-10.01,-5.85,-40.05,4.0,20.0,0.249
ticker,SRE,3,0.3333,-13.51,-7.31,-40.53,2.33,20.0,0.246
ticker,AMZN,4,0.5,-10.17,-5.25,-40.67,3.25,19.16,0.55
ticker,JPM,5,0.4,-8.64,-8.26,-43.2,3.4,20.0,0.551
ticker,ECL,4,0.5,-10.93,-4.43,-43.73,2.75,20.0,0.391
ticker,MAR,6,0.3333,-7.41,-11.27,-44.49,3.67,20.0,0.54
ticker,SHW,2,0.0,-23.85,-23.85,-47.7,4.0,20.0,0.0
ticker,SLB,1,0.0,-48.29,-48.29,-48.29,1.0,20.0,0.0
ticker,NFLX,5,0.4,-9.69,-6.89,-48.45,3.8,20.0,0.656
ticker,TMO,1,0.0,-50.33,-50.33,-50.33,5.0,20.0,0.0
ticker,CL,2,0.0,-26.23,-26.23,-52.45,5.0,20.0,0.0
ticker,CI,3,0.3333,-18.66,-40.15,-55.98,2.33,20.0,0.343
ticker,D,4,0.25,-14.5,-25.55,-58.02,2.5,20.0,0.291
ticker,BLK,2,0.0,-29.59,-29.59,-59.17,5.0,20.0,0.0
ticker,BSX,5,0.4,-12.25,-24.8,-61.24,3.4,20.0,0.527
ticker,GILD,9,0.4444,-6.83,-13.76,-61.5,3.56,19.1,0.663
ticker,DIS,8,0.375,-7.84,-14.81,-62.7,3.25,19.73,0.507
ticker,MA,10,0.4,-6.32,-9.77,-63.23,3.7,20.0,0.503
ticker,DD,4,0.0,-16.09,-14.59,-64.36,4.75,19.3,0.0
ticker,SO,8,0.5,-8.07,-9.63,-64.56,3.12,20.0,0.451
ticker,HON,2,0.0,-33.66,-33.66,-67.33,5.0,20.0,0.0
ticker,COST,18,0.3889,-3.75,-15.57,-67.43,3.28,19.95,0.711
ticker,LIN,11,0.4545,-6.39,-16.79,-70.24,2.73,20.0,0.552
ticker,PFE,7,0.2857,-10.1,-19.41,-70.7,3.71,20.0,0.43
ticker,PNC,4,0.5,-18.04,-18.67,-72.17,2.75,20.0,0.191
ticker,CHTR,9,0.4444,-8.44,-2.96,-75.96,3.67,19.26,0.611
ticker,PSA,3,0.0,-26.06,-28.28,-78.18,2.33,20.0,0.0
ticker,GS,3,0.3333,-28.09,-56.96,-84.26,5.0,20.0,0.307
ticker,MRK,2,0.0,-42.9,-42.9,-85.8,5.0,20.0,0.0
ticker,NEM,3,0.3333,-30.46,-32.19,-91.39,3.33,18.9,0.18
ticker,UNH,6,0.3333,-15.8,-20.81,-94.79,3.67,20.0,0.195
ticker,LYV,13,0.5385,-7.42,3.66,-96.48,2.38,20.0,0.606
ticker,HSY,14,0.5,-6.97,-3.64,-97.64,2.93,20.0,0.434
ticker,APD,7,0.2857,-14.24,-7.47,-99.69,4.14,20.0,0.23
ticker,AVGO,18,0.5,-5.62,-0.49,-101.15,2.83,19.76,0.759
ticker,AAPL,2,0.0,-52.53,-52.53,-105.06,3.0,20.0,0.0
ticker,O,7,0.2857,-15.34,-24.1,-107.41,3.0,20.0,0.231
ticker,CSX,6,0.3333,-18.4,-19.41,-110.41,3.67,20.0,0.16
ticker,EOG,4,0.25,-28.9,-37.73,-115.59,2.25,20.0,0.186
ticker,WMB,4,0.25,-30.11,-46.59,-120.42,2.25,14.63,0.221
ticker,GIS,11,0.3636,-11.18,-25.35,-123.02,3.18,19.66,0.334
