strategy,valid,fold_year,outer_year,inner_validation_years,inner_fold_count,train_start,train_end,inner_score,inner_mean_score,inner_score_std,failed_evaluations,candidate_configs,selected_config,holding_days,risk_on_overlay_gross,ma_window,high_vol,high_vol_mode,score_source,tqqq_weight,oos_return_pct,oos_sharpe,oos_drawdown_pct,oos_turnover_pct,oos_alpha_vs_spy_pct,oos_alpha_vs_qqq_pct,inner_stability_adjusted_score,inner_failed_fold_count,inner_mean_sharpe,inner_mean_return_pct,inner_mean_alpha_vs_spy_pct,inner_mean_alpha_vs_qqq_pct,inner_mean_turnover_pct,oos_total_return_pct,oos_cagr_pct,oos_max_drawdown_pct,oos_alpha_vs_blend_pct,oos_benchmark_blend_return_pct,oos_n_equity_points,config_stability,selected_config_fold_count,selected_config_frequency,config_is_most_common
core-alpha,True,2014,2014,2013,1,2010-01-01,2013-12-31,3.887,3.887,0.0,0,8,"h=10,ov=0.7,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10,0.7,100,0.3,fixed,factor_walkforward,0.0,15.25,1.165,-6.56,1968.11,-0.1,-5.92,3.887,0,3.887,62.18,30.81,25.07,1610.97,15.25,15.38,-6.56,-2.43,17.68,26,0.5,1,0.5,True
core-alpha,True,2015,2015,"2013,2014",2,2010-01-01,2014-12-31,2.4333,2.563,1.297,0,8,"h=10,ov=0.6,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10,0.6,100,0.3,fixed,factor_walkforward,0.0,-4.09,-0.188,-13.24,1616.38,-4.84,-12.4,2.4333,0,2.563,38.31,14.96,9.17,1554.89,-4.09,-3.97,-13.24,-7.87,3.78,27,0.5,1,0.5,False
tqqq,True,2014,2014,2013,1,2010-01-01,2013-12-31,3.979,3.979,0.0,0,8,"h=10,ov=0.6,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.0",10,0.6,100,0.3,fixed,factor_walkforward,0.0,20.12,1.504,-5.42,1782.41,4.76,-1.06,3.979,0,3.979,60.85,29.48,23.74,1299.0,20.12,20.29,-5.42,2.44,17.68,26,0.5,1,0.5,True
tqqq,True,2015,2015,"2013,2014",2,2010-01-01,2014-12-31,2.6242,2.7465,1.2225,0,8,"h=10,ov=0.6,ma=100,vol=fixed:0.3,score=factor_walkforward,tqqq=0.1",10,0.6,100,0.3,fixed,factor_walkforward,0.1,-2.28,-0.038,-14.15,1737.77,-3.03,-10.59,2.6242,0,2.7465,43.81,20.45,14.67,1540.7,-2.28,-2.21,-14.15,-6.05,3.78,27,0.5,1,0.5,False
