ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
AMD,206,0.3981,4.4403,-21.15,914.7,206,0
META,205,0.3805,0.38,-13.52,77.89,205,0
UNH,198,0.3586,-0.239,-11.6,-47.32,198,0
LLY,197,0.4061,-0.3226,-12.77,-63.56,197,0
GOOGL,159,0.3396,-0.5016,-13.0,-79.75,159,0
MA,163,0.3926,-0.5157,-10.57,-84.06,163,0
V,174,0.3621,-0.9857,-10.23,-171.52,174,0
HD,213,0.3662,-1.25,-11.73,-266.26,213,0
MU,213,0.338,-1.5005,-21.6,-319.6,213,0
MSFT,180,0.3444,-1.9049,-11.58,-342.89,180,0
PG,171,0.3216,-2.3478,-9.94,-401.48,171,0
AMZN,179,0.3352,-2.5393,-13.8,-454.54,179,0
BRK-B,192,0.3333,-2.4541,-10.11,-471.18,192,0
CAT,214,0.2617,-5.2919,-15.12,-1132.47,214,0
NVDA,216,0.3102,-6.5205,-21.1,-1408.43,216,0
