,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm,benchmark_blend_norm
2010-01-04,10000.0,1.0,1.0,1.0,1.0
2010-01-05,10000.0,1.0026473699453873,1.0,0.9965610483904687,1.0015884219672324
2010-01-06,10000.0,1.0033532992748975,0.9939686538148551,0.9956233145279089,0.9995994410908805
2010-01-07,10000.0,1.0075889652251078,0.9946145550075,1.0029692306401254,1.0023992011380647
2010-01-08,10000.0,1.01094163468796,1.0028007987512197,1.0084396790272223,1.007685300313264
2010-01-11,10000.0,1.0123535833201298,0.9987074401814734,1.0043759428302423,1.0068951260646672
2010-01-12,10000.0,1.0029120709506663,0.9862130108662319,0.9934350460560483,0.9962324469168925
2010-01-13,10000.0,1.0113831329316392,0.9984922344630798,1.0062514848195465,1.0062267735442154
2010-01-14,10000.0,1.0141184066439053,0.9993540041282005,1.0100024945339703,1.0082126456376233
2010-01-15,10000.0,1.0027359035243113,0.9877207764031521,0.995310290988613,0.9967298526758477
2010-01-19,10000.0,1.0152655642976467,1.0036623790580315,1.0135975494601328,1.0106242902018006
2010-01-20,10000.0,1.0049415053065713,0.9892288259775363,0.998905642971515,0.9986564335749573
2010-01-21,10000.0,0.9856176121360103,0.9799658908877658,0.9824941492818542,0.9833569236367126
2010-01-22,10000.0,0.9636461690737633,0.9513141798034783,0.9648325665680018,0.9587133733656494
2010-01-25,10000.0,0.9685879442997826,0.9545455793497947,0.9659266265397471,0.9629709983197874
2010-01-26,10000.0,0.9645284457759271,0.9554073490149154,0.9563922191631155,0.9608800070715224
2010-01-27,10000.0,0.9691167164982954,0.9629472181702174,0.966551336863011,0.9666489171670642
2010-01-28,10000.0,0.9579990043571297,0.9381731865415096,0.9499840369134587,0.9500686772308816
2010-01-29,10000.0,0.9475871315723249,0.9218008884123792,0.9395117471458974,0.9372726343083466
2010-02-01,10000.0,0.9623229339668162,0.9319256878464252,0.950609118557647,0.9501640355186598
2010-02-02,10000.0,0.9739700481185399,0.94032798942093,0.9610811855326535,0.9605132246394958
2010-02-03,10000.0,0.9691167164982954,0.9454979446575725,0.9546730032829969,0.9596692077620063
2010-02-04,10000.0,0.9392041533045293,0.9181387933918116,0.9227879725587895,0.9307780093394422
2010-02-05,10000.0,0.941145503947257,0.9258939629446619,0.9263828046923974,0.935044887546219
2010-02-08,10000.0,0.9343512715500313,0.9192158634544807,0.9171614208550615,0.928297108311811
2010-02-09,10000.0,0.9460868293075297,0.9286944776584178,0.9298213849810043,0.9391298886478849
2010-02-10,10000.0,0.9442336523511289,0.926756111326401,0.9320097277170499,0.9372426359412378
2010-02-11,10000.0,0.9541163030716743,0.940758495536872,0.9468581831074081,0.9487731800577534
2010-02-12,10000.0,0.9533226499215839,0.9426971459063527,0.9537351951562523,0.9490724483154914
2010-02-16,10000.0,0.9683229733750557,0.9547610691056522,0.9698339623633567,0.9628982116672944
2010-02-17,10000.0,0.9729114240437227,0.960146324739843,0.9763986935147538,0.9678053843221708
2010-02-18,10000.0,0.9786466724735338,0.9661785230373793,0.9843699140637132,0.973659412699072
2010-02-19,10000.0,0.9806762867757375,0.9657472594882005,0.9856203001446443,0.9747046758607226
2010-02-22,10000.0,0.9808526341483911,0.9638090825144928,0.9885901991624336,0.9740352134948318
2010-02-23,10000.0,0.9689404590987911,0.9513141798034783,0.9770237751589421,0.9618899473806659
2010-02-24,10000.0,0.9778525694576967,0.9610080944049637,0.9853076479262729,0.9711147794366035
2010-02-25,10000.0,0.9765288844850032,0.9607928886865701,0.9856203001446443,0.97023448616563
2010-02-26,10000.0,0.9771463702087386,0.9642395886304348,0.9815561926267398,0.971983657577417
2010-03-01,10000.0,0.987293991854011,0.978242162199215,1.0043759428302423,0.9836732599920925
2010-03-02,10000.0,0.9900291755931278,0.981258071989674,1.0120346596892,0.9865207341517462
2010-03-03,10000.0,0.9909119021610381,0.9823353314106522,1.017818057351408,0.9874812738608837
2010-03-04,10000.0,0.9939116969322845,0.9855665415986594,1.0204753041508259,0.9905736347988345
2010-03-05,10000.0,1.0081180073430687,1.0004306954742512,1.041262592142359,1.0050430825955416
2010-03-08,10000.0,1.0082948045814688,1.0023699139186595,1.0431382083958483,1.005924848316345
2010-03-09,10000.0,1.009971634165216,1.0079707539878624,1.0468889953177174,1.0091712820942744
2010-03-10,10000.0,1.0144711013892125,1.0161571870898913,1.0557982467859761,1.015145535669484
2010-03-11,10000.0,1.0187066773662736,1.0200345825080073,1.0589243976487661,1.019237839422967
2010-03-12,10000.0,1.0187954808646456,1.020249788226401,1.0584556421137636,1.0193772038093476
2010-03-15,10000.0,1.0190595520578793,1.0176651419851208,1.0548605129234163,1.018501788028776
2010-03-16,10000.0,1.0271774694277986,1.0241281304360628,1.0639260162366757,1.0259577338311043
2010-03-17,10034.89268337112,1.033266042414962,1.0269280770748912,1.070177723848777,1.0307308562789337
2010-03-18,10042.642207959447,1.0327367303775534,1.0303753450936837,1.0668954696693558,1.0317921762640054
2010-03-19,10001.545781796636,1.0275092004293158,1.024142332309252,1.0536104238992248,1.0261624531812903
2010-03-22,10052.755181012706,1.0330026910069228,1.0334157767851826,1.0684585822328434,1.0331679253182267
2010-03-23,10105.33892912447,1.0402677528945037,1.0405324301194463,1.082056874334825,1.0403736237844807
2010-03-24,10068.810133444542,1.0352175600235622,1.0355719051727672,1.0697097109556233,1.0353592980832442
2010-03-25,10057.038215545528,1.0335337125341684,1.034062719448528,1.0629715729325167,1.033745315299912
2010-03-26,10057.470869204075,1.0329137975354015,1.0351408309818977,1.0625017034347408,1.0338046109139998
2010-03-29,10100.652397176966,1.0394705008184408,1.0401011665702675,1.068299434084632,1.0397227671191716
2010-03-30,10113.807126719244,1.0401792193155797,1.0435517483594705,1.0715901543811301,1.041528230933136
2010-03-31,10083.87001898902,1.0366351769641386,1.0385913180919462,1.0623456001181097,1.0374176334152616
2010-04-01,10114.87382607341,1.0437232616670207,1.0385913180919462,1.0722167955732012,1.0416704842369908
2010-04-05,10180.312005484877,1.0522291432567779,1.04829612079621,1.0922722842868644,1.0506559342725508
2010-04-06,10199.904948609892,1.0547099729027867,1.0513151549987705,1.0986971759781206,1.0533520457411802
2010-04-07,10166.132939817251,1.048684920959038,1.0487271949870796,1.0952496839873274,1.0487018305702547
2010-04-08,10188.878590224273,1.052317406916254,1.0510996652429132,1.094152950504926,1.0518303102469178
2010-04-09,10237.178596637823,1.0592286044075867,1.0573534127622009,1.1007337227202585,1.0584785277494322
