ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
CAT,13,0.7692,15.5108,23.8,201.64,13,0
F,8,0.75,22.6163,29.13,180.93,8,0
AEP,7,0.8571,17.9686,27.55,125.78,7,0
CSCO,3,1.0,40.0,30.24,120.0,3,0
DE,11,0.7273,10.8082,23.5,118.89,11,0
CVS,5,0.8,20.926,22.09,104.63,5,0
BKNG,2,1.0,49.985,49.985,99.97,2,0
ABBV,3,1.0,29.9067,19.38,89.72,3,0
TSLA,7,0.7143,12.5857,36.16,88.1,7,0
IBM,3,1.0,23.7133,20.49,71.14,3,0
ISRG,19,0.5789,3.6079,11.27,68.55,19,0
SCHW,2,1.0,34.19,34.19,68.38,2,0
V,9,0.6667,7.2333,13.75,65.1,9,0
C,2,1.0,30.88,30.88,61.76,2,0
OMC,2,1.0,30.6,30.6,61.2,2,0
ETN,1,1.0,55.74,55.74,55.74,1,0
VZ,3,1.0,16.7367,16.0,50.21,3,0
LMT,12,0.5833,4.0825,16.635,48.99,12,0
GM,4,0.75,11.6525,18.76,46.61,4,0
WFC,4,0.75,11.6475,28.58,46.59,4,0
PEP,3,1.0,15.1733,13.86,45.52,3,0
TRV,11,0.4545,3.7382,-2.56,41.12,11,0
FDX,10,0.6,3.823,22.34,38.23,10,0
CMCSA,6,0.6667,6.1667,15.85,37.0,6,0
WELL,5,0.8,7.334,11.47,36.67,5,0
XEL,12,0.6667,2.9717,12.065,35.66,12,0
EQR,8,0.625,3.9737,14.05,31.79,8,0
LLY,2,1.0,15.01,15.01,30.02,2,0
MSFT,4,0.75,7.3625,12.145,29.45,4,0
NVDA,5,0.6,5.674,2.91,28.37,5,0
KMB,4,0.75,7.0875,13.84,28.35,4,0
AMGN,4,0.5,5.8425,-5.21,23.37,4,0
KMI,2,0.5,11.65,11.65,23.3,2,0
DUK,2,0.5,10.99,10.99,21.98,2,0
RTX,2,1.0,10.395,10.395,20.79,2,0
KO,3,0.6667,6.3067,18.87,18.92,3,0
AMT,5,0.6,3.402,14.55,17.01,5,0
ORCL,1,1.0,16.73,16.73,16.73,1,0
WMT,15,0.6,1.0367,2.79,15.55,15,0
COP,2,0.5,6.495,6.495,12.99,2,0
EQIX,11,0.4545,1.1709,-2.51,12.88,11,0
T,4,0.5,2.695,1.385,10.78,4,0
TJX,5,0.6,2.118,13.56,10.59,5,0
PM,6,0.6667,1.765,8.995,10.59,6,0
SPG,16,0.625,0.6181,14.785,9.89,16,0
UPS,2,0.5,4.725,4.725,9.45,2,0
NUE,4,0.5,2.2475,11.785,8.99,4,0
EBAY,2,0.5,3.88,3.88,7.76,2,0
MCD,10,0.6,0.758,8.805,7.58,10,0
AVB,8,0.625,0.9425,6.15,7.54,8,0
ROST,7,0.4286,0.7571,-10.56,5.3,7,0
PEG,2,0.5,2.455,2.455,4.91,2,0
MO,6,0.6667,0.5117,7.05,3.07,6,0
AXP,2,0.5,-0.88,-0.88,-1.76,2,0
EA,8,0.5,-0.4563,6.0,-3.65,8,0
COF,2,0.5,-3.38,-3.38,-6.76,2,0
LOW,2,0.5,-3.7,-3.7,-7.4,2,0
IFF,10,0.6,-0.741,8.61,-7.41,10,0
SBUX,11,0.5455,-0.7582,1.66,-8.34,11,0
SYK,4,0.25,-2.305,-9.48,-9.22,4,0
EMR,2,0.5,-5.575,-5.575,-11.15,2,0
FCX,9,0.4444,-1.45,-2.39,-13.05,9,0
MU,30,0.5,-0.438,11.32,-13.14,30,0
INTC,18,0.5,-0.7794,0.005,-14.03,18,0
MDT,6,0.5,-2.8517,-2.88,-17.11,6,0
BRK-B,13,0.5385,-1.3185,2.2,-17.14,13,0
META,4,0.5,-4.6075,-6.175,-18.43,4,0
ED,4,0.5,-5.155,1.27,-20.62,4,0
MPC,3,0.3333,-7.55,-17.0,-22.65,3,0
AIG,1,0.0,-22.73,-22.73,-22.73,1,0
MMM,2,0.5,-11.665,-11.665,-23.33,2,0
SPGI,2,0.5,-11.85,-11.85,-23.7,2,0
PH,13,0.3846,-1.8762,-7.75,-24.39,13,0
NOC,3,0.3333,-8.6133,-27.63,-25.84,3,0
TXN,4,0.75,-6.8775,13.8,-27.51,4,0
BAC,1,0.0,-27.69,-27.69,-27.69,1,0
TMUS,9,0.5556,-3.1433,6.42,-28.29,9,0
SYY,5,0.4,-5.738,-23.46,-28.69,5,0
UNP,2,0.5,-14.375,-14.375,-28.75,2,0
PG,1,0.0,-29.78,-29.78,-29.78,1,0
NEE,6,0.5,-5.1633,-7.94,-30.98,6,0
ABT,1,0.0,-32.54,-32.54,-32.54,1,0
HD,2,0.5,-16.53,-16.53,-33.06,2,0
AMD,6,0.5,-5.6267,3.48,-33.76,6,0
DHR,1,0.0,-35.19,-35.19,-35.19,1,0
PLD,6,0.5,-6.085,-0.74,-36.51,6,0
PSX,2,0.5,-19.155,-19.155,-38.31,2,0
NKE,4,0.5,-10.0125,-5.85,-40.05,4,0
SRE,3,0.3333,-13.51,-7.31,-40.53,3,0
AMZN,4,0.5,-10.1675,-5.25,-40.67,4,0
JPM,5,0.4,-8.64,-8.26,-43.2,5,0
ECL,4,0.5,-10.9325,-4.435,-43.73,4,0
MAR,6,0.3333,-7.415,-11.265,-44.49,6,0
SHW,2,0.0,-23.85,-23.85,-47.7,2,0
SLB,1,0.0,-48.29,-48.29,-48.29,1,0
NFLX,5,0.4,-9.69,-6.89,-48.45,5,0
TMO,1,0.0,-50.33,-50.33,-50.33,1,0
CL,2,0.0,-26.225,-26.225,-52.45,2,0
CI,3,0.3333,-18.66,-40.15,-55.98,3,0
D,4,0.25,-14.505,-25.555,-58.02,4,0
BLK,2,0.0,-29.585,-29.585,-59.17,2,0
BSX,5,0.4,-12.248,-24.8,-61.24,5,0
GILD,9,0.4444,-6.8333,-13.76,-61.5,9,0
DIS,8,0.375,-7.8375,-14.81,-62.7,8,0
MA,10,0.4,-6.323,-9.765,-63.23,10,0
DD,4,0.0,-16.09,-14.59,-64.36,4,0
SO,8,0.5,-8.07,-9.635,-64.56,8,0
HON,2,0.0,-33.665,-33.665,-67.33,2,0
COST,18,0.3889,-3.7461,-15.575,-67.43,18,0
LIN,11,0.4545,-6.3855,-16.79,-70.24,11,0
PFE,7,0.2857,-10.1,-19.41,-70.7,7,0
PNC,4,0.5,-18.0425,-18.67,-72.17,4,0
CHTR,9,0.4444,-8.44,-2.96,-75.96,9,0
PSA,3,0.0,-26.06,-28.28,-78.18,3,0
GS,3,0.3333,-28.0867,-56.96,-84.26,3,0
