date,equity,bull_fraction,invested,day_ret,strategy_ret
2015-02-06,10000.0,0.0,0.0,-0.003965123179615881,-0.0
2015-02-09,10000.0,0.0,0.0,0.012617787052463659,0.0
2015-02-10,10017.13713245714,1.0,0.95,0.0018039086796987737,0.0017137132457138349
2015-02-11,10116.365569371877,1.0,0.95,0.010427229341565258,0.009905867874486995
2015-02-12,10173.10586505348,1.0,0.95,0.005903960925857721,0.005608762879564835
2015-02-13,10185.843405749089,1.0,0.95,0.001317978771889594,0.0012520798332951142
2015-02-17,10191.265585442135,0.8835616438356164,0.8615068493150684,0.0006178999732072032,0.0005323250591096028
2015-02-18,10191.265585442135,0.0,0.0,0.0015499706595491828,0.0
2015-02-19,10252.015942325372,1.0,0.95,0.006274759847193456,0.005961021854833783
2015-02-20,10252.015942325372,0.0,0.0,0.00032084274970580753,0.0
2015-02-23,10252.015942325372,0.0,0.0,0.001999083801879431,0.0
2015-02-24,10252.015942325372,0.0,0.0,-0.0015042132080569592,-0.0
2015-02-25,10252.015942325372,0.0,0.0,0.0013219688611237458,0.0
2015-02-26,10215.751027910634,0.9726027397260274,0.9291780821917808,-0.003806960993907915,-0.003537344715298272
2015-02-27,10286.427768447416,0.9794520547945206,0.9343835616438356,0.007404249132107488,0.006918408675356874
2015-03-02,10286.427768447416,0.0,0.0,-0.004327650666762661,-0.0
2015-03-03,10286.427768447416,0.0,0.0,-0.004072514510149028,-0.0
2015-03-04,10286.427768447416,0.0,0.0,0.0013572998291848217,0.0
2015-03-05,10159.709927328102,1.0,0.95,-0.012967300619888423,-0.012318935588894001
2015-03-06,10192.542843327741,0.9178082191780822,0.8875342465753425,0.0036411873669253136,0.0032316784863437135
2015-03-09,10192.542843327741,0.0,0.0,-0.01715976682563345,-0.0
2015-03-10,10192.542843327741,0.0,0.0,-0.0037130969277586303,-0.0
2015-03-11,10289.657031178478,0.9726027397260274,0.9291780821917808,0.010254185744692945,0.009527964644692088
2015-03-12,10289.657031178478,0.0,0.0,-0.005418414914519797,-0.0
2015-03-13,10418.50103156399,1.0,0.95,0.013180737040383493,0.012521700188364317
2015-03-16,10418.50103156399,0.0,0.0,-0.001146544320547016,-0.0
2015-03-17,10418.50103156399,0.0,0.0,0.011143017315669867,0.0
2015-03-18,10418.50103156399,0.0,0.0,-0.002143731095076151,-0.0
2015-03-19,10418.50103156399,0.3082191780821918,0.0,0.007885108548521114,0.0
2015-03-20,10418.50103156399,0.0,0.0,-0.0019429154928340521,-0.0
2015-03-23,10418.50103156399,0.0,0.0,-0.0048114965992254845,-0.0
2015-03-24,10418.50103156399,0.18493150684931506,0.0,-0.01794664833772568,-0.0
2015-03-25,10418.50103156399,0.0,0.0,-0.0027941830559356177,-0.0
2015-03-26,10418.50103156399,0.0,0.0,0.002972295796899083,0.0
2015-03-27,10418.50103156399,0.0,0.0,0.011906632102121329,0.0
2015-03-30,10418.50103156399,0.0,0.0,-0.009478537369691153,-0.0
2015-03-31,10418.50103156399,0.0,0.0,-0.004205275179386602,-0.0
2015-04-01,10418.50103156399,0.0,0.0,0.0024253392968002887,0.0
2015-04-02,10490.874050869694,1.0,0.95,0.007312196385463698,0.006946586566190513
2015-04-06,10468.279138919837,1.0,0.95,-0.002267124524288966,-0.0021537682980745177
2015-04-07,10468.279138919837,0.0,0.0,0.005201996034215872,0.0
2015-04-08,10468.279138919837,0.0,0.0,0.005167161708532309,0.0
2015-04-09,10517.15176309597,1.0,0.95,0.004914357639027455,0.004668639757076082
2015-04-10,10480.025531818843,1.0,0.95,-0.0037158580887590277,-0.0035300651843210764
2015-04-13,10479.964074201898,1.0,0.95,-6.172907514923054e-06,-5.864262139176901e-06
2015-04-14,10479.964074201898,0.0,0.0,0.0051931540740275395,0.0
2015-04-15,10472.720331253424,1.0,0.95,-0.0007275781217715993,-0.0006911992156830193
2015-04-16,10472.720331253424,0.0,0.0,-0.013142206386514777,-0.0
2015-04-17,10472.720331253424,0.0,0.0,0.011481301883213745,0.0
2015-04-20,10472.720331253424,0.0,0.0,0.000995641553033977,0.0
2015-04-21,10472.720331253424,0.0,0.0,0.005132341751655334,0.0
2015-04-22,10500.453516997355,0.9041095890410958,0.8771232876712328,0.003019114698987524,0.0026481358106324815
2015-04-23,10568.492149229423,1.0,0.95,0.006820620915080378,0.006479589869326359
2015-04-24,10568.492149229423,0.15753424657534246,0.0,-0.0035081471086254147,-0.0
2015-04-27,10568.492149229423,0.0,0.0,0.001109369138648919,0.0
2015-04-28,10568.492149229423,0.0,0.0,-0.004977025099745713,-0.0
2015-04-29,10568.492149229423,0.0,0.0,-0.012304113080733693,-0.0
2015-04-30,10568.492149229423,0.0,0.0,0.011782395939161106,0.0
2015-05-01,10592.271655218845,1.0,0.95,0.0023684607589038453,0.002250037720958653
2015-05-04,10460.492036132171,0.9726027397260274,0.9291780821917808,-0.013389371158388142,-0.012441110214705035
2015-05-05,10460.492036132171,0.0,0.0,-0.005224887991549632,-0.0
2015-05-06,10460.492036132171,0.0,0.0,0.004793087240234506,0.0
2015-05-07,10588.610430987766,1.0,0.95,0.012892459341607944,0.012247836374527546
2015-05-08,10547.17207411311,0.9178082191780822,0.8875342465753425,-0.004409389221513171,-0.003913483940573129
2015-05-11,10511.05101827703,1.0,0.95,-0.003604962901031983,-0.003424714755980384
