ticker,side,quantity,price,raw_limit_price,limit_price,limit_offset_bps,trade_value,requested_quantity,broker_sellable_qty,broker_reserved_stop_qty,quantity_clamped_to_sellable,execution_risk_score,execution_risk_band,execution_risk_buy_scale,execution_symbol_risk_buy_scale,execution_risk_quantity_before_scale,execution_risk_quantity_after_scale,execution_risk_reason,execution_risk_report_orders,execution_risk_avg_slippage_bps,execution_risk_bad_slippage_rate,execution_scorecard_status,execution_scorecard_score,execution_scorecard_buy_scale,execution_scorecard_failed_checks,execution_scorecard_reason,execution_price_policy,current_weight,target_weight,drift,current_qty,target_qty,live_risk_cap_enabled,live_risk_signal_target_qty,live_risk_capped_target_qty,live_risk_realized_vol,live_risk_atr_14,live_risk_reason,run_id
MU,buy,20,917.095,918.195514,918.2,12.0,18341.9,20,,0,False,,none,1.0,1.0,20,20,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_10_below_20,adverse_15m_sample_10_below_20,adverse_60m_sample_9_below_20",two_stage_limit,0.0,0.1745,0.1745,0,20,False,20,20,,,,github-34866758080
FCX,buy,39,69.36,69.443232,69.45,12.0,2705.04,39,,0,False,,none,1.0,1.0,39,39,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_10_below_20,adverse_15m_sample_10_below_20,adverse_60m_sample_9_below_20",two_stage_limit,0.0,0.0255,0.0255,0,39,False,39,39,,,,github-34866758080
INTC,buy,23,97.415,97.531898,97.54,12.0,2240.545,23,,0,False,,none,1.0,1.0,23,23,,,,,collecting,,1.0,,"execution_scorecard_not_decision_eligible_slippage_sample_10_below_20,adverse_15m_sample_10_below_20,adverse_60m_sample_9_below_20",two_stage_limit,0.1789,0.2,0.0211,197,220,False,220,220,,,,github-34866758080
