valuation_date,timestamp,mode,initial_equity,equity,cash,invested_value,cash_weight,gross_exposure,daily_return_pct,total_return_pct,orders_today,slippage_cost_today,regulatory_fees_today,cumulative_slippage_cost,cumulative_regulatory_fees,max_target_weight_gap,signal_key,signal_predicted_at,live_config_hash,paper_ready,broker_orders_submitted
2026-08-28,2026-08-31T23:45:09+00:00,fractional_shadow_only,400.0,399.592398,1.99,397.602398,0.0049800748,0.9950199252,0.0,-0.101901,4,0.3976024,0.01,0.3976023976,0.01,0.0023910322,2a60afcb2ee8b3e4a117,2026-09-01T03:38+08:00,ea79a82916d5b9e9,True,False
2026-09-02,2026-09-04T09:54:45+00:00,fractional_shadow_only,400.0,399.323706,1.99,397.333706,0.0049834257,0.9950165743,-0.067241,-0.169073,0,0.0,0.0,0.3976023976,0.01,0.0079904862,ea9bdec35365beb0e91e,2026-09-04T01:09+08:00,efc9620f12f77952,True,False
2026-09-03,2026-09-08T17:44:12+00:00,fractional_shadow_only,400.0,403.410041,1.99,401.420041,0.0049329462,0.9950670538,1.023314,0.85251,0,0.0,0.0,0.3976023976,0.01,0.0073606625,5197bd05fbea29010561,2026-09-05T01:01+08:00,efc9620f12f77952,True,False
2026-09-08,2026-09-10T14:02:03+00:00,fractional_shadow_only,400.0,417.701265,2.078633,415.622632,0.0049763633,0.9950236367,3.542605,4.425316,0,0.0,0.0,0.4130352533,0.02,0.0084224309,1320b07913129413e150,2026-09-09T23:30+08:00,f8364333b4771d2c,True,False
2026-09-11,2026-09-14T19:01:16+00:00,fractional_shadow_only,400.0,412.583289,4.28491,408.29838,0.0103855627,0.9896144373,-1.225272,3.145822,0,0.0,0.0,0.4339630977,0.03,0.0045556288,f347bd42664bc155e9fa,2026-09-15T02:53+08:00,efc9620f12f77952,True,False
2026-09-14,2026-09-15T13:59:15+00:00,fractional_shadow_only,400.0,402.062627,4.28491,397.777718,0.0106573189,0.9893426811,-2.549949,0.515657,0,0.0,0.0,0.4339630977,0.03,0.007184929,d7cb4d95a12095512845,2026-09-15T21:40+08:00,efc9620f12f77952,True,False
2026-09-16,2026-09-18T13:59:46+00:00,fractional_shadow_only,400.0,403.423702,2.008902,401.4148,0.0049796321,0.9950203679,0.338523,0.855925,0,0.0,0.0,0.780588316,0.04,0.0015612749,9c9bef4217fe7e55ee11,2026-09-18T01:46+08:00,efc9620f12f77952,True,False
