group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
confidence_decile,C8,4,1.0,38.02,33.85,152.1,,2.303,52.92,0.495,0.9411,1.75
confidence_decile,C2,4,1.0,36.22,38.57,144.86,,1.441,50.58,0.4275,-0.4266,2.25
confidence_decile,C3,4,0.75,20.34,44.5,81.36,2.052,0.346,50.89,0.345,0.0339,2.5
confidence_decile,C1,5,0.6,1.75,25.11,8.75,1.065,0.03,50.23,0.444,-0.1854,3.2
confidence_decile,C7,4,0.5,-9.66,-6.91,-38.65,0.605,-0.245,52.62,0.465,-0.0768,3.5
confidence_decile,C9,4,0.25,-13.76,-19.25,-55.03,0.23,-0.693,53.16,0.5475,0.1546,3.5
confidence_decile,C5,5,0.4,-14.03,-28.45,-70.14,0.497,-0.339,51.8,0.442,0.0,2.6
confidence_decile,C10,5,0.4,-18.09,-47.43,-90.46,0.47,-0.377,54.37,0.566,0.8422,1.6
confidence_decile,C6,4,0.25,-22.97,-29.34,-91.89,0.27,-0.63,52.19,0.4925,-0.0718,2.75
confidence_decile,C4,4,0.0,-27.8,-28.03,-111.18,0.0,-1.053,51.48,0.5725,0.373,3.75
entry_year,2026,30,0.5333,-0.05,9.03,-1.64,0.997,-0.001,52.01,0.4813,0.2331,2.63
entry_year,2025,13,0.4615,-5.28,-2.24,-68.64,0.775,-0.112,52.08,0.4769,0.0,2.92
exit_reason,take_profit,18,1.0,43.84,42.58,789.07,,2.753,52.06,0.4767,0.3026,2.06
exit_reason,time_exit,9,0.4444,-3.87,-0.57,-34.83,0.664,-0.149,51.67,0.5333,-0.1021,5.0
exit_reason,stop_loss,16,0.0,-51.53,-53.42,-824.52,0.0,-3.068,52.2,0.4537,0.1541,2.19
expected_return_decile,E7,4,0.75,20.3,20.78,81.19,3.7,0.573,51.79,0.54,0.4289,3.0
expected_return_decile,E3,4,0.75,15.5,29.22,61.98,2.25,0.398,51.48,0.3875,-0.0718,2.0
expected_return_decile,E4,4,0.75,12.18,25.94,48.73,2.477,0.466,52.23,0.4325,-0.0556,3.0
expected_return_decile,E10,5,0.4,7.22,-2.24,36.1,1.526,0.171,53.1,0.716,1.1814,3.8
expected_return_decile,E1,5,0.6,6.96,43.18,34.78,1.267,0.116,51.36,0.21,-0.3096,1.8
expected_return_decile,E2,4,0.5,-0.96,-13.42,-3.85,0.946,-0.023,51.4,0.335,-0.4479,2.5
expected_return_decile,E6,4,0.5,-6.8,-1.35,-27.21,0.652,-0.2,52.24,0.525,0.1226,2.5
expected_return_decile,E9,4,0.5,-17.15,-21.55,-68.61,0.495,-0.335,52.09,0.61,0.0,2.25
expected_return_decile,E8,4,0.25,-24.3,-51.0,-97.21,0.379,-0.502,52.09,0.5675,0.2503,2.75
expected_return_decile,E5,5,0.2,-27.24,-34.37,-136.18,0.219,-0.638,52.34,0.484,0.3456,3.4
holding_days_bucket,1d,13,0.4615,2.55,-24.32,33.11,1.108,0.049,52.24,0.4631,0.3851,1.0
holding_days_bucket,2-3d,17,0.5882,-0.09,24.01,-1.49,0.996,-0.002,52.12,0.4506,0.191,2.47
holding_days_bucket,4-5d,13,0.4615,-7.84,-0.57,-101.9,0.581,-0.209,51.7,0.5354,-0.0969,4.77
rank_score_decile,R5,5,0.6,21.83,29.29,109.13,4.333,0.658,51.74,0.532,0.0,2.6
rank_score_decile,R1,5,0.8,20.97,58.61,104.86,2.236,0.362,50.5,0.336,-0.719,2.6
rank_score_decile,R8,4,0.75,20.89,20.48,83.54,147.561,1.329,52.33,0.515,0.0,3.75
rank_score_decile,R2,4,0.75,11.72,28.04,46.88,2.087,0.369,52.42,0.405,-0.1486,2.5
rank_score_decile,R10,5,0.6,6.76,38.14,33.82,1.31,0.133,53.61,0.63,1.7953,2.0
rank_score_decile,R9,4,0.5,2.73,-2.48,10.93,1.13,0.057,51.39,0.5375,0.5515,2.25
rank_score_decile,R6,4,0.5,-10.21,-3.41,-40.84,0.528,-0.295,51.77,0.53,0.0,2.75
rank_score_decile,R4,4,0.5,-11.43,-10.89,-45.73,0.601,-0.244,52.63,0.4375,0.0,2.5
rank_score_decile,R3,4,0.0,-45.65,-51.5,-182.59,0.0,-1.533,52.0,0.47,0.0,3.5
rank_score_decile,R7,4,0.0,-47.57,-51.31,-190.28,0.0,-5.522,51.96,0.3925,0.0,3.0
regime_state,neutral,17,0.8235,31.97,38.14,543.45,7.554,0.966,51.98,0.4882,0.3495,2.47
regime_state,bull,26,0.3077,-23.61,-33.68,-613.73,0.274,-0.588,52.07,0.4746,0.0405,2.88
sector,XLK,35,0.5143,-0.21,1.6,-7.44,0.99,-0.005,52.15,0.4851,0.1704,2.77
sector,XLY,8,0.5,-7.86,-11.71,-62.84,0.693,-0.175,51.5,0.4575,0.1286,2.5
signal_quality,MEDIUM,16,0.625,5.74,25.38,91.91,1.323,0.131,51.76,0.4456,-0.0324,2.88
signal_quality,LOW,6,0.6667,-2.46,24.27,-14.76,0.891,-0.053,52.49,0.4833,0.0,2.0
signal_quality,HIGH,21,0.381,-7.02,-8.42,-147.43,0.71,-0.148,52.1,0.5052,0.3577,2.81
ticker,MSFT,3,0.6667,21.07,25.64,63.21,111.895,1.306,52.18,0.48,0.4292,4.0
ticker,AAPL,10,0.5,4.46,6.6,44.61,1.355,0.141,52.2,0.458,-0.0972,2.5
ticker,NVDA,11,0.5455,-3.6,1.6,-39.63,0.88,-0.06,51.48,0.5164,0.3086,2.91
ticker,AMZN,8,0.5,-7.86,-11.71,-62.84,0.693,-0.175,51.5,0.4575,0.1286,2.5
ticker,GOOGL,11,0.4545,-6.88,-2.24,-75.63,0.718,-0.149,52.77,0.48,0.205,2.55
