ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
MU,184,0.4239,8.7495,-28.96,1609.9,184,0
AMD,159,0.3962,5.2348,-34.24,832.33,159,0
META,158,0.4114,3.0476,-19.155,481.52,158,0
AMZN,173,0.4277,2.2268,-18.27,385.23,173,0
LLY,156,0.4615,2.3447,-16.295,365.77,156,0
GOOGL,148,0.3986,0.7755,-17.555,114.77,148,0
UNH,164,0.3963,0.5653,-16.145,92.71,164,0
CAT,153,0.3725,-0.6799,-21.87,-104.03,153,0
V,149,0.3826,-0.8325,-15.54,-124.04,149,0
MA,146,0.3767,-1.4597,-16.73,-213.11,146,0
NVDA,161,0.3665,-1.425,-30.68,-229.43,161,0
HD,167,0.3892,-1.4958,-15.74,-249.8,167,0
MSFT,179,0.3687,-1.5711,-17.61,-281.22,179,0
BRK-B,173,0.3584,-2.3913,-14.95,-413.7,173,0
PG,182,0.3462,-2.6762,-14.48,-487.07,182,0
