ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
NVDA,68,0.5735,15.3259,26.02,1042.16,68,0
META,120,0.4583,8.0877,-16.505,970.52,120,0
MA,128,0.5156,6.1124,6.725,782.39,128,0
AMD,42,0.4286,13.834,-36.94,581.03,42,0
MSFT,132,0.4621,4.0214,-14.515,530.82,132,0
V,124,0.4516,3.4219,-16.29,424.32,124,0
AMZN,83,0.4458,4.3012,-20.47,357.0,83,0
MU,50,0.38,6.1042,-36.585,305.21,50,0
HD,167,0.4491,1.3572,-16.08,226.66,167,0
GOOGL,110,0.4273,1.5534,-19.57,170.87,110,0
PG,116,0.4138,1.4297,-15.645,165.85,116,0
LLY,123,0.439,1.1589,-15.77,142.54,123,0
BRK-B,59,0.4237,2.2115,-15.87,130.48,59,0
UNH,145,0.4276,0.8399,-15.57,121.79,145,0
CAT,120,0.4333,0.5556,-22.85,66.67,120,0
COST,159,0.4151,-0.6913,-17.13,-109.91,159,0
INTC,113,0.3451,-3.1084,-20.57,-351.25,113,0
