ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
AMD,272,0.3787,1.2344,-7.765,335.76,272,0
MU,251,0.3347,-0.9651,-8.37,-242.23,251,0
BRK-B,193,0.3212,-1.621,-4.15,-312.86,193,0
UNH,236,0.3178,-1.4662,-5.51,-346.02,236,0
META,248,0.3105,-1.5058,-6.925,-373.45,248,0
V,181,0.2762,-2.2539,-5.33,-407.96,181,0
PG,199,0.2663,-2.5614,-4.72,-509.72,199,0
MA,173,0.2717,-3.0414,-6.26,-526.17,173,0
HD,207,0.2657,-2.6938,-4.89,-557.62,207,0
MSFT,196,0.2602,-2.9113,-5.77,-570.61,196,0
LLY,244,0.2992,-2.6081,-5.975,-636.37,244,0
CAT,256,0.2656,-3.0766,-6.245,-787.6,256,0
GOOGL,226,0.2434,-3.6394,-5.845,-822.5,226,0
AMZN,258,0.2868,-3.3891,-6.485,-874.39,258,0
NVDA,268,0.2575,-6.6441,-10.075,-1780.63,268,0
