,equity,benchmark_spy_norm
2015-01-02,9998.510585669113,1.0
2015-01-05,9934.706037480872,0.9819401444788441
2015-01-06,9879.51213948734,0.9726914140188356
2015-01-07,9789.977002116408,0.9848122494352567
2015-01-08,10150.383647562572,1.0022875846890669
2015-01-09,10143.324017416302,0.9942558797787918
2015-01-12,9549.503700797899,0.986467239150319
2015-01-13,9354.28899635532,0.983692808364712
2015-01-14,9097.665177953824,0.9777537882599773
2015-01-15,8835.957590430296,0.9687970937045992
2015-01-16,8845.176041628833,0.9815022700051321
2015-01-20,8921.764222425829,0.9835952238855233
2015-01-21,9265.44996549693,0.988560372413944
2015-01-22,9953.466027694134,1.0032610078072965
2015-01-23,10046.221747151207,0.9977607590924428
2015-01-26,10138.109638125414,1.000097225712721
2015-01-27,9317.455590936026,0.9869050239324141
2015-01-28,8640.962526068419,0.9742489089463262
2015-01-29,9234.481661397302,0.9832544854329154
2015-01-30,10025.069665178487,0.970890496043075
2015-02-02,10429.886031566506,0.9829138366719243
2015-02-03,10838.090699944038,0.9971278053519705
2015-02-04,10833.0676223485,0.9933309798253058
2015-02-05,11286.200175565546,1.0033585922864852
2015-02-06,11187.22944227721,1.000583982117644
2015-02-09,10878.11566231612,0.9961056796857636
2015-02-10,11549.171038100956,1.006717363956204
2015-02-11,11490.45067403454,1.0073015254570818
2015-02-12,11971.128716696827,1.016988578848887
2015-02-13,12227.711074400395,1.021174935067754
2015-02-17,12206.948691925216,1.0227815810013063
2015-02-18,12129.151897174961,1.0228787170224105
2015-02-19,12081.50913839673,1.0221484478776004
2015-02-20,12227.116983404147,1.028281919407777
2015-02-23,12184.904255453794,1.0281360808386955
2015-02-24,12019.905509401551,1.0310567089598517
2015-02-25,11985.299617188915,1.030180690937577
2015-02-26,12165.168036260364,1.0289634860046097
2015-02-27,12206.586988884841,1.025458427307725
2015-03-02,12655.907953975706,1.0319329063653602
2015-03-03,12125.191827693227,1.027697668215282
2015-03-04,11957.964260025363,1.0233653837357168
2015-03-05,11973.786186853442,1.0244852732643461
2015-03-06,11648.543170843175,1.0100764047007735
2015-03-09,11720.284552240768,1.0142625815364066
2015-03-10,11337.510061556375,0.9978091925655695
2015-03-11,11446.695158503226,0.9954727259452913
2015-03-12,11464.573249660963,1.00812911000623
2015-03-13,11617.375353933263,1.001946756544842
2015-03-16,11661.103456136592,1.0153334994422079
2015-03-17,11462.497664937026,1.0123155559167138
2015-03-18,11761.765589466359,1.0244852732643461
2015-03-19,11684.275897642674,1.0198118915657053
2015-03-20,11836.057876989053,1.028813431929534
2015-03-23,11786.663255558835,1.0268089139834073
2015-03-24,11782.46391136988,1.0210390522681485
2015-03-25,11630.187319634704,1.006076965811529
2015-03-26,11617.166038498892,1.0036813027240958
2015-03-27,11530.199480223046,1.0059792916407233
2015-03-30,11599.891911387267,1.0182521543477923
2015-03-31,11591.164504938806,1.0093529521188478
2015-04-01,11520.159076069394,1.0057836742242616
2015-04-02,11456.764512115882,1.0094021928165267
2015-04-06,12624.567193771984,1.0161988441620713
2015-04-07,12469.384711197416,1.0135092616460528
2015-04-08,12693.224882944458,1.0169319834386223
2015-04-09,12911.101218171696,1.0214304664843057
2015-04-10,13025.190319251567,1.027004531399869
2015-04-13,12978.438610005824,1.0223592231773184
2015-04-14,12887.030276560794,1.0243153973419352
2015-04-15,13069.875540095849,1.028911464866807
2015-04-16,13041.836465183012,1.0286182629711569
2015-04-17,12968.792540686069,1.0167853376449887
2015-04-20,13181.797122911887,1.0260754159403889
2015-04-21,13197.395483569326,1.0248530985852582
2015-04-22,13530.384972284859,1.0298894622574986
2015-04-23,13530.370853530534,1.032481011836244
2015-04-24,14769.779820633305,1.0348767646152939
2015-04-27,14801.261622904767,1.0305736299112214
2015-04-28,14943.317694926269,1.0338497059101572
2015-04-29,14873.833190531013,1.0295961706702315
2015-04-30,14493.679719575071,1.019278854286461
2015-05-01,14845.3986252929,1.0303295790216331
2015-05-04,14686.423343241651,1.033263122735623
2015-05-05,14376.585638297847,1.0214304664843057
2015-05-06,14308.208594405423,1.0172251853342726
2015-05-07,14111.978131434425,1.0212837309990552
2015-05-08,14369.03717652751,1.0347301188216602
2015-05-11,14581.571070138798,1.0297916983950761
2015-05-12,14037.803977900601,1.0267111501209851
2015-05-13,14134.23654064944,1.0269064087709792
2015-05-14,14310.874751764797,1.037614690912822
2015-05-15,14023.643383991557,1.038739513480381
2015-05-18,14114.959217670545,1.0419667972397226
2015-05-19,13923.650276392837,1.0416241752631596
2015-05-20,14085.162032137901,1.0408911256782256
