group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2017,222,0.6757,76.35,47.57,16949.67,10.0,15.0,3.373
entry_year,2016,69,0.5652,55.44,3.59,3825.59,10.0,15.0,6.07
entry_year,2018,39,0.3077,-129.14,-131.18,-5036.3,10.0,15.0,0.271
exit_reason,time_exit,330,0.6091,47.69,24.89,15738.96,10.0,15.0,2.063
sector,XLK,321,0.6137,45.83,25.21,14711.21,10.0,15.0,2.01
sector,XLY,9,0.4444,114.19,-10.3,1027.75,10.0,15.0,5.205
signal,LONG,330,0.6091,47.69,24.89,15738.96,10.0,15.0,2.063
signal_quality,HIGH,330,0.6091,47.69,24.89,15738.96,10.0,15.0,2.063
ticker,NVDA,51,0.7451,144.06,95.09,7347.16,10.0,15.0,5.002
ticker,MSFT,149,0.6242,26.21,14.88,3905.66,10.0,15.0,2.681
ticker,AMD,58,0.6034,32.1,52.06,1861.87,10.0,15.0,1.258
ticker,AMZN,9,0.4444,114.19,-10.3,1027.75,10.0,15.0,5.205
ticker,META,19,0.4737,43.12,-2.63,819.28,10.0,15.0,3.833
ticker,GOOGL,16,0.5,48.27,10.19,772.35,10.0,15.0,2.86
ticker,MU,28,0.5,0.17,20.56,4.89,10.0,15.0,1.002
