horizon_days,exit_code,metrics_path,error_tail
10,2,,"usage: backtest.py [-h] [--ticker TICKER] [--tickers [TICKERS ...]]
                   [--mode {long_short,long_only,long_only_bear_cash}]
                   [--allow-shorts] [--approved-only]
                   [--no-eligibility-filter] [--use-trade-rules]
                   [--ignore-trade-rules] [--stress STRESS]
backtest.py: error: unrecognized arguments: --no-eligiility-filter
"
15,2,,"usage: backtest.py [-h] [--ticker TICKER] [--tickers [TICKERS ...]]
                   [--mode {long_short,long_only,long_only_bear_cash}]
                   [--allow-shorts] [--approved-only]
                   [--no-eligibility-filter] [--use-trade-rules]
                   [--ignore-trade-rules] [--stress STRESS]
backtest.py: error: unrecognized arguments: --no-eligiility-filter
"
20,2,,"usage: backtest.py [-h] [--ticker TICKER] [--tickers [TICKERS ...]]
                   [--mode {long_short,long_only,long_only_bear_cash}]
                   [--allow-shorts] [--approved-only]
                   [--no-eligibility-filter] [--use-trade-rules]
                   [--ignore-trade-rules] [--stress STRESS]
backtest.py: error: unrecognized arguments: --no-eligiility-filter
"
