group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2025,189,0.4603,16.25,-27.26,3071.3,2.9,19.69,1.746
entry_year,2017,253,0.5652,7.31,13.58,1848.34,2.68,20.0,1.911
entry_year,2024,209,0.4498,8.76,-21.57,1831.77,2.67,19.94,1.454
entry_year,2023,172,0.4244,6.02,-22.6,1034.75,3.22,20.0,1.341
entry_year,2019,206,0.4612,4.82,-18.27,993.17,3.1,19.99,1.308
entry_year,2021,190,0.4,3.5,-22.56,665.57,3.17,19.95,1.184
entry_year,2018,196,0.4439,2.31,-20.06,452.26,2.49,19.97,1.132
entry_year,2016,185,0.427,2.18,-14.03,403.21,3.04,19.98,1.19
entry_year,2020,77,0.4545,3.08,-21.57,236.91,2.74,20.0,1.166
entry_year,2015,175,0.4,0.47,-16.88,82.96,3.06,19.94,1.035
entry_year,2026,33,0.303,-9.99,-39.91,-329.57,2.64,19.64,0.723
entry_year,2022,121,0.2893,-8.43,-31.27,-1020.22,2.77,19.92,0.694
exit_reason,time_exit,2006,0.4407,4.62,-16.68,9270.45,2.89,19.94,1.273
sector,XLK,894,0.4586,8.32,-18.08,7435.23,2.84,19.87,1.433
sector,XLV,239,0.4351,5.87,-16.15,1403.54,3.4,19.96,1.363
sector,XLF,639,0.4319,1.15,-15.83,734.25,2.82,20.0,1.081
sector,XLY,234,0.4017,-1.29,-17.16,-302.57,2.75,20.0,0.922
signal,LONG,2006,0.4407,4.62,-16.68,9270.45,2.89,19.94,1.273
signal_quality,HIGH,645,0.4419,6.04,-18.04,3893.56,3.06,19.93,1.336
signal_quality,MEDIUM,547,0.4516,5.32,-15.27,2909.3,2.87,19.93,1.324
signal_quality,LOW,814,0.4324,3.03,-16.75,2467.59,2.78,19.95,1.184
ticker,MU,182,0.467,17.51,-28.34,3186.55,3.03,19.42,1.644
ticker,META,225,0.4756,9.63,-16.8,2167.64,2.63,19.97,1.529
ticker,UNH,239,0.4351,5.87,-16.15,1403.54,3.4,19.96,1.363
ticker,MSFT,254,0.4685,4.82,-17.55,1224.3,2.82,20.0,1.32
ticker,MA,211,0.4882,5.41,-13.67,1141.74,2.96,20.0,1.398
ticker,GOOGL,233,0.4249,3.68,-18.55,856.74,2.92,20.0,1.2
ticker,BRK-B,229,0.4148,0.22,-14.72,50.08,2.77,20.0,1.017
ticker,HD,234,0.4017,-1.29,-17.16,-302.57,2.75,20.0,0.922
ticker,V,199,0.392,-2.3,-18.33,-457.57,2.73,20.0,0.859
