core_preset,tqqq_weight,overlay_gross,score_source,shape,max_per_sector,earnings_blackout_days,holding_days,drawdown_circuit_breaker,cost_stress,total_return_pct,cagr_pct,sharpe,max_drawdown_pct,holdout_return_pct,holdout_alpha_vs_qqq_pct,holdout_alpha_vs_blend_pct,turnover_pct,alpha_vs_spy_pct,alpha_vs_qqq_pct,alpha_vs_blend_pct,tqqq_stress_row_gate_pass,stress_cost_levels,stress_has_required_costs,stress_all_gates_pass,stress_min_alpha_vs_spy_pct,stress_min_alpha_vs_qqq_pct,stress_min_alpha_vs_blend_pct,stress_min_holdout_alpha_vs_qqq_pct,stress_min_holdout_alpha_vs_blend_pct,robust_cost_stress_pass,robustness_score,drawdown_penalty,turnover_penalty,instability_penalty,paper_ready
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,1,5,20,0.0,2.0,1014.27,15.89,1.092,-27.07,118.85,-17.47,7.81,6161.85,278.8,-502.52,-33.73,True,"2.0,3.0,5.0",True,True,92.5,-688.82,-220.03,-22.93,2.35,False,0.9511,0.0828,0.0581,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,1,5,20,0.0,3.0,948.37,15.46,1.066,-27.3,117.02,-19.3,5.98,6161.85,212.9,-568.42,-99.63,True,"2.0,3.0,5.0",True,True,92.5,-688.82,-220.03,-22.93,2.35,False,0.9159,0.092,0.0581,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,1,5,20,0.0,5.0,827.97,14.6,1.014,-27.86,113.39,-22.93,2.35,6161.85,92.5,-688.82,-220.03,True,"2.0,3.0,5.0",True,True,92.5,-688.82,-220.03,-22.93,2.35,False,0.8415,0.1144,0.0581,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,10,0.0,2.0,1040.96,16.1,1.065,-28.76,112.14,-39.97,-9.85,11171.46,278.21,-583.85,-66.61,True,"2.0,3.0,5.0",True,True,-45.47,-907.54,-390.3,-49.22,-19.1,False,0.606,0.1504,0.3086,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,10,0.0,3.0,920.91,15.31,1.02,-29.17,109.01,-43.1,-12.98,11171.46,158.16,-703.9,-186.67,True,"2.0,3.0,5.0",True,True,-45.47,-907.54,-390.3,-49.22,-19.1,False,0.5446,0.1668,0.3086,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,10,0.0,5.0,717.28,13.75,0.929,-29.99,102.9,-49.22,-19.1,11171.46,-45.47,-907.54,-390.3,True,"2.0,3.0,5.0",True,True,-45.47,-907.54,-390.3,-49.22,-19.1,False,0.4208,0.1996,0.3086,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,20,0.0,2.0,1041.78,16.06,1.101,-26.55,108.43,-27.9,-2.62,6021.76,306.31,-475.02,-6.22,True,"2.0,3.0,5.0",True,True,119.3,-662.02,-193.23,-32.92,-7.63,False,0.9879,0.062,0.0511,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,20,0.0,3.0,975.71,15.64,1.075,-26.77,106.74,-29.58,-4.3,6021.76,240.24,-541.08,-72.29,True,"2.0,3.0,5.0",True,True,119.3,-662.02,-193.23,-32.92,-7.63,False,0.9531,0.0708,0.0511,0.0,False
tqqq_enhanced,0.0,0.25,factor_walkforward,top5,2,5,20,0.0,5.0,854.77,14.8,1.025,-27.21,103.41,-32.92,-7.63,6021.76,119.3,-662.02,-193.23,True,"2.0,3.0,5.0",True,True,119.3,-662.02,-193.23,-32.92,-7.63,False,0.8855,0.0884,0.0511,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,10,0.0,2.0,1590.37,18.93,1.22,-24.54,134.01,-18.1,12.02,4862.0,827.62,-34.44,482.79,True,"2.0,3.0,5.0",True,True,599.39,-262.67,254.56,-24.69,5.43,False,1.22,0.0,0.0,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,10,0.0,3.0,1510.61,18.58,1.2,-24.58,131.8,-20.32,9.8,4862.0,747.86,-114.2,403.04,True,"2.0,3.0,5.0",True,True,599.39,-262.67,254.56,-24.69,5.43,False,1.2,0.0,0.0,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,10,0.0,5.0,1362.14,17.88,1.161,-24.68,127.42,-24.69,5.43,4862.0,599.39,-262.67,254.56,True,"2.0,3.0,5.0",True,True,599.39,-262.67,254.56,-24.69,5.43,False,1.161,0.0,0.0,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,20,0.0,2.0,1689.8,19.3,1.233,-20.02,124.35,-11.97,13.31,3244.94,954.33,173.01,641.8,True,"2.0,3.0,5.0",True,True,790.67,9.35,478.14,-16.13,9.15,False,1.233,0.0,0.0,0.0,False
tqqq_enhanced,0.0,0.25,regime_adaptive,top3,1,5,20,0.0,3.0,1633.52,19.06,1.22,-20.13,122.96,-13.36,11.92,3244.94,898.04,116.72,585.51,True,"2.0,3.0,5.0",True,True,790.67,9.35,478.14,-16.13,9.15,False,1.22,0.0,0.0,0.0,False
