ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
GOOGL,129,0.5271,10.8709,17.55,1402.35,129,0
HD,152,0.5066,7.5497,13.885,1147.55,152,0
AMD,80,0.4125,8.7137,-38.555,697.1,80,0
UNH,155,0.4258,4.2065,-16.12,652.0,155,0
MU,108,0.4167,5.8502,-37.69,631.82,108,0
CAT,122,0.459,5.165,-21.13,630.13,122,0
BRK-B,181,0.4696,2.4964,-14.21,451.84,181,0
AMZN,143,0.4196,2.7069,-20.99,387.09,143,0
NVDA,81,0.4568,2.5164,-32.72,203.83,81,0
V,147,0.4354,0.6214,-18.22,91.34,147,0
MSFT,145,0.3862,0.6036,-20.65,87.52,145,0
META,124,0.3952,-0.325,-22.605,-40.3,124,0
MA,134,0.3955,-0.4337,-19.39,-58.12,134,0
LLY,130,0.4077,-0.829,-19.89,-107.77,130,0
PG,180,0.4,-1.0839,-16.91,-195.11,180,0
