date,equity
2010-01-04,10000.0
2010-01-11,10000.0
2010-01-18,10024.7309858503
2010-01-26,10064.966023686777
2010-02-02,9875.31903562923
2010-02-09,9830.524371856101
2010-02-16,9790.136105481435
2010-02-24,9796.740862778872
2010-03-03,9777.661442219858
2010-03-10,9840.068043752766
2010-03-17,9817.95439551896
2010-03-24,9794.816487118955
2010-03-31,9820.811439306564
2010-04-07,9839.74532106951
2010-04-15,9924.281510041343
2010-04-22,9854.625973481603
2010-04-29,9884.0097732641
2010-05-06,9894.641574821035
2010-05-13,9876.48553733843
2010-05-20,9883.181061913647
2010-05-27,10035.697153388452
2010-06-03,10018.032267699415
2010-06-11,9971.371339804968
2010-06-18,9879.697931586103
2010-06-25,9878.963231854925
2010-07-02,9764.900926242326
2010-07-09,9811.501371980421
2010-07-19,9715.582008529616
2010-07-26,9668.691112413024
2010-08-02,9600.191600450486
2010-08-09,9651.049144017019
2010-08-16,9618.607854799455
2010-08-23,9517.282268478302
2010-08-30,9542.315543693292
2010-09-06,9520.576899828848
2010-09-14,9435.636416385854
2010-09-21,9387.069602146334
2010-09-28,9388.46476990005
2010-10-05,9382.529823822511
2010-10-12,9382.766269380398
2010-10-19,9407.412328430557
2010-10-26,9442.71186552377
2010-11-02,9448.100628738344
2010-11-09,9442.742959707464
2010-11-16,9434.912377689998
2010-11-23,9475.813656793445
2010-11-30,9457.801614195276
2010-12-08,9591.768847823232
2010-12-15,9592.7895652487
2010-12-22,9480.36119772638
2010-12-29,9492.803223543231
2011-01-06,9486.918363949602
2011-01-13,9531.727187396948
2011-01-20,9449.728771769142
2011-01-28,9376.899320238179
2011-02-04,9435.616475517943
2011-02-11,9428.105184972526
2011-02-18,9462.412309640702
2011-02-25,9445.162513764368
2011-03-07,9431.101862464526
2011-03-14,9368.341186303669
2011-03-21,9470.258899747243
2011-03-28,9472.019655248629
2011-04-04,9381.083971692658
2011-04-11,9372.249535495386
2011-04-18,9254.907827408366
2011-04-25,9241.64867813541
2011-05-03,9217.855011698448
2011-05-10,9279.760640450348
2011-05-17,9215.498953732911
2011-05-24,9303.660029895347
2011-05-31,9305.60870704259
2011-06-08,9277.478862111126
2011-06-15,9260.008474869515
2011-06-22,9267.994572637921
2011-06-29,9344.054622687649
2011-07-06,9395.22469049974
2011-07-14,9322.699870453029
2011-07-21,9292.488069176597
2011-07-28,9239.65125288971
2011-08-04,9233.394300244723
2011-08-11,9121.865238734179
2011-08-18,9045.379590029872
2011-08-25,9063.30761804
2011-09-01,9129.916398761641
2011-09-08,9185.15770605761
2011-09-16,9192.532570165626
2011-09-23,9067.572173938961
2011-09-30,9013.915892627792
2011-10-07,9033.89300806991
2011-10-14,9052.603793282
2011-10-21,8922.966230004477
2011-10-28,8856.697271644658
2011-11-04,8892.747169900871
2011-11-11,8809.478752517552
2011-11-18,8803.890791857968
2011-11-25,8763.559658895914
2011-12-05,8772.289712541442
2011-12-12,8781.524055817288
2011-12-19,8700.088934496966
2011-12-26,8739.329877007116
2012-01-03,8730.233114976694
2012-01-11,8870.050546909457
2012-01-18,8921.711178690039
2012-01-26,8912.078828904061
2012-02-02,8897.422849850203
2012-02-09,8905.308278507913
2012-02-16,8871.338827488551
2012-02-23,8800.7320609251
2012-03-02,8809.936199533195
2012-03-09,8788.039533340945
2012-03-16,8873.488553698156
2012-03-23,8846.016199871037
2012-03-30,8834.7098038477
2012-04-06,8833.491475980687
2012-04-16,8787.138778734074
2012-04-23,8703.469318926676
2012-04-30,8786.310477765457
2012-05-07,8756.657578607897
2012-05-14,8685.125854538552
2012-05-21,8583.910398457698
2012-05-28,8611.102612411583
2012-06-05,8585.185517482023
2012-06-12,8536.543287207292
2012-06-19,8505.801201338127
2012-06-26,8443.694932139688
2012-07-03,8533.96460489672
2012-07-10,8520.62316968902
2012-07-18,8509.368380083393
2012-07-25,8489.070146576067
2012-08-01,8489.96941975689
2012-08-08,8549.613842953711
2012-08-15,8595.95277743872
