run_id,generated_at,signal_as_of,ticker,action,current_quantity,planned_target_quantity,suggested_quantity,quantity_basis,target_weight,broker_weight,weight_gap,target_value,broker_value,corrective_value,reference_price,review_status,reason
github-34864665751,2026-09-14T15:53:44+00:00,2026-09-14T23:53+08:00,FCX,buy,0.0,40.0,,fresh_quote_required,0.025514,0.0,0.025514,2740.43,0.0,2740.43,,manual_review_required_not_submitted,max_weight_gap_0.174486_above_0.020000;gross_exposure_gap_0.225568_above_0.050000
github-34864665751,2026-09-14T15:53:44+00:00,2026-09-14T23:53+08:00,INTC,buy,197.0,219.0,22.0,current_order_plan,0.2,0.179569,0.020431,21481.8,19287.28,2194.52,97.904975,manual_review_required_not_submitted,max_weight_gap_0.174486_above_0.020000;gross_exposure_gap_0.225568_above_0.050000
github-34864665751,2026-09-14T15:53:44+00:00,2026-09-14T23:53+08:00,MU,buy,0.0,20.0,,fresh_quote_required,0.174486,0.0,0.174486,18741.37,0.0,18741.37,,manual_review_required_not_submitted,max_weight_gap_0.174486_above_0.020000;gross_exposure_gap_0.225568_above_0.050000
github-34864665751,2026-09-14T15:53:44+00:00,2026-09-14T23:53+08:00,QQQ,buy,90.0,,0.777136,saved_broker_snapshot_estimate,0.6,0.594863,0.005137,64445.41,63893.7,551.71,709.93,manual_review_required_not_submitted,max_weight_gap_0.174486_above_0.020000;gross_exposure_gap_0.225568_above_0.050000
