ticker,confidence_threshold,min_expected_return,allowed_qualities,exit_horizon_days,stop_loss_pct,take_profit_pct,max_position_pct,allow_shorts,avoid_bear_regime,optimized_at,optimization_score,score,trades,win_rate,total_pnl,avg_pnl,profit_factor,sharpe,max_drawdown_pct,approved_candidate
AAPL,58.0,0.0,['MEDIUM'],10,0.08,0.12,0.15,False,False,,,279.8394,112,0.6964,2632.78,23.507,2.2473,1.5931,-9.95,True
AAPL,62.5,0.0,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,276.8904,39,0.8205,346.31,8.8797,3.0834,2.3251,-1.3,True
AAPL,62.5,0.5,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,276.8904,39,0.8205,346.31,8.8797,3.0834,2.3251,-1.3,True
AAPL,52.0,0.0,['MEDIUM'],10,0.04,0.12,0.15,False,False,,,274.4226,188,0.6436,3475.95,18.4891,1.8356,1.2631,-12.97,True
AAPL,62.5,0.5,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,272.3597,39,0.8205,332.21,8.5182,3.0011,2.2896,-1.3,True
AAPL,62.5,0.0,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,272.3597,39,0.8205,332.21,8.5182,3.0011,2.2896,-1.3,True
AAPL,52.0,0.75,['MEDIUM'],10,0.08,0.12,0.15,False,False,,,267.5841,97,0.6804,2261.01,23.3094,2.3006,1.6167,-9.64,True
AAPL,58.0,0.5,['MEDIUM'],10,0.08,0.06,0.15,False,False,,,258.1177,112,0.6964,2263.64,20.2111,2.0753,1.5187,-8.61,True
AAPL,58.0,0.0,['MEDIUM'],10,0.08,0.06,0.15,False,False,,,258.1177,112,0.6964,2263.64,20.2111,2.0753,1.5187,-8.61,True
AAPL,52.0,0.75,['MEDIUM'],10,0.08,0.06,0.15,False,False,,,253.3263,97,0.6804,1993.53,20.5519,2.1385,1.5758,-8.29,True
AAPL,52.0,0.5,"['MEDIUM', 'HIGH']",10,0.08,0.12,0.15,False,False,,,251.839,450,0.6089,5273.73,11.7194,1.3296,0.5838,-36.32,False
AAPL,52.0,0.0,['MEDIUM'],10,0.08,0.06,0.05,False,False,,,248.5259,188,0.7128,1360.63,7.2374,2.2655,1.7145,-2.94,True
AAPL,52.0,0.0,"['MEDIUM', 'HIGH']",10,0.04,0.06,0.15,False,False,,,242.5063,625,0.5472,5141.5,8.2264,1.2523,0.5088,-31.24,False
AAPL,52.0,0.0,['MEDIUM'],10,0.08,0.12,0.05,False,False,,,239.4515,188,0.7021,1410.99,7.5053,2.2583,1.6109,-3.41,True
AAPL,62.5,0.75,['MEDIUM'],10,0.08,0.12,0.15,False,False,,,234.5619,33,0.7879,750.03,22.7282,2.4343,1.805,-3.87,True
AAPL,62.5,0.75,"['MEDIUM', 'HIGH']",5,0.04,0.12,0.15,False,False,,,233.023,161,0.6335,1842.49,11.444,1.6653,1.5266,-14.33,True
