group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,GE,5,0.6,-0.01,2.32,-0.04,3.2,20.0,0.999
ticker,LLY,5,0.4,-0.22,-22.48,-1.09,1.6,20.0,0.986
ticker,CCI,32,0.625,-0.06,11.29,-1.98,2.69,20.0,0.995
ticker,USB,2,0.5,-1.19,-1.19,-2.39,4.0,20.0,0.841
ticker,NEE,6,0.6667,-0.4,7.61,-2.42,2.67,20.0,0.964
ticker,WFC,5,0.6,-0.71,4.23,-3.56,3.2,20.0,0.91
ticker,KMB,12,0.4167,-0.31,-5.54,-3.76,3.5,20.0,0.967
ticker,CL,38,0.6053,-0.15,6.27,-5.8,3.37,20.0,0.978
ticker,ISRG,7,0.5714,-0.94,8.27,-6.59,3.57,20.0,0.958
ticker,SYK,13,0.5385,-0.69,3.59,-8.92,3.38,20.0,0.933
ticker,MMM,7,0.5714,-1.39,6.89,-9.7,4.57,20.0,0.869
ticker,EMR,4,0.5,-2.95,5.03,-11.8,2.25,20.0,0.69
ticker,DHR,2,0.0,-7.04,-7.04,-14.08,5.0,8.0,0.0
ticker,PSA,36,0.5278,-0.41,11.87,-14.64,2.83,20.0,0.962
ticker,DE,6,0.5,-2.51,-2.07,-15.05,4.0,20.0,0.719
ticker,LIN,13,0.6154,-1.25,7.96,-16.26,3.77,20.0,0.886
ticker,SLB,7,0.5714,-2.35,21.32,-16.43,2.86,20.0,0.877
ticker,AXP,3,0.3333,-5.95,-21.77,-17.86,2.0,20.0,0.629
ticker,OMC,23,0.5652,-0.78,3.51,-17.93,3.26,19.87,0.937
ticker,AVB,6,0.3333,-3.07,-9.81,-18.41,3.83,20.0,0.729
ticker,ABBV,25,0.6,-0.77,8.72,-19.34,3.04,20.0,0.925
ticker,MSFT,30,0.6,-0.7,7.71,-21.03,3.07,19.99,0.941
ticker,UPS,33,0.5152,-0.65,9.43,-21.36,2.97,19.99,0.945
ticker,EBAY,7,0.4286,-3.49,-24.8,-24.4,3.57,20.0,0.777
ticker,SHW,32,0.5625,-0.79,12.58,-25.16,2.91,20.0,0.929
ticker,JNJ,7,0.5714,-3.89,1.96,-27.21,2.29,20.0,0.64
ticker,APD,8,0.5,-3.48,-4.94,-27.8,4.38,20.0,0.564
ticker,NKE,2,0.5,-14.51,-14.51,-29.01,1.5,20.0,0.394
ticker,DIS,7,0.4286,-4.17,-15.51,-29.21,3.0,20.0,0.673
ticker,WMB,15,0.6,-1.99,10.76,-29.84,3.53,17.58,0.857
ticker,WELL,1,0.0,-30.54,-30.54,-30.54,3.0,20.0,0.0
ticker,EXC,33,0.5455,-0.93,9.22,-30.63,3.15,20.0,0.901
ticker,PG,17,0.5294,-1.82,7.45,-30.87,2.65,20.0,0.818
ticker,META,12,0.4167,-2.57,-12.21,-30.89,4.0,20.0,0.813
ticker,GM,9,0.4444,-3.46,-23.24,-31.1,2.67,20.0,0.786
ticker,OXY,1,0.0,-31.62,-31.62,-31.62,1.0,20.0,0.0
ticker,LOW,1,0.0,-34.15,-34.15,-34.15,5.0,20.0,0.0
ticker,TRV,12,0.5833,-2.86,2.58,-34.33,3.25,20.0,0.779
ticker,COF,2,0.0,-18.86,-18.86,-37.73,4.0,20.0,0.0
ticker,BAC,5,0.4,-7.71,-25.36,-38.54,2.2,18.89,0.644
ticker,XOM,5,0.6,-7.72,3.03,-38.6,4.2,20.0,0.459
ticker,IFF,10,0.5,-4.01,6.35,-40.1,3.7,20.0,0.715
ticker,MPC,3,0.3333,-13.77,-22.65,-41.32,5.0,19.46,0.278
ticker,PM,5,0.4,-8.81,-19.54,-44.05,2.6,20.0,0.492
ticker,HON,5,0.6,-8.86,12.28,-44.3,2.6,20.0,0.532
ticker,NOC,5,0.2,-9.01,-17.03,-45.05,3.6,20.0,0.445
ticker,D,9,0.3333,-5.68,-2.71,-51.12,3.78,20.0,0.52
ticker,AMAT,28,0.5,-1.94,-0.03,-54.44,3.29,19.32,0.911
ticker,MRK,8,0.375,-7.24,-19.05,-57.95,2.62,20.0,0.509
ticker,MU,3,0.3333,-19.44,-45.51,-58.32,2.0,20.0,0.535
ticker,MCD,11,0.4545,-5.41,-13.12,-59.54,3.0,20.0,0.59
ticker,PSX,4,0.25,-15.13,-14.25,-60.53,3.75,20.0,0.285
ticker,MO,3,0.3333,-20.52,-36.51,-61.56,2.67,20.0,0.221
ticker,EOG,7,0.4286,-8.97,-37.67,-62.78,3.86,19.51,0.694
ticker,TSLA,12,0.5,-5.27,-0.27,-63.18,3.75,18.54,0.796
