group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,PEG,9,0.4444,-1.06,-11.3,-9.58,2.67,20.0,0.915
ticker,BA,3,0.3333,-3.62,-16.64,-10.86,4.0,20.0,0.732
ticker,EMR,4,0.5,-2.9,4.9,-11.59,2.25,20.0,0.698
ticker,EBAY,4,0.5,-3.06,-1.12,-12.23,3.25,20.0,0.794
ticker,PM,6,0.5,-2.1,-2.03,-12.63,4.0,20.0,0.83
ticker,AAPL,3,0.3333,-4.83,-23.76,-14.48,4.33,20.0,0.695
ticker,TMO,5,0.4,-3.11,-0.33,-15.53,3.4,20.0,0.733
ticker,MPC,5,0.6,-3.32,16.4,-16.59,3.2,18.44,0.836
ticker,IFF,8,0.5,-2.49,6.45,-19.95,3.75,20.0,0.81
ticker,CMCSA,7,0.5714,-3.2,3.72,-22.42,4.0,20.0,0.685
ticker,WFC,5,0.6,-4.66,4.25,-23.29,2.6,20.0,0.667
ticker,INTC,2,0.5,-11.67,-11.67,-23.35,3.0,20.0,0.623
ticker,SO,1,0.0,-25.18,-25.18,-25.18,1.0,20.0,0.0
ticker,CSCO,4,0.25,-6.33,-3.19,-25.33,4.0,20.0,0.332
ticker,IBM,5,0.4,-5.1,-5.81,-25.51,3.8,20.0,0.606
ticker,CVS,2,0.5,-13.16,-13.16,-26.32,3.5,20.0,0.194
ticker,GILD,6,0.5,-4.42,-1.81,-26.5,2.0,20.0,0.776
ticker,BLK,4,0.5,-6.65,-10.77,-26.59,3.5,20.0,0.603
ticker,T,4,0.5,-6.88,-8.12,-27.51,3.75,20.0,0.406
ticker,DE,7,0.4286,-3.96,-5.81,-27.71,3.86,20.0,0.53
ticker,COF,2,0.5,-13.9,-13.9,-27.79,4.0,20.0,0.266
ticker,AMZN,4,0.5,-7.53,0.74,-30.13,4.0,20.0,0.601
ticker,COST,6,0.6667,-5.11,9.96,-30.64,3.33,20.0,0.631
ticker,QCOM,12,0.5833,-2.73,7.61,-32.79,3.33,19.9,0.798
ticker,PEP,6,0.5,-5.49,4.25,-32.95,3.5,20.0,0.58
ticker,LIN,7,0.4286,-4.76,-7.82,-33.29,2.71,20.0,0.618
ticker,DUK,3,0.3333,-11.14,-8.62,-33.41,4.0,20.0,0.064
ticker,LOW,2,0.0,-17.1,-17.1,-34.2,5.0,20.0,0.0
ticker,HSY,13,0.3846,-2.68,-4.17,-34.8,4.38,20.0,0.694
ticker,XEL,30,0.5333,-1.2,1.21,-36.04,3.17,20.0,0.881
ticker,WELL,2,0.5,-18.62,-18.62,-37.23,4.0,20.0,0.456
ticker,DIS,6,0.3333,-6.42,-15.04,-38.49,3.33,20.0,0.533
ticker,ABBV,6,0.3333,-6.68,-19.11,-40.08,3.67,20.0,0.59
ticker,WMB,36,0.5556,-1.12,9.0,-40.41,3.19,19.44,0.896
