ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
BKNG,38,0.6053,9.1855,26.74,349.05,38,0
DOW,6,0.8333,26.8217,26.73,160.93,6,0
TJX,21,0.7619,7.4862,15.09,157.21,21,0
NEM,3,1.0,50.9067,45.01,152.72,3,0
SCHW,14,0.7143,9.985,19.75,139.79,14,0
CSX,21,0.619,5.7948,18.59,121.69,21,0
EQIX,18,0.6667,6.3189,8.215,113.74,18,0
MSFT,5,0.8,20.156,20.16,100.78,5,0
XEL,59,0.5593,1.4856,7.21,87.65,59,0
CMCSA,11,0.7273,7.8982,8.73,86.88,11,0
MDT,3,1.0,28.15,30.22,84.45,3,0
UNP,4,1.0,19.055,17.635,76.22,4,0
IFF,5,0.8,14.776,23.28,73.88,5,0
WFC,3,1.0,23.57,22.8,70.71,3,0
LMT,3,1.0,23.5,24.51,70.5,3,0
PNC,4,1.0,16.6225,17.985,66.49,4,0
SPGI,3,1.0,20.9167,17.41,62.75,3,0
KMI,19,0.5789,3.2374,14.04,61.51,19,0
PEG,5,0.6,12.216,15.47,61.08,5,0
SYK,11,0.7273,5.44,11.97,59.84,11,0
PFE,3,1.0,19.9333,19.73,59.8,3,0
AVGO,1,1.0,53.83,53.83,53.83,1,0
ETN,5,0.6,10.552,21.76,52.76,5,0
DE,2,1.0,25.24,25.24,50.48,2,0
CRM,3,0.6667,15.0833,23.93,45.25,3,0
TMO,2,1.0,22.17,22.17,44.34,2,0
SLB,5,0.6,8.844,22.82,44.22,5,0
GM,6,0.6667,7.3667,23.59,44.2,6,0
HD,3,0.6667,14.0433,11.03,42.13,3,0
LYV,14,0.6429,2.9714,17.685,41.6,14,0
NOW,2,0.5,20.525,20.525,41.05,2,0
CL,10,0.6,3.988,12.72,39.88,10,0
SPG,3,1.0,12.8833,8.67,38.65,3,0
HON,1,1.0,38.08,38.08,38.08,1,0
UNH,8,0.5,4.4962,3.565,35.97,8,0
TRV,8,0.5,3.9625,11.18,31.7,8,0
FCX,3,0.6667,10.2567,42.71,30.77,3,0
EQR,2,1.0,15.15,15.15,30.3,2,0
VZ,27,0.5926,0.9819,12.06,26.51,27,0
EXC,1,1.0,26.51,26.51,26.51,1,0
GIS,1,1.0,26.45,26.45,26.45,1,0
JNJ,1,1.0,26.37,26.37,26.37,1,0
AMAT,3,0.6667,8.3167,38.1,24.95,3,0
TMUS,5,0.6,4.642,6.09,23.21,5,0
F,1,1.0,20.55,20.55,20.55,1,0
IBM,5,0.6,4.048,11.1,20.24,5,0
AIG,5,0.6,3.762,10.27,18.81,5,0
C,1,1.0,18.36,18.36,18.36,1,0
META,3,0.3333,5.9833,-5.07,17.95,3,0
AVB,2,1.0,7.875,7.875,15.75,2,0
SHW,3,0.6667,4.9433,6.79,14.83,3,0
FDX,5,0.6,2.512,16.97,12.56,5,0
ORCL,2,0.5,3.36,3.36,6.72,2,0
MRK,3,0.6667,2.0067,10.03,6.02,3,0
EBAY,18,0.5556,0.2361,11.49,4.25,18,0
COST,2,0.5,0.815,0.815,1.63,2,0
AEP,1,0.0,-0.03,-0.03,-0.03,1,0
T,18,0.6111,-0.0539,7.46,-0.97,18,0
PG,11,0.4545,-0.2855,-1.86,-3.14,11,0
HSY,2,0.5,-1.845,-1.845,-3.69,2,0
CVS,4,0.5,-0.9675,2.835,-3.87,4,0
MCD,2,0.5,-2.39,-2.39,-4.78,2,0
GE,11,0.6364,-0.5491,9.52,-6.04,11,0
LLY,2,0.5,-3.68,-3.68,-7.36,2,0
WMT,4,0.25,-2.26,-7.94,-9.04,4,0
PM,2,0.5,-4.625,-4.625,-9.25,2,0
ROST,3,0.3333,-3.6867,-4.0,-11.06,3,0
NEE,2,0.5,-5.61,-5.61,-11.22,2,0
BAC,8,0.5,-1.5775,-1.265,-12.62,8,0
KMB,3,0.3333,-4.2767,-17.0,-12.83,3,0
CAT,1,0.0,-12.89,-12.89,-12.89,1,0
ISRG,1,0.0,-13.1,-13.1,-13.1,1,0
MO,16,0.625,-1.0406,7.33,-16.65,16,0
WELL,2,0.5,-10.82,-10.82,-21.64,2,0
LIN,9,0.5556,-2.4344,14.26,-21.91,9,0
MS,6,0.3333,-3.7833,-11.94,-22.7,6,0
PEP,1,0.0,-24.76,-24.76,-24.76,1,0
VLO,4,0.25,-6.2775,-20.35,-25.11,4,0
TSLA,2,0.5,-13.935,-13.935,-27.87,2,0
DUK,1,0.0,-28.59,-28.59,-28.59,1,0
BLK,1,0.0,-29.26,-29.26,-29.26,1,0
ECL,1,0.0,-30.14,-30.14,-30.14,1,0
MMM,3,0.3333,-11.9767,-11.26,-35.93,3,0
PLD,4,0.5,-9.075,-7.275,-36.3,4,0
ADBE,12,0.5,-3.0925,3.89,-37.11,12,0
RTX,1,0.0,-38.68,-38.68,-38.68,1,0
PSA,2,0.0,-19.365,-19.365,-38.73,2,0
AXP,7,0.4286,-5.74,-19.17,-40.18,7,0
AMT,3,0.3333,-14.18,-29.53,-42.54,3,0
COF,11,0.4545,-3.9782,-0.72,-43.76,11,0
ED,2,0.0,-22.75,-22.75,-45.5,2,0
AMD,3,0.3333,-15.2567,-52.2,-45.77,3,0
ABBV,4,0.5,-11.465,0.475,-45.86,4,0
COP,3,0.3333,-15.4033,-51.38,-46.21,3,0
GILD,14,0.5,-3.3136,3.465,-46.39,14,0
NKE,4,0.5,-12.1775,-13.06,-48.71,4,0
SYY,8,0.5,-6.2188,-2.3,-49.75,8,0
NOC,7,0.4286,-7.3571,-18.08,-51.5,7,0
O,2,0.0,-27.705,-27.705,-55.41,2,0
APD,2,0.0,-28.13,-28.13,-56.26,2,0
ABT,2,0.0,-29.52,-29.52,-59.04,2,0
JPM,2,0.0,-29.705,-29.705,-59.41,2,0
KO,24,0.5833,-2.5029,5.56,-60.07,24,0
INTC,1,0.0,-60.42,-60.42,-60.42,1,0
OMC,5,0.4,-12.594,-21.48,-62.97,5,0
TXN,1,0.0,-67.08,-67.08,-67.08,1,0
AMGN,4,0.25,-16.83,-21.05,-67.32,4,0
OXY,4,0.25,-17.095,-24.81,-68.38,4,0
DIS,4,0.25,-18.1025,-27.655,-72.41,4,0
V,4,0.0,-18.4175,-21.515,-73.67,4,0
WMB,1,0.0,-74.23,-74.23,-74.23,1,0
CHTR,3,0.3333,-25.2233,-51.21,-75.67,3,0
MU,1,0.0,-78.97,-78.97,-78.97,1,0
EOG,2,0.0,-39.73,-39.73,-79.46,2,0
SRE,3,0.0,-27.0233,-32.01,-81.07,3,0
DD,2,0.0,-40.575,-40.575,-81.15,2,0
UPS,6,0.3333,-13.53,-21.305,-81.18,6,0
BRK-B,3,0.3333,-27.3333,-49.72,-82.0,3,0
PH,2,0.0,-41.575,-41.575,-83.15,2,0
CCI,33,0.5455,-2.5773,8.09,-85.05,33,0
BA,5,0.4,-17.66,-41.58,-88.3,5,0
BSX,3,0.0,-30.2033,-31.08,-90.61,3,0
MAR,3,0.0,-30.3367,-28.37,-91.01,3,0
BMY,2,0.0,-48.96,-48.96,-97.92,2,0
USB,4,0.0,-24.6975,-26.58,-98.79,4,0
CI,4,0.25,-25.36,-41.17,-101.44,4,0
MA,5,0.2,-20.636,-22.95,-103.18,5,0
D,5,0.2,-21.458,-31.16,-107.29,5,0
QCOM,7,0.4286,-15.8014,-0.38,-110.61,7,0
AMZN,2,0.0,-68.2,-68.2,-136.4,2,0
NUE,7,0.1429,-21.1343,-20.95,-147.94,7,0
CSCO,5,0.0,-31.252,-30.88,-156.26,5,0
SBUX,5,0.0,-31.832,-30.98,-159.16,5,0
PSX,11,0.2727,-14.5064,-9.5,-159.57,11,0
GOOGL,10,0.4,-18.18,-25.69,-181.8,10,0
GS,5,0.0,-38.112,-31.4,-190.56,5,0
MPC,6,0.1667,-41.005,-51.415,-246.03,6,0
NFLX,21,0.4286,-16.7933,-17.8,-352.66,21,0
