group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,RTX,9,0.3333,-12.43,-20.55,-111.91,0.331,-0.533,51.09,0.1811,0.0003,3.11
ticker,COP,7,0.2857,-16.57,-25.41,-115.96,0.398,-0.454,50.61,0.3514,0.0031,3.43
ticker,GS,6,0.1667,-20.83,-31.45,-124.96,0.246,-0.642,50.28,0.2467,-0.0102,4.33
ticker,AVGO,3,0.0,-44.5,-50.36,-133.5,0.0,-2.139,51.11,0.28,0.0323,5.0
ticker,ADBE,11,0.3636,-12.67,-10.05,-139.34,0.533,-0.279,52.09,0.3864,-0.0056,2.82
ticker,O,36,0.4444,-4.0,-4.36,-143.88,0.687,-0.169,50.55,0.2553,0.0051,3.22
ticker,MRK,7,0.1429,-20.8,-23.95,-145.61,0.119,-1.114,50.59,0.2914,0.0033,3.0
ticker,TJX,18,0.4444,-8.15,-9.99,-146.74,0.507,-0.307,51.59,0.2433,0.0003,3.56
ticker,F,8,0.375,-18.49,-37.3,-147.91,0.352,-0.512,50.96,0.1612,0.0024,2.75
ticker,UNP,22,0.4091,-6.76,-15.65,-148.74,0.573,-0.242,51.1,0.2468,-0.0053,3.45
ticker,HON,18,0.4444,-8.29,-10.21,-149.19,0.453,-0.342,50.72,0.2439,-0.013,3.0
ticker,PSX,4,0.0,-39.31,-35.9,-157.22,0.0,-3.52,50.92,0.2825,-0.0221,2.25
ticker,CRM,6,0.1667,-27.5,-27.88,-165.02,0.124,-0.967,51.78,0.3933,0.0084,4.83
ticker,MA,12,0.3333,-14.26,-27.89,-171.13,0.493,-0.321,50.88,0.2692,-0.0083,2.92
ticker,MS,18,0.4444,-10.94,-30.57,-196.87,0.521,-0.316,50.78,0.2628,-0.0033,3.17
ticker,GOOGL,15,0.3333,-13.96,-26.42,-209.39,0.352,-0.466,51.64,0.0747,-0.0045,3.27
ticker,MCD,23,0.3478,-9.95,-23.53,-228.79,0.405,-0.422,50.67,0.1687,-0.0019,3.39
