horizon,target,family,n_features,mean_abs_t,max_abs_t,mean_abs_ic
5,sector_excess,vwap_,1,5.771359600602482,5.771359600602482,0.011842890260004008
5,sector_excess,uptick_,1,5.761237313903159,5.761237313903159,0.009508953746889273
5,sector_excess,ret_,12,5.556631235835357,7.7987229906087725,0.011286432864168874
5,sector_excess,factor_,6,5.503944933275862,10.98601190073787,0.01148421988125056
5,sector_excess,dist_,5,4.975312727567561,8.300631998035175,0.010231858043438602
5,sector_excess,vol_,5,4.413366890407195,5.770304320479133,0.006562501591281258
5,sector_excess,rsi_,3,4.383917549022942,5.365089199072697,0.00794109084681982
5,sector_excess,xs_rank_market_,15,4.071613304526314,10.949348908700863,0.008362710756713288
5,sector_excess,xs_rank_sector_,15,3.7821390604029124,7.08607228719456,0.009404657001416074
5,sector_excess,sector_,5,3.663423865368693,6.662187698613559,0.007781733139546809
5,sector_excess,bb_,2,3.5624478495445926,5.46031506673013,0.006912971388777901
5,sector_excess,volume_,2,3.2325537121745986,3.6286344246373097,0.004613056503887831
5,sector_excess,obv_,1,3.2176795620966088,3.2176795620966088,0.004856835126753146
5,sector_excess,macd_,4,2.824040408477796,5.899295760772819,0.0054979129926728135
5,sector_excess,drawdown_,2,2.7770143176972857,3.9605072192236945,0.0061127676049022904
5,sector_excess,sent_z_,16,2.3240196388769663,4.517583667807021,0.003103892244513209
5,sector_excess,sent_,7,2.268962289237438,4.014126073966888,0.007050164914759777
5,sector_excess,ma_,2,2.10980035865568,3.980644233386927,0.0037326921921186106
5,sector_excess,weekly_,3,1.4570300964509784,2.196991397746543,0.0026246185616443482
5,sector_excess,roc_,2,1.2526834596094152,1.6872301850075342,0.0018799172073497468
5,sector_excess,regime_,2,1.235508660376691,1.5234515664028978,0.005971885128986155
5,sector_excess,headline_,2,1.0105017142610933,1.9668885080737264,0.005204039507028169
5,sector_excess,sentiment_,5,0.9874514666585738,2.3103654621087375,0.004798200022229934
5,sector_excess,spy_,10,0.9465718909317957,3.8390649970781086,0.0027095664616122164
5,sector_excess,atr_,3,0.8157561979127683,1.0628199607584747,0.0015480450493019452
5,sector_excess,vix_,3,0.8090992459594192,1.3396275430080662,0.00559992970910823
5,sector_excess,qqq_,6,0.7681726851702892,1.0959218811690585,0.0026376062418710148
5,sector_excess,monthly_,2,0.7567450189928877,1.0847467583705943,0.001454343895217965
5,sector_excess,macro_,7,0.6169606816331721,1.7950120132432994,0.0009579281324705668
5,sector_excess,breadth_,4,0.5598515563161421,1.1013711087651155,0.0009734814334682399
