ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
TSLA,13,0.7692,15.1223,28.94,196.59,13,0
NOC,29,0.6897,6.1179,14.69,177.42,29,0
BKNG,8,0.75,19.3025,25.2,154.42,8,0
EA,19,0.6316,8.0921,23.82,153.75,19,0
SPGI,28,0.6786,5.1161,9.93,143.25,28,0
DD,25,0.6,5.0436,8.21,126.09,25,0
AEP,41,0.6341,2.9741,11.3,121.94,41,0
TRV,24,0.6667,5.0692,10.335,121.66,24,0
AIG,6,0.8333,16.6667,20.9,100.0,6,0
TMO,16,0.75,5.9675,11.49,95.48,16,0
HD,16,0.6875,5.6906,14.56,91.05,16,0
COST,36,0.6944,2.4981,9.235,89.93,36,0
CCI,26,0.6154,3.2792,11.9,85.26,26,0
SLB,7,0.7143,11.3986,33.83,79.79,7,0
T,30,0.6,2.3873,11.95,71.62,30,0
KO,6,0.8333,11.64,8.665,69.84,6,0
LYV,11,0.7273,6.0627,18.36,66.69,11,0
TMUS,33,0.6061,2.0012,6.0,66.04,33,0
NFLX,6,0.5,10.7733,17.31,64.64,6,0
LLY,5,0.6,11.658,17.41,58.29,5,0
PNC,6,0.6667,9.2883,15.01,55.73,6,0
DOW,6,0.6667,9.0217,15.945,54.13,6,0
WMT,14,0.7143,3.5614,7.78,49.86,14,0
WELL,4,0.75,10.8775,35.025,43.51,4,0
CSX,6,0.5,6.9283,2.835,41.57,6,0
SRE,5,0.6,7.872,7.74,39.36,5,0
LMT,8,0.625,4.4412,6.385,35.53,8,0
WFC,5,0.8,6.616,6.97,33.08,5,0
MSFT,17,0.5882,1.8653,10.06,31.71,17,0
MPC,5,0.6,5.564,28.6,27.82,5,0
MA,11,0.3636,2.3073,-4.66,25.38,11,0
MS,7,0.5714,3.3757,13.05,23.63,7,0
TJX,28,0.5714,0.8089,4.0,22.65,28,0
CAT,5,0.6,4.44,1.92,22.2,5,0
FCX,8,0.5,2.1163,4.81,16.93,8,0
AMAT,5,0.6,2.918,13.38,14.59,5,0
PSA,25,0.52,0.5512,4.06,13.78,25,0
UNP,24,0.5417,0.5137,2.635,12.33,24,0
BSX,3,0.6667,3.9933,17.99,11.98,3,0
JNJ,6,0.6667,1.7617,10.855,10.57,6,0
FDX,12,0.5833,0.8683,16.56,10.42,12,0
QCOM,8,0.625,0.98,7.12,7.84,8,0
ROST,6,0.5,1.1767,4.405,7.06,6,0
NKE,3,0.3333,1.9633,-3.23,5.89,3,0
IBM,11,0.6364,0.44,10.17,4.84,11,0
OMC,28,0.5714,0.1414,4.985,3.96,28,0
DE,10,0.5,0.219,-1.685,2.19,10,0
BLK,6,0.5,0.0617,-0.635,0.37,6,0
EXC,34,0.5588,-0.0541,6.165,-1.84,34,0
LIN,17,0.4706,-0.2035,-7.2,-3.46,17,0
AMD,7,0.4286,-0.6614,-4.76,-4.63,7,0
SYK,6,0.5,-1.4733,1.02,-8.84,6,0
CSCO,34,0.5882,-0.3091,5.28,-10.51,34,0
CVX,15,0.6,-0.7727,5.46,-11.59,15,0
PM,5,0.6,-2.656,5.25,-13.28,5,0
SPG,2,0.5,-6.835,-6.835,-13.67,2,0
USB,1,0.0,-15.08,-15.08,-15.08,1,0
DIS,7,0.4286,-2.2857,-4.23,-16.0,7,0
ADBE,10,0.6,-1.799,10.235,-17.99,10,0
NVDA,11,0.6364,-1.6991,10.73,-18.69,11,0
ETN,19,0.5263,-1.0489,11.59,-19.93,19,0
CI,5,0.4,-4.366,-6.55,-21.83,5,0
CMCSA,5,0.4,-4.494,-5.82,-22.47,5,0
V,8,0.375,-2.8463,-7.905,-22.77,8,0
PSX,34,0.5294,-0.6721,14.12,-22.85,34,0
PFE,3,0.3333,-8.25,-13.69,-24.75,3,0
XOM,6,0.6667,-4.2183,4.755,-25.31,6,0
WMB,6,0.5,-4.3917,-0.15,-26.35,6,0
HON,6,0.6667,-4.6333,11.075,-27.8,6,0
NEM,5,0.4,-6.046,-1.74,-30.23,5,0
ABT,6,0.3333,-5.76,-15.835,-34.56,6,0
DUK,4,0.25,-8.7025,-18.175,-34.81,4,0
EQIX,15,0.4667,-2.346,-3.13,-35.19,15,0
RTX,5,0.4,-7.344,-5.61,-36.72,5,0
AVB,5,0.2,-7.478,-13.73,-37.39,5,0
ABBV,46,0.5652,-0.8146,7.96,-37.47,46,0
INTC,4,0.25,-10.075,-18.71,-40.3,4,0
VZ,10,0.5,-4.087,-7.3,-40.87,10,0
OXY,3,0.3333,-13.65,-29.74,-40.95,3,0
DHR,3,0.3333,-13.88,-8.57,-41.64,3,0
BA,6,0.5,-7.255,-2.215,-43.53,6,0
GIS,6,0.3333,-7.4017,-16.71,-44.41,6,0
NEE,4,0.25,-11.1125,-17.9,-44.45,4,0
EMR,6,0.3333,-7.4867,-7.935,-44.92,6,0
AMZN,2,0.5,-22.785,-22.785,-45.57,2,0
GE,5,0.2,-9.36,-15.6,-46.8,5,0
AMGN,3,0.3333,-16.1433,-47.85,-48.43,3,0
SHW,18,0.5556,-2.7372,9.01,-49.27,18,0
GM,7,0.4286,-7.4686,-23.77,-52.28,7,0
HSY,12,0.5,-4.61,-2.135,-55.32,12,0
PG,28,0.5714,-1.9896,6.08,-55.71,28,0
LOW,2,0.0,-28.14,-28.14,-56.28,2,0
AXP,4,0.25,-14.635,-25.4,-58.54,4,0
COF,13,0.4615,-4.5485,-0.59,-59.13,13,0
D,17,0.4706,-3.5047,-2.15,-59.58,17,0
F,6,0.5,-10.2217,-6.73,-61.33,6,0
CL,22,0.5,-2.8091,0.74,-61.8,22,0
MRK,8,0.25,-7.915,-17.29,-63.32,8,0
SCHW,13,0.4615,-5.0423,-9.53,-65.55,13,0
UPS,11,0.3636,-6.1436,-23.46,-67.58,11,0
COP,13,0.4615,-5.7646,-23.63,-74.94,13,0
JPM,6,0.3333,-12.5217,-27.02,-75.13,6,0
AAPL,6,0.3333,-12.845,-23.025,-77.07,6,0
PEP,7,0.4286,-11.3257,-9.78,-79.28,7,0
MMM,7,0.2857,-11.8971,-18.41,-83.28,7,0
ED,26,0.4615,-3.2927,-5.035,-85.61,26,0
EBAY,7,0.2857,-12.3629,-23.01,-86.54,7,0
ORCL,7,0.4286,-12.4214,-17.98,-86.95,7,0
SO,7,0.2857,-12.7357,-23.94,-89.15,7,0
GOOGL,6,0.3333,-15.0233,-20.965,-90.14,6,0
BAC,7,0.2857,-13.1129,-29.96,-91.79,7,0
CVS,7,0.4286,-13.1971,-9.22,-92.38,7,0
MCD,10,0.3,-9.257,-17.235,-92.57,10,0
MDT,8,0.375,-11.6375,-17.15,-93.1,8,0
AMT,9,0.4444,-10.5122,-15.73,-94.61,9,0
MAR,11,0.4545,-8.78,-22.8,-96.58,11,0
PLD,7,0.2857,-14.1343,-25.06,-98.94,7,0
MO,3,0.0,-32.9867,-34.54,-98.96,3,0
XEL,9,0.3333,-11.0833,-10.85,-99.75,9,0
PH,7,0.2857,-14.6086,-25.81,-102.26,7,0
KMI,21,0.381,-5.009,-8.07,-105.19,21,0
EQR,6,0.1667,-18.5233,-27.425,-111.14,6,0
ISRG,6,0.5,-19.0633,-26.245,-114.38,6,0
NUE,4,0.0,-29.4975,-30.44,-117.99,4,0
O,24,0.4583,-4.9458,-6.055,-118.7,24,0
UNH,26,0.3846,-4.5985,-14.41,-119.56,26,0
SYY,27,0.5185,-4.513,4.06,-121.85,27,0
GS,7,0.2857,-17.5171,-28.44,-122.62,7,0
ECL,11,0.3636,-11.3318,-10.72,-124.65,11,0
GILD,25,0.48,-5.0228,-1.07,-125.57,25,0
META,16,0.375,-7.8875,-16.685,-126.2,16,0
CHTR,5,0.2,-27.394,-36.5,-136.97,5,0
BMY,6,0.3333,-22.9133,-35.6,-137.48,6,0
APD,8,0.25,-17.4625,-19.805,-139.7,8,0
IFF,22,0.5,-6.35,-2.56,-139.7,22,0
CRM,6,0.3333,-23.6217,-27.785,-141.73,6,0
BRK-B,7,0.2857,-20.3486,-27.21,-142.44,7,0
MU,6,0.3333,-24.23,-48.325,-145.38,6,0
EOG,6,0.3333,-24.4417,-40.14,-146.65,6,0
PEG,18,0.3333,-8.1511,-17.155,-146.72,18,0
TXN,7,0.2857,-21.2986,-28.15,-149.09,7,0
SBUX,9,0.2222,-17.2022,-26.5,-154.82,9,0
VLO,4,0.25,-43.415,-49.905,-173.66,4,0
KMB,60,0.4167,-3.0898,-5.345,-185.39,60,0
AVGO,7,0.1429,-28.2571,-49.04,-197.8,7,0
NOW,8,0.25,-25.8188,-32.105,-206.55,8,0
C,10,0.1,-22.417,-29.75,-224.17,10,0
