group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
entry_year,2020,15,0.6,4.52,11.47,67.84,2.73,19.21,1.394
entry_year,2022,3,1.0,20.13,26.82,60.39,3.67,18.93,
entry_year,2021,26,0.5385,0.63,11.11,16.47,3.08,20.0,1.033
entry_year,2019,94,0.4894,-0.6,-0.64,-55.99,3.27,20.0,0.95
entry_year,2017,197,0.5685,-1.08,7.31,-213.71,3.32,19.92,0.903
entry_year,2016,196,0.5255,-1.26,2.44,-247.92,3.19,19.72,0.903
entry_year,2015,166,0.488,-3.76,-2.94,-624.62,3.39,19.77,0.788
entry_year,2018,155,0.4839,-6.55,-1.65,-1015.25,2.77,19.98,0.642
exit_reason,stop_loss,310,0.8065,11.93,19.6,3698.41,2.37,19.88,2.377
exit_reason,time_exit,277,0.4116,-3.8,-4.28,-1052.96,5.0,19.86,0.623
exit_reason,take_profit,265,0.2981,-17.58,-28.45,-4658.24,2.23,19.8,0.322
sector,XLY,108,0.5648,1.28,11.38,138.4,3.13,19.85,1.086
sector,XLB,41,0.5366,2.33,6.79,95.73,3.76,18.85,1.174
sector,XLI,77,0.5714,0.32,9.52,24.62,2.99,20.0,1.025
sector,XLRE,71,0.5775,-1.14,4.87,-81.23,3.07,20.0,0.899
sector,XLU,79,0.4937,-1.25,-0.03,-98.46,3.22,20.0,0.88
sector,XLP,84,0.5357,-1.44,4.81,-121.22,3.17,20.0,0.856
sector,XLV,71,0.5211,-3.04,2.18,-216.12,3.2,19.97,0.791
sector,XLF,94,0.4681,-3.7,-3.02,-347.52,3.26,20.0,0.763
sector,XLC,108,0.5556,-3.58,4.74,-386.48,3.05,19.8,0.779
sector,XLK,64,0.4531,-6.68,-5.93,-427.25,3.19,19.6,0.672
sector,XLE,55,0.3818,-10.79,-10.74,-593.26,3.36,19.74,0.494
signal,LONG,852,0.52,-2.36,4.09,-2012.79,3.18,19.85,0.837
