ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
NUE,8,0.375,-9.5675,-14.355,-76.54,8,0
EQR,7,0.4286,-11.0486,-32.4,-77.34,7,0
BRK-B,5,0.4,-15.712,-24.0,-78.56,5,0
NKE,2,0.0,-39.715,-39.715,-79.43,2,0
BSX,3,0.3333,-27.24,-34.32,-81.72,3,0
AMD,7,0.4286,-11.9957,-21.25,-83.97,7,0
TXN,3,0.3333,-28.0733,-52.79,-84.22,3,0
CI,4,0.5,-21.5875,-20.435,-86.35,4,0
KMI,17,0.5294,-5.2906,2.36,-89.94,17,0
ED,4,0.0,-22.5925,-23.45,-90.37,4,0
NOC,6,0.1667,-15.175,-24.5,-91.05,6,0
MSFT,25,0.48,-3.7556,-9.19,-93.89,25,0
JPM,3,0.0,-31.6267,-30.36,-94.88,3,0
APD,4,0.0,-24.2975,-27.345,-97.19,4,0
ROST,3,0.0,-32.84,-32.16,-98.52,3,0
VLO,5,0.4,-19.894,-29.61,-99.47,5,0
UPS,6,0.1667,-16.78,-22.815,-100.68,6,0
SBUX,4,0.0,-27.195,-28.835,-108.78,4,0
RTX,9,0.3333,-12.4344,-20.55,-111.91,9,0
COP,7,0.2857,-16.5657,-25.41,-115.96,7,0
GS,6,0.1667,-20.8267,-31.45,-124.96,6,0
AVGO,3,0.0,-44.5,-50.36,-133.5,3,0
ADBE,11,0.3636,-12.6673,-10.05,-139.34,11,0
O,36,0.4444,-3.9967,-4.36,-143.88,36,0
MRK,7,0.1429,-20.8014,-23.95,-145.61,7,0
TJX,18,0.4444,-8.1522,-9.995,-146.74,18,0
F,8,0.375,-18.4888,-37.305,-147.91,8,0
UNP,22,0.4091,-6.7609,-15.65,-148.74,22,0
HON,18,0.4444,-8.2883,-10.215,-149.19,18,0
PSX,4,0.0,-39.305,-35.9,-157.22,4,0
CRM,6,0.1667,-27.5033,-27.88,-165.02,6,0
MA,12,0.3333,-14.2608,-27.89,-171.13,12,0
MS,18,0.4444,-10.9372,-30.565,-196.87,18,0
GOOGL,15,0.3333,-13.9593,-26.42,-209.39,15,0
MCD,23,0.3478,-9.9474,-23.53,-228.79,23,0
