ticker,trades,win_rate,avg_pnl,median_pnl,total_pnl,long_trades,short_trades
PM,4,0.25,-21.9725,-39.075,-87.89,4,0
XEL,7,0.4286,-13.4514,-24.26,-94.16,7,0
CMCSA,9,0.3333,-10.6689,-23.64,-96.02,9,0
UNH,6,0.3333,-16.05,-17.67,-96.3,6,0
ETN,2,0.0,-48.305,-48.305,-96.61,2,0
NOC,11,0.2727,-8.8709,-19.4,-97.58,11,0
PEP,5,0.2,-19.524,-25.75,-97.62,5,0
GM,7,0.4286,-14.4043,-28.69,-100.83,7,0
DIS,4,0.25,-25.5625,-36.315,-102.25,4,0
TXN,8,0.375,-12.9587,-19.915,-103.67,8,0
BLK,4,0.25,-26.165,-34.835,-104.66,4,0
EOG,8,0.375,-13.1113,-27.715,-104.89,8,0
CAT,3,0.3333,-35.24,-51.14,-105.72,3,0
PSA,5,0.2,-21.316,-26.02,-106.58,5,0
PLD,3,0.0,-35.7767,-33.34,-107.33,3,0
DE,5,0.4,-22.038,-53.59,-110.19,5,0
QCOM,6,0.5,-21.255,-13.89,-127.53,6,0
WELL,11,0.4545,-12.5336,-20.44,-137.87,11,0
BMY,3,0.0,-47.1733,-39.38,-141.52,3,0
AMAT,13,0.5385,-10.9008,3.56,-141.71,13,0
AMGN,4,0.25,-36.5925,-44.13,-146.37,4,0
AAPL,5,0.0,-29.672,-34.06,-148.36,5,0
T,7,0.1429,-21.58,-22.87,-151.06,7,0
CRM,6,0.3333,-25.3933,-50.775,-152.36,6,0
NEM,6,0.3333,-27.0333,-41.745,-162.2,6,0
ISRG,5,0.2,-36.172,-42.64,-180.86,5,0
ADBE,7,0.2857,-28.3314,-42.83,-198.32,7,0
NVDA,10,0.4,-22.663,-32.365,-226.63,10,0
OXY,6,0.1667,-39.585,-41.47,-237.51,6,0
SBUX,5,0.0,-49.208,-53.04,-246.04,5,0
NFLX,23,0.4348,-12.5252,-17.26,-288.08,23,0
CHTR,9,0.1111,-34.5922,-34.09,-311.33,9,0
