group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,avg_holding_days,avg_position_pct,profit_factor
ticker,EBAY,8,0.625,2.12,14.0,16.97,3.38,20.0,1.171
ticker,C,2,0.5,8.38,8.38,16.76,2.0,20.0,1.506
ticker,DHR,4,0.5,4.09,13.18,16.36,3.5,19.64,1.224
ticker,TMUS,5,0.6,3.19,16.74,15.94,2.8,20.0,1.275
ticker,TSLA,10,0.7,1.5,12.18,14.97,3.4,19.27,1.074
ticker,VZ,5,0.8,2.77,12.17,13.83,2.8,20.0,1.401
ticker,V,1,1.0,12.21,12.21,12.21,5.0,20.0,
ticker,MSFT,6,0.5,1.94,5.44,11.63,3.0,20.0,1.077
ticker,DUK,4,0.5,2.78,1.79,11.13,3.25,20.0,1.44
ticker,TJX,11,0.5455,0.88,7.78,9.69,3.27,20.0,1.067
ticker,HD,4,0.5,1.95,7.2,7.82,2.75,20.0,1.251
ticker,AEP,4,0.75,1.32,8.16,5.29,2.25,20.0,1.178
ticker,SYY,6,0.5,0.74,2.21,4.45,2.17,20.0,1.077
ticker,GOOGL,11,0.5455,0.36,10.8,4.0,3.09,19.67,1.023
ticker,COP,6,0.5,0.62,3.53,3.74,2.83,16.72,1.032
ticker,TRV,3,0.6667,0.33,13.78,0.98,1.67,20.0,1.034
ticker,O,9,0.5556,-0.12,2.72,-1.11,2.89,20.0,0.989
ticker,EXC,5,0.6,-0.84,8.19,-4.22,2.8,20.0,0.911
ticker,AVGO,5,0.4,-1.09,-5.94,-5.46,4.4,19.85,0.941
ticker,CVX,2,0.5,-2.79,-2.79,-5.58,5.0,20.0,0.683
ticker,MPC,7,0.5714,-1.53,15.3,-10.71,3.57,17.55,0.923
ticker,CL,4,0.5,-3.47,-8.04,-13.87,3.5,20.0,0.705
ticker,MA,7,0.5714,-2.01,3.99,-14.09,4.14,20.0,0.752
ticker,PG,1,0.0,-14.72,-14.72,-14.72,5.0,20.0,0.0
ticker,LIN,2,0.5,-7.58,-7.58,-15.16,4.0,20.0,0.524
ticker,DOW,4,0.5,-4.89,4.44,-19.58,3.0,20.0,0.798
ticker,LOW,3,0.3333,-7.78,-15.71,-23.33,3.67,20.0,0.545
ticker,APD,8,0.375,-2.93,-8.23,-23.41,4.12,20.0,0.774
ticker,KO,5,0.4,-4.72,-3.76,-23.6,3.0,20.0,0.519
ticker,SRE,10,0.5,-2.41,-3.52,-24.11,3.0,19.75,0.789
ticker,OMC,11,0.4545,-2.32,-2.28,-25.49,3.91,20.0,0.807
ticker,JNJ,2,0.0,-13.22,-13.22,-26.44,3.5,20.0,0.0
ticker,EA,4,0.5,-7.03,-10.04,-28.14,2.0,20.0,0.663
ticker,ABT,6,0.5,-4.7,-2.43,-28.19,2.0,20.0,0.682
ticker,LLY,6,0.5,-4.94,-2.37,-29.63,4.5,19.22,0.693
ticker,MAR,16,0.5,-1.91,7.34,-30.5,2.88,20.0,0.89
ticker,HON,3,0.3333,-10.44,-21.25,-31.33,1.33,20.0,0.274
ticker,LMT,11,0.5455,-3.05,5.66,-33.58,2.73,20.0,0.733
ticker,LYV,14,0.6429,-2.4,15.25,-33.59,3.57,20.0,0.856
