,equity,benchmark_spy_norm,benchmark_qqq_norm,benchmark_iwm_norm,benchmark_blend_norm
2010-01-04,10000.0,1.0,1.0,1.0,1.0
2010-01-05,10000.0,1.0026472794958698,1.0,0.9965612701615254,1.001588367697522
2010-01-06,10000.0,1.0033531187252174,0.9939686521017264,0.9956234617561985,0.999599332075821
2010-01-07,10000.0,1.0075887839132356,0.994614648157013,1.0029695285789835,1.0023991296107466
2010-01-08,10000.0,1.0109416327190537,1.0028007995467518,1.0084398300627004,1.007685299450133
2010-01-11,10000.0,1.0123535810971487,0.9987077238518823,1.0043766867722155,1.0068952381990421
2010-01-12,10000.0,1.0029119804535167,0.9862135750252983,0.9934352668985047,0.9962326182822294
2010-01-13,10000.0,1.0113826810176214,0.9984919499972732,1.0062517094692136,1.0062263886094822
2010-01-14,10000.0,1.0141184041033506,0.9993544773406209,1.010003314411556,1.0082128333982587
2010-01-15,10000.0,1.0027352732200638,0.9877210569529361,0.9953108094449515,0.9967295867132127
2010-01-19,10000.0,1.015265201658133,1.003662664135829,1.0135977762919985,1.0106241866492114
2010-01-20,10000.0,1.004941504417366,0.9892289175972999,0.9989060882316705,0.9986564696893396
2010-01-21,10000.0,0.9856172548315347,0.979965979876508,0.9824944411384495,0.9833567448495241
2010-01-22,10000.0,0.9636461756154995,0.9513148287291479,0.9648325561212755,0.9587136368609588
2010-01-25,10000.0,0.9685875000865991,0.9545454717598512,0.9659266906822259,0.9629706887558999
2010-01-26,10000.0,0.9645281822395014,0.9554076203864729,0.956392800322782,0.96087995749829
2010-01-27,10000.0,0.9691169020018933,0.9629475863625622,0.9665519210405128,0.9666491757461608
2010-01-28,10000.0,0.9579988319687858,0.9381737370554623,0.9499840220558754,0.9500687940034565
2010-01-29,10000.0,0.9475867811112924,0.9218014342759845,0.9395121747626906,0.9372726423771692
2010-02-01,10000.0,0.9623225808541311,0.9319261419066721,0.9506094752067831,0.9501640052751475
2010-02-02,10000.0,0.9739698728562663,0.9403277831134756,0.9610816195567957,0.96051303695915
2010-02-03,10000.0,0.9691169020018933,0.9454979291769425,0.95467306408251,0.9596693128719129
2010-02-04,10000.0,0.9392043441907811,0.9181390541776999,0.9227883952076713,0.9307782281855486
2010-02-05,10000.0,0.9411451546453713,0.925894509970854,0.9263832284091486,0.9350448967755643
2010-02-08,10000.0,0.9343511034170087,0.9192164085838418,0.9171615447757099,0.9282972254837418
2010-02-09,10000.0,0.9460866590627373,0.9286948361216983,0.9298217354550024,0.9391299298863217
2010-02-10,10000.0,0.9442335724129418,0.9267562798807497,0.9320100045769031,0.937242655400065
2010-02-11,10000.0,0.9541166712208068,0.9407583840308791,0.9468583901138894,0.9487733563448357
2010-02-12,10000.0,0.9533224783747325,0.9426974136677352,0.9537358497908386,0.9490724524919335
2010-02-16,10000.0,0.968322709155819,0.9547609615769158,0.969834324723364,0.9628980101242577
2010-02-17,10000.0,0.9729111589988113,0.9601468814949918,0.9763986865038246,0.9678054479972835
2010-02-18,10000.0,0.9786466763159852,0.9661784187516285,0.9843700579491034,0.9736593732902425
2010-02-19,10000.0,0.9806760203335682,0.965748196550951,0.9856205929298841,0.9747048908205214
2010-02-22,10000.0,0.9808524576476219,0.9638088828765504,0.9885900472446605,0.9740350277391934
2010-02-23,10000.0,0.9689405546609727,0.9513148287291479,0.9770238425979045,0.9618902642882428
2010-02-24,10000.0,0.9778521235773786,0.9610085567257061,0.9853079406186371,0.9711146968367095
2010-02-25,10000.0,0.9765287087622765,0.9607931615878229,0.9856205929298841,0.9702344898924951
2010-02-26,10000.0,0.9771464642942971,0.9642397678314983,0.9815566327331225,0.9719837857091777
2010-03-01,10000.0,0.9872940841135428,0.9782423453775352,1.0043766867722155,0.9836733886191398
2010-03-02,10000.0,0.9900291773873404,0.9812584453829887,1.0120348860567987,0.9865208845855997
2010-03-03,10000.0,0.990911633877008,0.982335705109949,1.0178179883801766,0.9874812623701844
2010-03-04,10000.0,0.9939116080547188,0.9855669162157413,1.0204751617047407,0.9905737313191278
2010-03-05,10000.0,1.008118365774796,1.000431074313311,1.0412626043996938,1.005043449190202
2010-03-08,10000.0,1.0082945331694502,1.0023705773460743,1.0431384440029685,1.0059249508400998
2010-03-09,10000.0,1.0099712724783252,1.0079708509310372,1.0468896776242762,1.00917110385941
2010-03-10,10000.0,1.0144711887583249,1.0161572863583206,1.0557989317390888,1.015145627798323
2010-03-11,10000.0,1.0187063141075443,1.0200347775569438,1.0589248607379025,1.019237699487304
2010-03-12,10000.0,1.0187949376436702,1.020250551411553,1.0584556594784114,1.0193771831508234
2010-03-15,10000.0,1.019059458655051,1.0176655257194103,1.054860900541141,1.0185018854807946
2010-03-16,10000.0,1.027177734456714,1.0241280426101762,1.0639258124337145,1.0259578577180988
2010-03-17,10034.893195161396,1.0332658564825958,1.026928842156928,1.0701781902807908,1.0307310507523288
2010-03-18,10042.638774119243,1.0327362746210353,1.030375164363059,1.0668957865979396,1.0317918305178448
2010-03-19,10001.546646866413,1.0275092854522712,1.0241428125624883,1.053610588352981,1.026162696296358
2010-03-22,10052.752566686198,1.033002235202546,1.0334158809556993,1.0684587510973464,1.0331676935038074
2010-03-23,10105.3377713128,1.0402675657022056,1.0405326309905412,1.0820568244461728,1.0403735918175399
2010-03-24,10068.810633907156,1.0352173737400274,1.0355726727099757,1.0697101029844036,1.0353594933280066
2010-03-25,10057.038124079178,1.0335337064999022,1.0340630131611637,1.062972037223894,1.0337454291644068
2010-03-26,10057.469756148585,1.032913431720154,1.0351413143591204,1.0625019447939195,1.0338045847757407
2010-03-29,10100.64989773756,1.039470133823339,1.0401011779605045,1.0682993801092382,1.0397225514782051
2010-03-30,10113.804629051874,1.0401788521929467,1.0435517607298024,1.0715901756474744,1.041528015607689
2010-03-31,10083.868507127867,1.0366347205061097,1.0385918024492369,1.062345470109882,1.0374175532833605
2010-04-01,10114.871912830551,1.0437227139603842,1.0385918024492369,1.0722166684972794,1.0416703493559254
2010-04-05,10180.309655404797,1.0522286839926729,1.0482963238724845,1.092273054339046,1.0506557399445975
2010-04-06,10199.90349987987,1.054709783111665,1.0513152642533827,1.0986973538252045,1.053351975568352
2010-04-07,10166.130437069882,1.048684552305836,1.0487272088274324,1.0952503063955519,1.0487016149144743
2010-04-08,10188.877538480843,1.0523173075287988,1.051099774436318,1.0941532755305305,1.0518302942918065
2010-04-09,10237.176679956041,1.0592280539108216,1.057353902448631,1.1007340497007263,1.0584783933259454
2010-04-12,10247.006149067292,1.0609117211509471,1.0582161457544341,1.1052779794669865,1.059833490992342
2010-04-13,10266.11335445684,1.0617088831104144,1.0636078411025807,1.1077850648293108,1.0624684663072808
