group_type,group,trades,win_rate,avg_pnl,median_pnl,total_pnl,profit_factor,raw_sharpe_proxy,avg_confidence,avg_expected_return,avg_rank_score,avg_holding_days
ticker,WMT,4,0.25,-2.26,-7.94,-9.04,0.759,-0.121,50.85,0.4825,0.0,4.25
ticker,PM,2,0.5,-4.62,-4.62,-9.25,0.685,-0.187,51.48,0.38,-0.003,3.5
ticker,ROST,3,0.3333,-3.69,-4.0,-11.06,0.677,-0.169,50.4,0.2167,0.0132,2.67
ticker,NEE,2,0.5,-5.61,-5.61,-11.22,0.708,-0.171,51.23,0.4,0.0004,3.0
ticker,BAC,8,0.5,-1.58,-1.26,-12.62,0.9,-0.051,50.8,0.2312,-0.0059,2.5
ticker,KMB,3,0.3333,-4.28,-17.0,-12.83,0.7,-0.175,51.09,-0.03,0.0059,3.67
ticker,CAT,1,0.0,-12.89,-12.89,-12.89,0.0,-12890000000.0,51.36,0.76,-0.0023,5.0
ticker,ISRG,1,0.0,-13.1,-13.1,-13.1,0.0,-13100000000.0,50.16,0.52,0.0022,5.0
ticker,MO,16,0.625,-1.04,7.33,-16.65,0.908,-0.042,51.06,0.1069,-0.0017,1.69
ticker,WELL,2,0.5,-10.82,-10.82,-21.64,0.6,-0.25,51.79,0.37,0.032,4.0
ticker,LIN,9,0.5556,-2.43,14.26,-21.91,0.825,-0.091,51.59,0.0944,-0.0005,2.44
ticker,MS,6,0.3333,-3.78,-11.94,-22.7,0.829,-0.075,50.91,0.48,-0.014,3.67
ticker,PEP,1,0.0,-24.76,-24.76,-24.76,0.0,-24760000000.0,52.13,0.7,-0.0203,5.0
ticker,VLO,4,0.25,-6.28,-20.35,-25.11,0.658,-0.192,50.36,0.26,0.0134,3.0
ticker,TSLA,2,0.5,-13.93,-13.93,-27.87,0.471,-0.36,52.8,0.15,0.0066,5.0
ticker,DUK,1,0.0,-28.59,-28.59,-28.59,0.0,-28590000000.0,50.64,0.37,0.007,1.0
ticker,BLK,1,0.0,-29.26,-29.26,-29.26,0.0,-29260000000.0,50.73,0.43,0.0019,3.0
ticker,ECL,1,0.0,-30.14,-30.14,-30.14,0.0,-30140000000.0,50.97,0.14,0.0168,4.0
ticker,MMM,3,0.3333,-11.98,-11.26,-35.93,0.476,-0.326,51.75,0.5333,-0.0107,3.67
ticker,PLD,4,0.5,-9.08,-7.27,-36.3,0.459,-0.367,51.08,-0.0075,-0.002,3.25
ticker,ADBE,12,0.5,-3.09,3.89,-37.11,0.842,-0.073,52.22,0.4442,-0.0123,2.67
ticker,RTX,1,0.0,-38.68,-38.68,-38.68,0.0,-38680000000.0,50.15,1.13,-0.0115,3.0
ticker,PSA,2,0.0,-19.36,-19.36,-38.73,0.0,-1.705,50.32,0.265,0.0073,3.0
ticker,AXP,7,0.4286,-5.74,-19.17,-40.18,0.743,-0.142,51.22,0.3857,0.0064,3.14
ticker,AMT,3,0.3333,-14.18,-29.53,-42.54,0.36,-0.523,51.85,0.0233,-0.0155,3.33
ticker,COF,11,0.4545,-3.98,-0.72,-43.76,0.646,-0.196,50.83,0.3573,-0.0032,3.82
ticker,ED,2,0.0,-22.75,-22.75,-45.5,0.0,-4.358,50.82,0.355,0.0039,3.0
ticker,AMD,3,0.3333,-15.26,-52.2,-45.77,0.586,-0.269,50.46,0.38,0.0053,2.33
ticker,ABBV,4,0.5,-11.46,0.47,-45.86,0.509,-0.276,50.27,0.225,-0.0462,5.0
ticker,COP,3,0.3333,-15.4,-51.38,-46.21,0.567,-0.287,50.62,0.2633,0.0021,2.33
ticker,GILD,14,0.5,-3.31,3.46,-46.39,0.785,-0.107,51.59,0.2064,-0.0025,2.79
ticker,NKE,4,0.5,-12.18,-13.06,-48.71,0.319,-0.49,50.22,0.255,-0.0056,3.25
ticker,SYY,8,0.5,-6.22,-2.3,-49.75,0.349,-0.424,51.48,0.255,-0.0035,3.75
ticker,NOC,7,0.4286,-7.36,-18.08,-51.5,0.562,-0.27,50.99,0.42,-0.0024,2.71
ticker,O,2,0.0,-27.7,-27.7,-55.41,0.0,-1.254,51.05,0.21,-0.0158,3.0
ticker,APD,2,0.0,-28.13,-28.13,-56.26,0.0,-1.378,51.89,0.545,-0.0046,3.5
